ward,precinct,total,Toya T. Harvey,Toya T. Harvey Percent,Tiesha L Smith,Tiesha L Smith Percent
0901,9,1,191,123,64.4,68,35.6
0902,9,2,174,101,58.05,73,41.95
0903,9,3,116,65,56.03,51,43.97
0904,9,4,142,59,41.55,83,58.45
0905,9,5,192,98,51.04,94,48.96
0906,9,6,184,100,54.35,84,45.65
0907,9,7,147,79,53.74,68,46.26
0908,9,8,168,94,55.95,74,44.05
0909,9,9,219,117,53.42,102,46.58
0910,9,10,143,72,50.35,71,49.65
0911,9,11,137,59,43.07,78,56.93
0913,9,13,10,4,40.0,6,60.0
0914,9,14,39,17,43.59,22,56.41
0915,9,15,113,55,48.67,58,51.33
0916,9,16,175,87,49.71,88,50.29
0917,9,17,126,75,59.52,51,40.48
0918,9,18,130,65,50.0,65,50.0
0919,9,19,180,109,60.56,71,39.44
0920,9,20,215,116,53.95,99,46.05
0921,9,21,165,84,50.91,81,49.09
0922,9,22,216,113,52.31,103,47.69
0926,9,26,136,93,68.38,43,31.62
0927,9,27,174,111,63.79,63,36.21
0928,9,28,106,66,62.26,40,37.74
0929,9,29,149,74,49.66,75,50.34
0930,9,30,142,81,57.04,61,42.96
0931,9,31,124,85,68.55,39,31.45
0932,9,32,209,109,52.15,100,47.85
0933,9,33,131,61,46.56,70,53.44
0934,9,34,135,62,45.93,73,54.07
0935,9,35,86,45,52.33,41,47.67
0937,9,37,256,184,71.88,72,28.13
0938,9,38,170,104,61.18,66,38.82
0939,9,39,216,118,54.63,98,45.37
0940,9,40,241,126,52.28,115,47.72
0941,9,41,150,90,60.0,60,40.0
0943,9,43,158,87,55.06,71,44.94
0944,9,44,187,109,58.29,78,41.71
0945,9,45,140,74,52.86,66,47.14
0946,9,46,192,121,63.02,71,36.98
1928,19,28,175,90,51.43,85,48.57
1943,19,43,46,28,60.87,18,39.13
2101,21,1,221,125,56.56,96,43.44
2102,21,2,52,25,48.08,27,51.92
2103,21,3,218,115,52.75,103,47.25
2105,21,5,240,108,45.0,132,55.0
2106,21,6,157,77,49.04,80,50.96
2107,21,7,225,118,52.44,107,47.56
2108,21,8,210,126,60.0,84,40.0
2109,21,9,236,110,46.61,126,53.39
2110,21,10,176,89,50.57,87,49.43
2111,21,11,171,85,49.71,86,50.29
2112,21,12,169,80,47.34,89,52.66
2113,21,13,104,52,50.0,52,50.0
2114,21,14,254,140,55.12,114,44.88
2116,21,16,174,86,49.43,88,50.57
2117,21,17,25,13,52.0,12,48.0
2118,21,18,218,108,49.54,110,50.46
2119,21,19,214,98,45.79,116,54.21
2120,21,20,16,5,31.25,11,68.75
2121,21,21,172,96,55.81,76,44.19
2122,21,22,177,100,56.5,77,43.5
2123,21,23,176,88,50.0,88,50.0
2124,21,24,211,114,54.03,97,45.97
2125,21,25,193,97,50.26,96,49.74
2127,21,27,186,93,50.0,93,50.0
2129,21,29,215,135,62.79,80,37.21
2132,21,32,184,100,54.35,84,45.65
2133,21,33,50,22,44.0,28,56.0
2134,21,34,21,13,61.9,8,38.1
2135,21,35,239,117,48.95,122,51.05
2136,21,36,201,110,54.73,91,45.27
2137,21,37,175,98,56.0,77,44.0
2138,21,38,173,95,54.91,78,45.09
2139,21,39,130,72,55.38,58,44.62
2140,21,40,179,91,50.84,88,49.16
2141,21,41,197,107,54.31,90,45.69
2142,21,42,215,117,54.42,98,45.58
2144,21,44,138,84,60.87,54,39.13
2145,21,45,163,103,63.19,60,36.81
2146,21,46,200,103,51.5,97,48.5
2148,21,48,109,56,51.38,53,48.62
2149,21,49,230,125,54.35,105,45.65
2150,21,50,155,89,57.42,66,42.58
2152,21,52,23,12,52.17,11,47.83
3401,34,1,233,138,59.23,95,40.77
3402,34,2,178,96,53.93,82,46.07
3403,34,3,184,92,50.0,92,50.0
3404,34,4,131,74,56.49,57,43.51
3405,34,5,166,102,61.45,64,38.55
3406,34,6,219,102,46.58,117,53.42
3407,34,7,228,126,55.26,102,44.74
3408,34,8,166,84,50.6,82,49.4
3409,34,9,138,78,56.52,60,43.48
3410,34,10,199,101,50.75,98,49.25
3411,34,11,144,51,35.42,93,64.58
3412,34,12,208,104,50.0,104,50.0
3413,34,13,213,109,51.17,104,48.83
3414,34,14,144,80,55.56,64,44.44
3415,34,15,148,72,48.65,76,51.35
3416,34,16,166,74,44.58,92,55.42
3418,34,18,152,75,49.34,77,50.66
3419,34,19,165,80,48.48,85,51.52
3420,34,20,249,114,45.78,135,54.22
3421,34,21,266,131,49.25,135,50.75
3422,34,22,203,93,45.81,110,54.19
3423,34,23,162,67,41.36,95,58.64
3424,34,24,172,86,50.0,86,50.0
3425,34,25,312,177,56.73,135,43.27
3426,34,26,219,114,52.05,105,47.95
3427,34,27,169,94,55.62,75,44.38
