ward,precinct,total,David C. Herrera,David C. Herrera Percent,Kent Delgado,Kent Delgado Percent,Sean Patrick Kelly,Sean Patrick Kelly Percent
0101,1,1,191,54,28.27,126,65.97,11,5.76
0102,1,2,144,63,43.75,60,41.67,21,14.58
0103,1,3,207,51,24.64,121,58.45,35,16.91
0104,1,4,196,59,30.1,108,55.1,29,14.8
0105,1,5,168,32,19.05,105,62.5,31,18.45
0106,1,6,165,49,29.7,95,57.58,21,12.73
0107,1,7,128,37,28.91,71,55.47,20,15.63
0108,1,8,166,36,21.69,106,63.86,24,14.46
0109,1,9,166,48,28.92,104,62.65,14,8.43
0110,1,10,162,29,17.9,106,65.43,27,16.67
0111,1,11,188,41,21.81,121,64.36,26,13.83
0112,1,12,226,55,24.34,126,55.75,45,19.91
0113,1,13,100,35,35.0,48,48.0,17,17.0
0114,1,14,175,52,29.71,109,62.29,14,8.0
0115,1,15,180,49,27.22,108,60.0,23,12.78
0116,1,16,202,52,25.74,130,64.36,20,9.9
0117,1,17,183,57,31.15,108,59.02,18,9.84
0118,1,18,188,54,28.72,113,60.11,21,11.17
0119,1,19,217,61,28.11,128,58.99,28,12.9
0120,1,20,160,52,32.5,85,53.13,23,14.38
0121,1,21,172,39,22.67,111,64.53,22,12.79
0122,1,22,133,38,28.57,83,62.41,12,9.02
0123,1,23,265,75,28.3,152,57.36,38,14.34
0124,1,24,172,57,33.14,95,55.23,20,11.63
0125,1,25,168,43,25.6,104,61.9,21,12.5
0126,1,26,120,42,35.0,55,45.83,23,19.17
0127,1,27,190,55,28.95,115,60.53,20,10.53
0128,1,28,77,22,28.57,43,55.84,12,15.58
0129,1,29,210,47,22.38,130,61.9,33,15.71
0130,1,30,230,84,36.52,115,50.0,31,13.48
0131,1,31,213,67,31.46,120,56.34,26,12.21
0132,1,32,165,38,23.03,97,58.79,30,18.18
0133,1,33,194,49,25.26,118,60.82,27,13.92
0134,1,34,184,61,33.15,108,58.7,15,8.15
0135,1,35,204,58,28.43,116,56.86,30,14.71
0136,1,36,165,33,20.0,108,65.45,24,14.55
0137,1,37,176,51,28.98,97,55.11,28,15.91
0138,1,38,173,52,30.06,92,53.18,29,16.76
0139,1,39,150,38,25.33,91,60.67,21,14.0
0140,1,40,200,56,28.0,101,50.5,43,21.5
0141,1,41,134,33,24.63,71,52.99,30,22.39
0142,1,42,51,24,47.06,21,41.18,6,11.76
0143,1,43,115,31,26.96,59,51.3,25,21.74
0144,1,44,180,36,20.0,117,65.0,27,15.0
0201,2,1,167,37,22.16,97,58.08,33,19.76
0203,2,3,204,38,18.63,123,60.29,43,21.08
0204,2,4,141,31,21.99,83,58.87,27,19.15
0205,2,5,204,47,23.04,125,61.27,32,15.69
0206,2,6,151,37,24.5,96,63.58,18,11.92
0207,2,7,165,42,25.45,105,63.64,18,10.91
0208,2,8,175,39,22.29,111,63.43,25,14.29
0214,2,14,198,43,21.72,126,63.64,29,14.65
0215,2,15,188,40,21.28,117,62.23,31,16.49
0216,2,16,162,34,20.99,93,57.41,35,21.6
0217,2,17,227,57,25.11,137,60.35,33,14.54
0220,2,20,63,19,30.16,31,49.21,13,20.63
0221,2,21,201,35,17.41,136,67.66,30,14.93
0225,2,25,184,40,21.74,117,63.59,27,14.67
2601,26,1,157,50,31.85,83,52.87,24,15.29
2602,26,2,33,12,36.36,16,48.48,5,15.15
2603,26,3,163,45,27.61,83,50.92,35,21.47
2604,26,4,94,37,39.36,34,36.17,23,24.47
2605,26,5,142,63,44.37,59,41.55,20,14.08
2606,26,6,118,45,38.14,62,52.54,11,9.32
2607,26,7,135,41,30.37,87,64.44,7,5.19
2608,26,8,75,28,37.33,38,50.67,9,12.0
2609,26,9,139,64,46.04,58,41.73,17,12.23
2610,26,10,53,21,39.62,27,50.94,5,9.43
2611,26,11,150,64,42.67,67,44.67,19,12.67
2612,26,12,146,53,36.3,74,50.68,19,13.01
2613,26,13,68,29,42.65,29,42.65,10,14.71
2614,26,14,104,52,50.0,38,36.54,14,13.46
2615,26,15,68,31,45.59,29,42.65,8,11.76
2616,26,16,76,43,56.58,25,32.89,8,10.53
2618,26,18,94,34,36.17,47,50.0,13,13.83
2619,26,19,85,45,52.94,20,23.53,20,23.53
2620,26,20,118,42,35.59,61,51.69,15,12.71
2621,26,21,156,54,34.62,76,48.72,26,16.67
2622,26,22,61,43,70.49,17,27.87,1,1.64
2623,26,23,90,42,46.67,36,40.0,12,13.33
2624,26,24,129,46,35.66,76,58.91,7,5.43
2625,26,25,119,48,40.34,56,47.06,15,12.61
2626,26,26,77,25,32.47,43,55.84,9,11.69
2627,26,27,178,60,33.71,102,57.3,16,8.99
2628,26,28,196,56,28.57,103,52.55,37,18.88
2629,26,29,89,24,26.97,54,60.67,11,12.36
2630,26,30,110,38,34.55,63,57.27,9,8.18
2631,26,31,72,33,45.83,32,44.44,7,9.72
2632,26,32,140,44,31.43,67,47.86,29,20.71
2633,26,33,142,47,33.1,76,53.52,19,13.38
2634,26,34,179,55,30.73,113,63.13,11,6.15
2635,26,35,141,67,47.52,59,41.84,15,10.64
2636,26,36,110,27,24.55,67,60.91,16,14.55
2637,26,37,128,41,32.03,70,54.69,17,13.28
2638,26,38,56,21,37.5,25,44.64,10,17.86
2639,26,39,137,51,37.23,64,46.72,22,16.06
2640,26,40,96,41,42.71,45,46.88,10,10.42
2641,26,41,133,50,37.59,66,49.62,17,12.78
2642,26,42,110,45,40.91,54,49.09,11,10.0
2643,26,43,65,27,41.54,31,47.69,7,10.77
2644,26,44,93,46,49.46,35,37.63,12,12.9
2645,26,45,53,18,33.96,23,43.4,12,22.64
2647,26,47,75,36,48.0,30,40.0,9,12.0
2648,26,48,127,42,33.07,65,51.18,20,15.75
2649,26,49,66,23,34.85,38,57.58,5,7.58
2701,27,1,142,26,18.31,85,59.86,31,21.83
2705,27,5,1,0,0.0,0,0.0,1,100.0
2707,27,7,196,60,30.61,102,52.04,34,17.35
2711,27,11,85,15,17.65,44,51.76,26,30.59
2713,27,13,275,78,28.36,112,40.73,85,30.91
2716,27,16,2,0,0.0,1,50.0,1,50.0
2724,27,24,13,1,7.69,9,69.23,3,23.08
2727,27,27,3,1,33.33,2,66.67,0,0.0
2733,27,33,39,10,25.64,19,48.72,10,25.64
2735,27,35,14,1,7.14,8,57.14,5,35.71
2740,27,40,184,38,20.65,110,59.78,36,19.57
2743,27,43,12,2,16.67,7,58.33,3,25.0
2745,27,45,17,3,17.65,10,58.82,4,23.53
3014,30,14,78,39,50.0,24,30.77,15,19.23
3019,30,19,133,58,43.61,50,37.59,25,18.8
3101,31,1,79,37,46.84,35,44.3,7,8.86
3102,31,2,92,38,41.3,42,45.65,12,13.04
3104,31,4,157,58,36.94,78,49.68,21,13.38
3105,31,5,135,58,42.96,55,40.74,22,16.3
3106,31,6,87,43,49.43,25,28.74,19,21.84
3107,31,7,183,57,31.15,99,54.1,27,14.75
3110,31,10,84,33,39.29,34,40.48,17,20.24
3113,31,13,120,58,48.33,46,38.33,16,13.33
3116,31,16,145,48,33.1,80,55.17,17,11.72
3117,31,17,78,28,35.9,36,46.15,14,17.95
3118,31,18,99,50,50.51,35,35.35,14,14.14
3120,31,20,95,50,52.63,31,32.63,14,14.74
3121,31,21,102,45,44.12,43,42.16,14,13.73
3122,31,22,79,32,40.51,38,48.1,9,11.39
3123,31,23,97,33,34.02,50,51.55,14,14.43
3124,31,24,148,75,50.68,50,33.78,23,15.54
3126,31,26,115,52,45.22,45,39.13,18,15.65
3127,31,27,106,56,52.83,34,32.08,16,15.09
3128,31,28,82,42,51.22,31,37.8,9,10.98
3129,31,29,114,57,50.0,38,33.33,19,16.67
3130,31,30,68,37,54.41,25,36.76,6,8.82
3132,31,32,61,24,39.34,22,36.07,15,24.59
3135,31,35,74,31,41.89,29,39.19,14,18.92
3136,31,36,133,45,33.83,71,53.38,17,12.78
