ward,precinct,total,Karen Yarbrough,Karen Yarbrough Percent
0112,1,12,224,224,100.0
0114,1,14,44,44,100.0
0115,1,15,38,38,100.0
0132,1,32,56,56,100.0
0202,2,2,158,158,100.0
0209,2,9,117,117,100.0
0210,2,10,158,158,100.0
0211,2,11,188,188,100.0
0212,2,12,110,110,100.0
0213,2,13,175,175,100.0
0214,2,14,181,181,100.0
0217,2,17,233,233,100.0
0218,2,18,162,162,100.0
0219,2,19,125,125,100.0
0220,2,20,25,25,100.0
0221,2,21,6,6,100.0
0223,2,23,129,129,100.0
0227,2,27,141,141,100.0
0228,2,28,28,28,100.0
0229,2,29,171,171,100.0
0232,2,32,134,134,100.0
0234,2,34,192,192,100.0
0235,2,35,157,157,100.0
0236,2,36,143,143,100.0
0238,2,38,111,111,100.0
0239,2,39,95,95,100.0
0240,2,40,187,187,100.0
0241,2,41,122,122,100.0
0242,2,42,138,138,100.0
0243,2,43,175,175,100.0
0245,2,45,188,188,100.0
0246,2,46,88,88,100.0
0301,3,1,293,293,100.0
0302,3,2,299,299,100.0
0303,3,3,183,183,100.0
0304,3,4,132,132,100.0
0305,3,5,117,117,100.0
0306,3,6,222,222,100.0
0308,3,8,154,154,100.0
0309,3,9,223,223,100.0
0310,3,10,110,110,100.0
0311,3,11,224,224,100.0
0312,3,12,264,264,100.0
0313,3,13,267,267,100.0
0314,3,14,190,190,100.0
0315,3,15,208,208,100.0
0316,3,16,186,186,100.0
0317,3,17,223,223,100.0
0318,3,18,142,142,100.0
0319,3,19,218,218,100.0
0320,3,20,211,211,100.0
0321,3,21,273,273,100.0
0322,3,22,227,227,100.0
0323,3,23,137,137,100.0
0324,3,24,203,203,100.0
0325,3,25,310,310,100.0
0326,3,26,295,295,100.0
0327,3,27,239,239,100.0
0328,3,28,165,165,100.0
0329,3,29,200,200,100.0
0330,3,30,99,99,100.0
0331,3,31,240,240,100.0
0332,3,32,227,227,100.0
0333,3,33,209,209,100.0
0334,3,34,266,266,100.0
0335,3,35,5,5,100.0
0336,3,36,125,125,100.0
0337,3,37,176,176,100.0
0339,3,39,274,274,100.0
0340,3,40,237,237,100.0
0402,4,2,255,255,100.0
0404,4,4,269,269,100.0
0405,4,5,268,268,100.0
0406,4,6,302,302,100.0
0407,4,7,363,363,100.0
0408,4,8,34,34,100.0
0410,4,10,329,329,100.0
0411,4,11,126,126,100.0
0413,4,13,163,163,100.0
0414,4,14,30,30,100.0
0415,4,15,84,84,100.0
0416,4,16,271,271,100.0
0417,4,17,267,267,100.0
0420,4,20,229,229,100.0
0421,4,21,219,219,100.0
0422,4,22,10,10,100.0
0425,4,25,240,240,100.0
0428,4,28,144,144,100.0
0429,4,29,63,63,100.0
0430,4,30,32,32,100.0
0434,4,34,228,228,100.0
0435,4,35,314,314,100.0
0436,4,36,135,135,100.0
0437,4,37,310,310,100.0
0621,6,21,73,73,100.0
1102,11,2,12,12,100.0
1106,11,6,214,214,100.0
1107,11,7,156,156,100.0
1114,11,14,64,64,100.0
1130,11,30,73,73,100.0
1133,11,33,184,184,100.0
1134,11,34,67,67,100.0
1135,11,35,56,56,100.0
1136,11,36,71,71,100.0
1137,11,37,36,36,100.0
1210,12,10,29,29,100.0
1215,12,15,88,88,100.0
1218,12,18,8,8,100.0
1502,15,2,97,97,100.0
1503,15,3,102,102,100.0
1507,15,7,91,91,100.0
1513,15,13,15,15,100.0
1514,15,14,19,19,100.0
1516,15,16,1,1,100.0
1517,15,17,117,117,100.0
1518,15,18,77,77,100.0
1520,15,20,98,98,100.0
1521,15,21,107,107,100.0
1522,15,22,94,94,100.0
1523,15,23,123,123,100.0
1524,15,24,86,86,100.0
1602,16,2,123,123,100.0
1603,16,3,95,95,100.0
1604,16,4,104,104,100.0
1605,16,5,84,84,100.0
1606,16,6,114,114,100.0
1607,16,7,104,104,100.0
1608,16,8,74,74,100.0
1609,16,9,11,11,100.0
1610,16,10,101,101,100.0
1611,16,11,92,92,100.0
1612,16,12,85,85,100.0
1613,16,13,92,92,100.0
1614,16,14,89,89,100.0
1615,16,15,134,134,100.0
1616,16,16,119,119,100.0
1617,16,17,108,108,100.0
1618,16,18,105,105,100.0
1619,16,19,97,97,100.0
1620,16,20,94,94,100.0
1621,16,21,99,99,100.0
1622,16,22,98,98,100.0
1623,16,23,6,6,100.0
1624,16,24,67,67,100.0
1625,16,25,136,136,100.0
1626,16,26,107,107,100.0
1627,16,27,104,104,100.0
1629,16,29,100,100,100.0
1631,16,31,121,121,100.0
1633,16,33,107,107,100.0
1634,16,34,72,72,100.0
1635,16,35,96,96,100.0
1636,16,36,88,88,100.0
1706,17,6,70,70,100.0
1707,17,7,96,96,100.0
1708,17,8,0,0,0.0
1712,17,12,152,152,100.0
1713,17,13,112,112,100.0
1714,17,14,153,153,100.0
1716,17,16,37,37,100.0
1719,17,19,86,86,100.0
1725,17,25,1,1,100.0
1731,17,31,81,81,100.0
1733,17,33,45,45,100.0
1735,17,35,89,89,100.0
1736,17,36,25,25,100.0
2002,20,2,57,57,100.0
2004,20,4,48,48,100.0
2006,20,6,65,65,100.0
2011,20,11,139,139,100.0
2015,20,15,42,42,100.0
2017,20,17,75,75,100.0
2020,20,20,94,94,100.0
2021,20,21,94,94,100.0
2025,20,25,109,109,100.0
2027,20,27,18,18,100.0
2030,20,30,75,75,100.0
2031,20,31,137,137,100.0
2032,20,32,120,120,100.0
2036,20,36,47,47,100.0
2037,20,37,0,0,0.0
2038,20,38,46,46,100.0
2039,20,39,19,19,100.0
2214,22,14,68,68,100.0
2215,22,15,7,7,100.0
2219,22,19,29,29,100.0
2221,22,21,160,160,100.0
2317,23,17,29,29,100.0
2319,23,19,41,41,100.0
2331,23,31,48,48,100.0
2401,24,1,124,124,100.0
2402,24,2,121,121,100.0
2403,24,3,107,107,100.0
2404,24,4,102,102,100.0
2405,24,5,61,61,100.0
2406,24,6,127,127,100.0
2407,24,7,76,76,100.0
2408,24,8,62,62,100.0
2409,24,9,100,100,100.0
2410,24,10,62,62,100.0
2411,24,11,119,119,100.0
2412,24,12,65,65,100.0
2413,24,13,53,53,100.0
2414,24,14,91,91,100.0
2415,24,15,51,51,100.0
2416,24,16,52,52,100.0
2417,24,17,106,106,100.0
2418,24,18,137,137,100.0
2419,24,19,165,165,100.0
2420,24,20,104,104,100.0
2421,24,21,56,56,100.0
2422,24,22,157,157,100.0
2423,24,23,93,93,100.0
2424,24,24,136,136,100.0
2425,24,25,107,107,100.0
2426,24,26,217,217,100.0
2427,24,27,149,149,100.0
2428,24,28,99,99,100.0
2429,24,29,112,112,100.0
2430,24,30,76,76,100.0
2431,24,31,133,133,100.0
2432,24,32,69,69,100.0
2433,24,33,67,67,100.0
2434,24,34,111,111,100.0
2435,24,35,106,106,100.0
2436,24,36,155,155,100.0
2437,24,37,82,82,100.0
2438,24,38,120,120,100.0
2439,24,39,167,167,100.0
2440,24,40,130,130,100.0
2441,24,41,105,105,100.0
2503,25,3,179,179,100.0
2504,25,4,140,140,100.0
2506,25,6,52,52,100.0
2510,25,10,183,183,100.0
2514,25,14,75,75,100.0
2516,25,16,158,158,100.0
2518,25,18,60,60,100.0
2520,25,20,104,104,100.0
2521,25,21,273,273,100.0
2525,25,25,145,145,100.0
2527,25,27,132,132,100.0
2529,25,29,152,152,100.0
2531,25,31,180,180,100.0
2601,26,1,81,81,100.0
2603,26,3,170,170,100.0
2604,26,4,80,80,100.0
2610,26,10,93,93,100.0
2617,26,17,103,103,100.0
2619,26,19,75,75,100.0
2621,26,21,139,139,100.0
2627,26,27,67,67,100.0
2628,26,28,90,90,100.0
2633,26,33,131,131,100.0
2636,26,36,78,78,100.0
2639,26,39,75,75,100.0
2645,26,45,7,7,100.0
2646,26,46,85,85,100.0
2701,27,1,158,158,100.0
2702,27,2,144,144,100.0
2703,27,3,95,95,100.0
2704,27,4,85,85,100.0
2705,27,5,119,119,100.0
2706,27,6,137,137,100.0
2708,27,8,109,109,100.0
2709,27,9,72,72,100.0
2710,27,10,193,193,100.0
2711,27,11,124,124,100.0
2713,27,13,187,187,100.0
2714,27,14,65,65,100.0
2715,27,15,67,67,100.0
2716,27,16,98,98,100.0
2717,27,17,140,140,100.0
2718,27,18,111,111,100.0
2719,27,19,67,67,100.0
2720,27,20,77,77,100.0
2721,27,21,123,123,100.0
2722,27,22,83,83,100.0
2723,27,23,127,127,100.0
2724,27,24,83,83,100.0
2725,27,25,150,150,100.0
2726,27,26,140,140,100.0
2727,27,27,143,143,100.0
2728,27,28,92,92,100.0
2729,27,29,85,85,100.0
2730,27,30,85,85,100.0
2731,27,31,144,144,100.0
2732,27,32,132,132,100.0
2733,27,33,124,124,100.0
2734,27,34,111,111,100.0
2735,27,35,137,137,100.0
2736,27,36,129,129,100.0
2737,27,37,168,168,100.0
2738,27,38,260,260,100.0
2739,27,39,134,134,100.0
2740,27,40,137,137,100.0
2741,27,41,147,147,100.0
2742,27,42,66,66,100.0
2743,27,43,94,94,100.0
2744,27,44,92,92,100.0
2745,27,45,208,208,100.0
2747,27,47,121,121,100.0
2748,27,48,197,197,100.0
2749,27,49,117,117,100.0
2750,27,50,150,150,100.0
2801,28,1,95,95,100.0
2802,28,2,110,110,100.0
2803,28,3,107,107,100.0
2804,28,4,83,83,100.0
2805,28,5,91,91,100.0
2806,28,6,95,95,100.0
2807,28,7,121,121,100.0
2808,28,8,104,104,100.0
2809,28,9,122,122,100.0
2810,28,10,178,178,100.0
2811,28,11,201,201,100.0
