ward,precinct,total,Robert Martwick,Robert Martwick Percent,Jeffrey Laporte,Jeffrey Laporte Percent
2929,29,29,122,85,69.67,37,30.33
2931,29,31,59,36,61.02,23,38.98
2932,29,32,115,77,66.96,38,33.04
3801,38,1,150,98,65.33,52,34.67
3803,38,3,137,91,66.42,46,33.58
3805,38,5,153,96,62.75,57,37.25
3806,38,6,133,84,63.16,49,36.84
3807,38,7,96,70,72.92,26,27.08
3809,38,9,172,120,69.77,52,30.23
3811,38,11,174,122,70.11,52,29.89
3813,38,13,180,120,66.67,60,33.33
3814,38,14,163,120,73.62,43,26.38
3815,38,15,150,116,77.33,34,22.67
3817,38,17,160,120,75.0,40,25.0
3818,38,18,180,130,72.22,50,27.78
3819,38,19,200,147,73.5,53,26.5
3821,38,21,138,96,69.57,42,30.43
3822,38,22,189,145,76.72,44,23.28
3824,38,24,158,111,70.25,47,29.75
3825,38,25,138,92,66.67,46,33.33
3826,38,26,156,116,74.36,40,25.64
3827,38,27,146,106,72.6,40,27.4
3829,38,29,167,115,68.86,52,31.14
3830,38,30,151,95,62.91,56,37.09
3831,38,31,192,133,69.27,59,30.73
3832,38,32,138,92,66.67,46,33.33
3833,38,33,159,108,67.92,51,32.08
3836,38,36,153,120,78.43,33,21.57
3838,38,38,148,99,66.89,49,33.11
3840,38,40,182,131,71.98,51,28.02
3841,38,41,205,157,76.59,48,23.41
3920,39,20,244,124,50.82,120,49.18
3921,39,21,186,90,48.39,96,51.61
3923,39,23,232,135,58.19,97,41.81
3924,39,24,220,145,65.91,75,34.09
3941,39,41,3,2,66.67,1,33.33
4103,41,3,86,58,67.44,28,32.56
4112,41,12,169,113,66.86,56,33.14
4124,41,24,134,84,62.69,50,37.31
4130,41,30,169,114,67.46,55,32.54
4138,41,38,182,126,69.23,56,30.77
4512,45,12,204,129,63.24,75,36.76
4513,45,13,192,147,76.56,45,23.44
4514,45,14,234,169,72.22,65,27.78
4515,45,15,292,210,71.92,82,28.08
4516,45,16,200,160,80.0,40,20.0
4517,45,17,204,142,69.61,62,30.39
4518,45,18,173,115,66.47,58,33.53
4519,45,19,88,64,72.73,24,27.27
4520,45,20,129,89,68.99,40,31.01
4521,45,21,184,114,61.96,70,38.04
4522,45,22,178,125,70.22,53,29.78
4523,45,23,174,114,65.52,60,34.48
4524,45,24,163,123,75.46,40,24.54
4525,45,25,129,87,67.44,42,32.56
4526,45,26,99,69,69.7,30,30.3
4527,45,27,158,101,63.92,57,36.08
4528,45,28,132,96,72.73,36,27.27
4529,45,29,119,86,72.27,33,27.73
4530,45,30,176,107,60.8,69,39.2
4531,45,31,157,100,63.69,57,36.31
4532,45,32,126,82,65.08,44,34.92
4533,45,33,128,95,74.22,33,25.78
4534,45,34,205,132,64.39,73,35.61
4535,45,35,224,140,62.5,84,37.5
4536,45,36,223,151,67.71,72,32.29
4537,45,37,174,109,62.64,65,37.36
4538,45,38,153,80,52.29,73,47.71
4539,45,39,162,100,61.73,62,38.27
4540,45,40,194,106,54.64,88,45.36
4541,45,41,175,106,60.57,69,39.43
4542,45,42,199,106,53.27,93,46.73
4543,45,43,196,117,59.69,79,40.31
4544,45,44,172,91,52.91,81,47.09
4545,45,45,99,68,68.69,31,31.31
4546,45,46,126,82,65.08,44,34.92
4547,45,47,127,79,62.2,48,37.8
4548,45,48,119,71,59.66,48,40.34
