ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent
1301,13,1,155,155,100.0
1302,13,2,172,172,100.0
1303,13,3,128,128,100.0
1304,13,4,170,170,100.0
1305,13,5,201,201,100.0
1306,13,6,179,179,100.0
1307,13,7,129,129,100.0
1308,13,8,128,128,100.0
1309,13,9,132,132,100.0
1310,13,10,151,151,100.0
1311,13,11,185,185,100.0
1312,13,12,143,143,100.0
1313,13,13,199,199,100.0
1314,13,14,143,143,100.0
1315,13,15,281,281,100.0
1316,13,16,102,102,100.0
1317,13,17,139,139,100.0
1318,13,18,121,121,100.0
1319,13,19,139,139,100.0
1320,13,20,106,106,100.0
1321,13,21,167,167,100.0
1322,13,22,179,179,100.0
1323,13,23,124,124,100.0
1324,13,24,176,176,100.0
1325,13,25,148,148,100.0
1326,13,26,146,146,100.0
1327,13,27,176,176,100.0
1328,13,28,149,149,100.0
1329,13,29,133,133,100.0
1330,13,30,152,152,100.0
1331,13,31,188,188,100.0
1332,13,32,135,135,100.0
1333,13,33,176,176,100.0
1334,13,34,276,276,100.0
1335,13,35,200,200,100.0
1336,13,36,101,101,100.0
1337,13,37,204,204,100.0
1338,13,38,152,152,100.0
1339,13,39,179,179,100.0
1340,13,40,185,185,100.0
1341,13,41,173,173,100.0
1342,13,42,167,167,100.0
1343,13,43,190,190,100.0
1344,13,44,226,226,100.0
1345,13,45,186,186,100.0
1346,13,46,208,208,100.0
1347,13,47,184,184,100.0
1348,13,48,174,174,100.0
1403,14,3,124,124,100.0
1406,14,6,17,17,100.0
1410,14,10,0,0,0.0
1411,14,11,83,83,100.0
1415,14,15,161,161,100.0
1418,14,18,64,64,100.0
1422,14,22,135,135,100.0
1423,14,23,33,33,100.0
1815,18,15,161,161,100.0
1843,18,43,98,98,100.0
1846,18,46,113,113,100.0
2301,23,1,91,91,100.0
2302,23,2,128,128,100.0
2304,23,4,163,163,100.0
2305,23,5,141,141,100.0
2306,23,6,30,30,100.0
2307,23,7,121,121,100.0
2308,23,8,161,161,100.0
2309,23,9,128,128,100.0
2310,23,10,173,173,100.0
2311,23,11,148,148,100.0
2313,23,13,107,107,100.0
2314,23,14,9,9,100.0
2315,23,15,116,116,100.0
2317,23,17,28,28,100.0
2318,23,18,112,112,100.0
2320,23,20,72,72,100.0
2322,23,22,89,89,100.0
2323,23,23,128,128,100.0
2324,23,24,45,45,100.0
2325,23,25,29,29,100.0
2326,23,26,134,134,100.0
2328,23,28,138,138,100.0
2329,23,29,127,127,100.0
2330,23,30,174,174,100.0
2332,23,32,135,135,100.0
2333,23,33,136,136,100.0
2334,23,34,123,123,100.0
2335,23,35,86,86,100.0
2338,23,38,114,114,100.0
2339,23,39,137,137,100.0
