ward,precinct,total,"Jimmy Lee Tillman, II","Jimmy Lee Tillman, II Percent"
0302,3,2,1,1,100.0
0304,3,4,1,1,100.0
0307,3,7,3,3,100.0
0312,3,12,0,0,0.0
0318,3,18,4,4,100.0
0323,3,23,0,0,0.0
0329,3,29,0,0,0.0
0330,3,30,0,0,0.0
0331,3,31,0,0,0.0
0335,3,35,0,0,0.0
0338,3,38,0,0,0.0
0341,3,41,7,7,100.0
0401,4,1,12,12,100.0
0403,4,3,0,0,0.0
0404,4,4,2,2,100.0
0408,4,8,0,0,0.0
0409,4,9,1,1,100.0
0411,4,11,3,3,100.0
0412,4,12,2,2,100.0
0414,4,14,0,0,0.0
0415,4,15,2,2,100.0
0418,4,18,4,4,100.0
0419,4,19,0,0,0.0
0422,4,22,4,4,100.0
0423,4,23,6,6,100.0
0424,4,24,7,7,100.0
0426,4,26,1,1,100.0
0427,4,27,6,6,100.0
0428,4,28,1,1,100.0
0429,4,29,0,0,0.0
0430,4,30,1,1,100.0
0431,4,31,8,8,100.0
0432,4,32,4,4,100.0
0433,4,33,9,9,100.0
0436,4,36,1,1,100.0
0438,4,38,7,7,100.0
0502,5,2,4,4,100.0
0503,5,3,8,8,100.0
0504,5,4,8,8,100.0
0505,5,5,1,1,100.0
0507,5,7,6,6,100.0
0508,5,8,6,6,100.0
0509,5,9,2,2,100.0
0510,5,10,1,1,100.0
0511,5,11,3,3,100.0
0512,5,12,7,7,100.0
0513,5,13,3,3,100.0
0515,5,15,4,4,100.0
0516,5,16,1,1,100.0
0517,5,17,2,2,100.0
0518,5,18,1,1,100.0
0519,5,19,6,6,100.0
0520,5,20,8,8,100.0
0521,5,21,1,1,100.0
0522,5,22,10,10,100.0
0524,5,24,6,6,100.0
0525,5,25,0,0,0.0
0527,5,27,10,10,100.0
0530,5,30,3,3,100.0
0533,5,33,4,4,100.0
0534,5,34,6,6,100.0
0535,5,35,11,11,100.0
0539,5,39,11,11,100.0
0601,6,1,0,0,0.0
0602,6,2,0,0,0.0
0603,6,3,1,1,100.0
0604,6,4,0,0,0.0
0605,6,5,0,0,0.0
0606,6,6,3,3,100.0
0607,6,7,2,2,100.0
0608,6,8,1,1,100.0
0609,6,9,3,3,100.0
0610,6,10,2,2,100.0
0611,6,11,1,1,100.0
0612,6,12,2,2,100.0
0613,6,13,2,2,100.0
0614,6,14,0,0,0.0
0615,6,15,2,2,100.0
0616,6,16,2,2,100.0
0617,6,17,0,0,0.0
0618,6,18,2,2,100.0
0619,6,19,1,1,100.0
0620,6,20,0,0,0.0
0621,6,21,0,0,0.0
0622,6,22,4,4,100.0
0623,6,23,5,5,100.0
0624,6,24,1,1,100.0
0625,6,25,2,2,100.0
0626,6,26,0,0,0.0
0627,6,27,1,1,100.0
0628,6,28,0,0,0.0
0629,6,29,0,0,0.0
0630,6,30,2,2,100.0
0631,6,31,1,1,100.0
0632,6,32,0,0,0.0
0633,6,33,9,9,100.0
0634,6,34,2,2,100.0
0635,6,35,1,1,100.0
0636,6,36,1,1,100.0
0637,6,37,2,2,100.0
0638,6,38,1,1,100.0
0639,6,39,2,2,100.0
0640,6,40,0,0,0.0
0641,6,41,2,2,100.0
0642,6,42,2,2,100.0
0643,6,43,0,0,0.0
0644,6,44,2,2,100.0
0645,6,45,0,0,0.0
0646,6,46,0,0,0.0
