ward,precinct,total,Ammie Kessem,Ammie Kessem Percent
2929,29,29,29,29,100.0
2931,29,31,10,10,100.0
2932,29,32,22,22,100.0
3801,38,1,14,14,100.0
3803,38,3,25,25,100.0
3805,38,5,26,26,100.0
3806,38,6,34,34,100.0
3807,38,7,31,31,100.0
3809,38,9,39,39,100.0
3811,38,11,33,33,100.0
3813,38,13,37,37,100.0
3814,38,14,38,38,100.0
3815,38,15,17,17,100.0
3817,38,17,34,34,100.0
3818,38,18,38,38,100.0
3819,38,19,40,40,100.0
3821,38,21,23,23,100.0
3822,38,22,22,22,100.0
3824,38,24,23,23,100.0
3825,38,25,23,23,100.0
3826,38,26,28,28,100.0
3827,38,27,25,25,100.0
3829,38,29,19,19,100.0
3830,38,30,25,25,100.0
3831,38,31,28,28,100.0
3832,38,32,35,35,100.0
3833,38,33,27,27,100.0
3836,38,36,14,14,100.0
3838,38,38,32,32,100.0
3840,38,40,29,29,100.0
3841,38,41,14,14,100.0
3920,39,20,41,41,100.0
3921,39,21,37,37,100.0
3923,39,23,40,40,100.0
3924,39,24,55,55,100.0
3941,39,41,2,2,100.0
4103,41,3,20,20,100.0
4112,41,12,45,45,100.0
4124,41,24,59,59,100.0
4130,41,30,38,38,100.0
4138,41,38,34,34,100.0
4512,45,12,23,23,100.0
4513,45,13,19,19,100.0
4514,45,14,27,27,100.0
4515,45,15,22,22,100.0
4516,45,16,22,22,100.0
4517,45,17,31,31,100.0
4518,45,18,38,38,100.0
4519,45,19,17,17,100.0
4520,45,20,26,26,100.0
4521,45,21,33,33,100.0
4522,45,22,19,19,100.0
4523,45,23,33,33,100.0
4524,45,24,19,19,100.0
4525,45,25,24,24,100.0
4526,45,26,29,29,100.0
4527,45,27,39,39,100.0
4528,45,28,41,41,100.0
4529,45,29,20,20,100.0
4530,45,30,11,11,100.0
4531,45,31,20,20,100.0
4532,45,32,14,14,100.0
4533,45,33,21,21,100.0
4534,45,34,19,19,100.0
4535,45,35,36,36,100.0
4536,45,36,34,34,100.0
4537,45,37,26,26,100.0
4538,45,38,18,18,100.0
4539,45,39,27,27,100.0
4540,45,40,34,34,100.0
4541,45,41,29,29,100.0
4542,45,42,25,25,100.0
4543,45,43,38,38,100.0
4544,45,44,43,43,100.0
4545,45,45,31,31,100.0
4546,45,46,36,36,100.0
4547,45,47,17,17,100.0
4548,45,48,54,54,100.0
