ward,precinct,total,GEORGE CARDENAS,GEORGE CARDENAS Percent
1201,12,1,186,186,100.0
1202,12,2,130,130,100.0
1203,12,3,167,167,100.0
1204,12,4,152,152,100.0
1205,12,5,178,178,100.0
1206,12,6,161,161,100.0
1207,12,7,119,119,100.0
1208,12,8,170,170,100.0
1209,12,9,138,138,100.0
1210,12,10,129,129,100.0
1211,12,11,150,150,100.0
1212,12,12,141,141,100.0
1213,12,13,143,143,100.0
1214,12,14,134,134,100.0
1215,12,15,146,146,100.0
1216,12,16,128,128,100.0
1217,12,17,164,164,100.0
1218,12,18,121,121,100.0
1219,12,19,136,136,100.0
1220,12,20,176,176,100.0
1221,12,21,141,141,100.0
1222,12,22,105,105,100.0
1223,12,23,164,164,100.0
