ward,precinct,total,CARRIE M. AUSTIN,CARRIE M. AUSTIN Percent,HENRY MOSES,HENRY MOSES Percent,SHIRLEY J. WHITE,SHIRLEY J. WHITE Percent,CHARLES R. THOMAS SR.,CHARLES R. THOMAS SR. Percent
3401,34,1,302,214,70.86,27,8.94,52,17.22,9,2.98
3402,34,2,241,147,61.0,33,13.69,51,21.16,10,4.15
3403,34,3,251,162,64.54,23,9.16,38,15.14,28,11.16
3404,34,4,198,101,51.01,49,24.75,41,20.71,7,3.54
3405,34,5,227,150,66.08,34,14.98,28,12.33,15,6.61
3406,34,6,310,209,67.42,38,12.26,38,12.26,25,8.06
3407,34,7,292,218,74.66,26,8.9,37,12.67,11,3.77
3408,34,8,184,117,63.59,26,14.13,34,18.48,7,3.8
3409,34,9,191,120,62.83,20,10.47,31,16.23,20,10.47
3410,34,10,248,160,64.52,25,10.08,52,20.97,11,4.44
3411,34,11,196,100,51.02,21,10.71,63,32.14,12,6.12
3412,34,12,279,158,56.63,65,23.3,45,16.13,11,3.94
3413,34,13,256,122,47.66,18,7.03,103,40.23,13,5.08
3414,34,14,189,107,56.61,33,17.46,34,17.99,15,7.94
3415,34,15,171,90,52.63,21,12.28,46,26.9,14,8.19
3416,34,16,190,106,55.79,22,11.58,40,21.05,22,11.58
3417,34,17,298,174,58.39,8,2.68,108,36.24,8,2.68
3418,34,18,184,105,57.07,38,20.65,29,15.76,12,6.52
3419,34,19,238,130,54.62,9,3.78,93,39.08,6,2.52
3420,34,20,322,202,62.73,50,15.53,51,15.84,19,5.9
3421,34,21,343,251,73.18,21,6.12,60,17.49,11,3.21
3422,34,22,266,158,59.4,49,18.42,46,17.29,13,4.89
3423,34,23,212,129,60.85,13,6.13,57,26.89,13,6.13
3424,34,24,208,124,59.62,51,24.52,23,11.06,10,4.81
3425,34,25,297,191,64.31,22,7.41,67,22.56,17,5.72
3426,34,26,277,176,63.54,30,10.83,45,16.25,26,9.39
3427,34,27,211,99,46.92,68,32.23,32,15.17,12,5.69
3428,34,28,156,112,71.79,17,10.9,22,14.1,5,3.21
3429,34,29,195,107,54.87,20,10.26,56,28.72,12,6.15
3430,34,30,283,170,60.07,58,20.49,37,13.07,18,6.36
3431,34,31,177,105,59.32,9,5.08,47,26.55,16,9.04
3432,34,32,237,125,52.74,15,6.33,91,38.4,6,2.53
3433,34,33,207,128,61.84,30,14.49,28,13.53,21,10.14
3434,34,34,272,173,63.6,30,11.03,62,22.79,7,2.57
3435,34,35,256,124,48.44,30,11.72,91,35.55,11,4.3
3436,34,36,255,154,60.39,35,13.73,49,19.22,17,6.67
3437,34,37,150,87,58.0,17,11.33,25,16.67,21,14.0
3438,34,38,145,94,64.83,16,11.03,16,11.03,19,13.1
3439,34,39,180,113,62.78,38,21.11,19,10.56,10,5.56
3440,34,40,262,150,57.25,22,8.4,46,17.56,44,16.79
3441,34,41,179,96,53.63,7,3.91,70,39.11,6,3.35
3442,34,42,269,165,61.34,30,11.15,57,21.19,17,6.32
3443,34,43,252,163,64.68,20,7.94,60,23.81,9,3.57
3444,34,44,251,157,62.55,13,5.18,59,23.51,22,8.76
3445,34,45,263,172,65.4,39,14.83,47,17.87,5,1.9
3446,34,46,176,109,61.93,17,9.66,45,25.57,5,2.84
3447,34,47,221,108,48.87,3,1.36,103,46.61,7,3.17
3448,34,48,296,204,68.92,21,7.09,60,20.27,11,3.72
3449,34,49,306,204,66.67,18,5.88,64,20.92,20,6.54
3450,34,50,209,126,60.29,12,5.74,49,23.44,22,10.53
3451,34,51,307,220,71.66,12,3.91,23,7.49,52,16.94
3452,34,52,216,159,73.61,21,9.72,31,14.35,5,2.31
3453,34,53,129,65,50.39,10,7.75,50,38.76,4,3.1
