ward,precinct,total,William A. O'Connor (Bush),William A. O'Connor (Bush) Percent,Patricia M. Pavlich (Bush),Patricia M. Pavlich (Bush) Percent
0351,3,51,0,0,0.0,0,0.0
1101,11,1,22,11,50.0,11,50.0
1102,11,2,12,7,58.33,5,41.67
1104,11,4,12,7,58.33,5,41.67
1105,11,5,9,4,44.44,5,55.56
1106,11,6,16,8,50.0,8,50.0
1107,11,7,18,9,50.0,9,50.0
1108,11,8,18,8,44.44,10,55.56
1109,11,9,8,4,50.0,4,50.0
1111,11,11,13,8,61.54,5,38.46
1112,11,12,8,3,37.5,5,62.5
1113,11,13,17,9,52.94,8,47.06
1115,11,15,16,8,50.0,8,50.0
1116,11,16,17,9,52.94,8,47.06
1117,11,17,26,13,50.0,13,50.0
1118,11,18,8,4,50.0,4,50.0
1119,11,19,12,7,58.33,5,41.67
1120,11,20,1,0,0.0,1,100.0
1121,11,21,6,2,33.33,4,66.67
1122,11,22,14,7,50.0,7,50.0
1123,11,23,0,0,0.0,0,0.0
1124,11,24,12,7,58.33,5,41.67
1125,11,25,9,5,55.56,4,44.44
1126,11,26,15,8,53.33,7,46.67
1129,11,29,16,9,56.25,7,43.75
1130,11,30,10,5,50.0,5,50.0
1131,11,31,7,3,42.86,4,57.14
1132,11,32,7,4,57.14,3,42.86
1133,11,33,5,3,60.0,2,40.0
1134,11,34,0,0,0.0,0,0.0
1135,11,35,15,7,46.67,8,53.33
1137,11,37,23,12,52.17,11,47.83
1138,11,38,8,4,50.0,4,50.0
1139,11,39,16,8,50.0,8,50.0
1140,11,40,12,6,50.0,6,50.0
1141,11,41,14,6,42.86,8,57.14
1142,11,42,4,2,50.0,2,50.0
1143,11,43,22,11,50.0,11,50.0
1144,11,44,5,2,40.0,3,60.0
1145,11,45,9,4,44.44,5,55.56
1147,11,47,7,4,57.14,3,42.86
1148,11,48,9,5,55.56,4,44.44
1149,11,49,8,5,62.5,3,37.5
1150,11,50,9,4,44.44,5,55.56
1301,13,1,23,12,52.17,11,47.83
1302,13,2,5,3,60.0,2,40.0
1304,13,4,23,12,52.17,11,47.83
1305,13,5,2,2,100.0,0,0.0
1306,13,6,22,12,54.55,10,45.45
1307,13,7,12,7,58.33,5,41.67
1308,13,8,21,11,52.38,10,47.62
1309,13,9,17,8,47.06,9,52.94
1310,13,10,17,9,52.94,8,47.06
1311,13,11,6,4,66.67,2,33.33
1312,13,12,4,1,25.0,3,75.0
1313,13,13,20,11,55.0,9,45.0
1314,13,14,11,5,45.45,6,54.55
1315,13,15,17,8,47.06,9,52.94
1316,13,16,15,7,46.67,8,53.33
1317,13,17,23,13,56.52,10,43.48
1318,13,18,19,9,47.37,10,52.63
1319,13,19,7,4,57.14,3,42.86
1320,13,20,10,7,70.0,3,30.0
1321,13,21,9,4,44.44,5,55.56
1322,13,22,16,8,50.0,8,50.0
1323,13,23,15,8,53.33,7,46.67
1324,13,24,10,5,50.0,5,50.0
1325,13,25,20,10,50.0,10,50.0
1326,13,26,2,1,50.0,1,50.0
1327,13,27,22,12,54.55,10,45.45
1328,13,28,8,4,50.0,4,50.0
1329,13,29,20,10,50.0,10,50.0
1330,13,30,6,4,66.67,2,33.33
1331,13,31,10,5,50.0,5,50.0
1332,13,32,15,8,53.33,7,46.67
1333,13,33,7,4,57.14,3,42.86
1334,13,34,14,6,42.86,8,57.14
1335,13,35,20,10,50.0,10,50.0
1336,13,36,9,5,55.56,4,44.44
1337,13,37,10,5,50.0,5,50.0
1338,13,38,27,14,51.85,13,48.15
1339,13,39,13,6,46.15,7,53.85
1340,13,40,17,9,52.94,8,47.06
1341,13,41,8,3,37.5,5,62.5
1342,13,42,16,9,56.25,7,43.75
1343,13,43,2,1,50.0,1,50.0
1344,13,44,2,1,50.0,1,50.0
1345,13,45,24,11,45.83,13,54.17
1346,13,46,9,4,44.44,5,55.56
1347,13,47,26,14,53.85,12,46.15
1348,13,48,14,8,57.14,6,42.86
1349,13,49,22,11,50.0,11,50.0
1350,13,50,13,7,53.85,6,46.15
1351,13,51,21,11,52.38,10,47.62
1352,13,52,16,8,50.0,8,50.0
1353,13,53,31,16,51.61,15,48.39
1354,13,54,10,6,60.0,4,40.0
1402,14,2,30,16,53.33,14,46.67
1425,14,25,13,7,53.85,6,46.15
1428,14,28,9,5,55.56,4,44.44
1501,15,1,4,2,50.0,2,50.0
1510,15,10,5,3,60.0,2,40.0
1513,15,13,2,1,50.0,1,50.0
1514,15,14,11,6,54.55,5,45.45
1515,15,15,11,6,54.55,5,45.45
1516,15,16,7,3,42.86,4,57.14
1525,15,25,0,0,0.0,0,0.0
1528,15,28,12,6,50.0,6,50.0
1532,15,32,6,3,50.0,3,50.0
1544,15,44,14,6,42.86,8,57.14
1549,15,49,3,1,33.33,2,66.67
1601,16,1,0,0,0.0,0,0.0
1604,16,4,3,2,66.67,1,33.33
1606,16,6,6,3,50.0,3,50.0
1607,16,7,0,0,0.0,0,0.0
1611,16,11,2,1,50.0,1,50.0
1613,16,13,10,6,60.0,4,40.0
1617,16,17,16,9,56.25,7,43.75
1623,16,23,3,2,66.67,1,33.33
1632,16,32,9,5,55.56,4,44.44
1635,16,35,27,15,55.56,12,44.44
1639,16,39,0,0,0.0,0,0.0
1642,16,42,0,0,0.0,0,0.0
1647,16,47,0,0,0.0,0,0.0
1803,18,3,31,17,54.84,14,45.16
1806,18,6,31,15,48.39,16,51.61
1815,18,15,11,6,54.55,5,45.45
1828,18,28,28,14,50.0,14,50.0
1841,18,41,19,10,52.63,9,47.37
1843,18,43,14,7,50.0,7,50.0
1848,18,48,29,15,51.72,14,48.28
1855,18,55,28,14,50.0,14,50.0
1856,18,56,13,6,46.15,7,53.85
1857,18,57,10,5,50.0,5,50.0
1864,18,64,16,9,56.25,7,43.75
1901,19,1,30,15,50.0,15,50.0
1902,19,2,16,8,50.0,8,50.0
1903,19,3,39,20,51.28,19,48.72
1904,19,4,32,16,50.0,16,50.0
1905,19,5,18,9,50.0,9,50.0
1906,19,6,46,24,52.17,22,47.83
1907,19,7,20,10,50.0,10,50.0
1908,19,8,23,13,56.52,10,43.48
1909,19,9,34,18,52.94,16,47.06
1910,19,10,39,20,51.28,19,48.72
1911,19,11,29,15,51.72,14,48.28
1912,19,12,34,18,52.94,16,47.06
1913,19,13,14,7,50.0,7,50.0
1914,19,14,31,16,51.61,15,48.39
1915,19,15,18,9,50.0,9,50.0
1916,19,16,24,11,45.83,13,54.17
1917,19,17,28,15,53.57,13,46.43
1918,19,18,43,23,53.49,20,46.51
1919,19,19,27,13,48.15,14,51.85
1920,19,20,16,8,50.0,8,50.0
1921,19,21,17,7,41.18,10,58.82
1922,19,22,48,26,54.17,22,45.83
1923,19,23,33,18,54.55,15,45.45
1924,19,24,24,12,50.0,12,50.0
1925,19,25,50,26,52.0,24,48.0
1926,19,26,75,38,50.67,37,49.33
1927,19,27,29,16,55.17,13,44.83
1929,19,29,26,14,53.85,12,46.15
1930,19,30,67,34,50.75,33,49.25
1931,19,31,61,32,52.46,29,47.54
1932,19,32,39,21,53.85,18,46.15
1933,19,33,41,22,53.66,19,46.34
1934,19,34,41,21,51.22,20,48.78
1935,19,35,25,13,52.0,12,48.0
1936,19,36,27,14,51.85,13,48.15
1937,19,37,34,17,50.0,17,50.0
1938,19,38,38,19,50.0,19,50.0
1939,19,39,6,3,50.0,3,50.0
1940,19,40,35,18,51.43,17,48.57
1941,19,41,43,22,51.16,21,48.84
1942,19,42,16,8,50.0,8,50.0
1944,19,44,19,11,57.89,8,42.11
1945,19,45,35,19,54.29,16,45.71
1946,19,46,35,18,51.43,17,48.57
1947,19,47,6,4,66.67,2,33.33
1949,19,49,32,16,50.0,16,50.0
1951,19,51,28,15,53.57,13,46.43
1952,19,52,32,18,56.25,14,43.75
1953,19,53,16,9,56.25,7,43.75
1954,19,54,42,20,47.62,22,52.38
1955,19,55,31,15,48.39,16,51.61
1956,19,56,41,21,51.22,20,48.78
1957,19,57,42,20,47.62,22,52.38
1958,19,58,51,26,50.98,25,49.02
1959,19,59,56,29,51.79,27,48.21
1961,19,61,19,9,47.37,10,52.63
