ward,precinct,total,Ramiro Gonzalez (Bush),Ramiro Gonzalez (Bush) Percent,Francisco Perez (Bush),Francisco Perez (Bush) Percent
0101,1,1,2,1,50.0,1,50.0
0102,1,2,6,3,50.0,3,50.0
0103,1,3,14,7,50.0,7,50.0
0104,1,4,8,4,50.0,4,50.0
0105,1,5,8,5,62.5,3,37.5
0107,1,7,18,10,55.56,8,44.44
0108,1,8,11,6,54.55,5,45.45
0109,1,9,12,7,58.33,5,41.67
0110,1,10,16,8,50.0,8,50.0
0111,1,11,5,3,60.0,2,40.0
0112,1,12,20,9,45.0,11,55.0
0113,1,13,13,6,46.15,7,53.85
0114,1,14,7,4,57.14,3,42.86
0115,1,15,0,0,0.0,0,0.0
0116,1,16,2,1,50.0,1,50.0
0117,1,17,12,6,50.0,6,50.0
0118,1,18,4,2,50.0,2,50.0
0119,1,19,19,10,52.63,9,47.37
0120,1,20,19,10,52.63,9,47.37
0121,1,21,22,11,50.0,11,50.0
0122,1,22,16,8,50.0,8,50.0
0123,1,23,16,7,43.75,9,56.25
0124,1,24,8,4,50.0,4,50.0
0125,1,25,6,3,50.0,3,50.0
0126,1,26,16,8,50.0,8,50.0
0127,1,27,14,8,57.14,6,42.86
0128,1,28,3,2,66.67,1,33.33
0129,1,29,16,9,56.25,7,43.75
0130,1,30,22,10,45.45,12,54.55
0131,1,31,28,14,50.0,14,50.0
0132,1,32,12,6,50.0,6,50.0
0133,1,33,11,6,54.55,5,45.45
0134,1,34,3,2,66.67,1,33.33
0135,1,35,7,3,42.86,4,57.14
0136,1,36,27,13,48.15,14,51.85
0137,1,37,15,7,46.67,8,53.33
0138,1,38,2,1,50.0,1,50.0
0139,1,39,18,9,50.0,9,50.0
0140,1,40,6,4,66.67,2,33.33
0313,3,13,10,5,50.0,5,50.0
1103,11,3,9,5,55.56,4,44.44
1110,11,10,10,5,50.0,5,50.0
1118,11,18,4,2,50.0,2,50.0
1126,11,26,0,0,0.0,0,0.0
1201,12,1,6,3,50.0,3,50.0
1202,12,2,10,5,50.0,5,50.0
1203,12,3,5,3,60.0,2,40.0
1204,12,4,8,4,50.0,4,50.0
1205,12,5,18,9,50.0,9,50.0
1206,12,6,7,4,57.14,3,42.86
1207,12,7,1,1,100.0,0,0.0
1208,12,8,24,13,54.17,11,45.83
1209,12,9,4,1,25.0,3,75.0
1210,12,10,12,8,66.67,4,33.33
1211,12,11,6,3,50.0,3,50.0
1212,12,12,3,1,33.33,2,66.67
1213,12,13,8,4,50.0,4,50.0
1214,12,14,7,4,57.14,3,42.86
1215,12,15,7,3,42.86,4,57.14
1216,12,16,6,4,66.67,2,33.33
1217,12,17,3,2,66.67,1,33.33
1218,12,18,2,1,50.0,1,50.0
1219,12,19,12,7,58.33,5,41.67
1220,12,20,8,4,50.0,4,50.0
1221,12,21,10,5,50.0,5,50.0
1222,12,22,9,5,55.56,4,44.44
1223,12,23,10,5,50.0,5,50.0
1224,12,24,11,5,45.45,6,54.55
1225,12,25,5,3,60.0,2,40.0
1226,12,26,3,2,66.67,1,33.33
1227,12,27,14,7,50.0,7,50.0
1228,12,28,14,8,57.14,6,42.86
1229,12,29,22,11,50.0,11,50.0
1303,13,3,33,17,51.52,16,48.48
1401,14,1,13,6,46.15,7,53.85
1403,14,3,3,1,33.33,2,66.67
1404,14,4,15,7,46.67,8,53.33
1405,14,5,4,2,50.0,2,50.0
1406,14,6,11,8,72.73,3,27.27
1407,14,7,13,7,53.85,6,46.15
1408,14,8,4,2,50.0,2,50.0
1409,14,9,6,3,50.0,3,50.0
1410,14,10,25,13,52.0,12,48.0
1411,14,11,9,5,55.56,4,44.44
1412,14,12,16,9,56.25,7,43.75
1413,14,13,18,9,50.0,9,50.0
1414,14,14,6,3,50.0,3,50.0
1415,14,15,6,3,50.0,3,50.0
1416,14,16,23,12,52.17,11,47.83
1417,14,17,10,5,50.0,5,50.0
1418,14,18,8,4,50.0,4,50.0
1419,14,19,7,4,57.14,3,42.86
1420,14,20,9,4,44.44,5,55.56
1421,14,21,5,3,60.0,2,40.0
1422,14,22,7,3,42.86,4,57.14
1423,14,23,6,3,50.0,3,50.0
1424,14,24,1,1,100.0,0,0.0
1426,14,26,6,3,50.0,3,50.0
1427,14,27,9,4,44.44,5,55.56
1429,14,29,9,5,55.56,4,44.44
1430,14,30,16,10,62.5,6,37.5
1431,14,31,3,2,66.67,1,33.33
1432,14,32,3,2,66.67,1,33.33
1433,14,33,4,2,50.0,2,50.0
1434,14,34,4,2,50.0,2,50.0
1435,14,35,14,7,50.0,7,50.0
1436,14,36,11,5,45.45,6,54.55
1437,14,37,4,2,50.0,2,50.0
1621,16,21,2,1,50.0,1,50.0
1632,16,32,0,0,0.0,0,0.0
2004,20,4,7,5,71.43,2,28.57
2008,20,8,9,4,44.44,5,55.56
2015,20,15,15,8,53.33,7,46.67
2021,20,21,4,2,50.0,2,50.0
2043,20,43,1,1,100.0,0,0.0
2201,22,1,4,2,50.0,2,50.0
2202,22,2,2,1,50.0,1,50.0
2203,22,3,7,4,57.14,3,42.86
2204,22,4,6,4,66.67,2,33.33
2205,22,5,2,2,100.0,0,0.0
2206,22,6,2,2,100.0,0,0.0
2208,22,8,3,1,33.33,2,66.67
2209,22,9,8,5,62.5,3,37.5
2210,22,10,10,7,70.0,3,30.0
2211,22,11,2,1,50.0,1,50.0
2212,22,12,1,1,100.0,0,0.0
2213,22,13,2,2,100.0,0,0.0
2214,22,14,3,1,33.33,2,66.67
2215,22,15,2,1,50.0,1,50.0
2216,22,16,9,4,44.44,5,55.56
2217,22,17,7,4,57.14,3,42.86
2218,22,18,5,3,60.0,2,40.0
2220,22,20,10,5,50.0,5,50.0
2222,22,22,0,0,0.0,0,0.0
2223,22,23,0,0,0.0,0,0.0
2224,22,24,2,1,50.0,1,50.0
2225,22,25,1,0,0.0,1,100.0
2226,22,26,5,2,40.0,3,60.0
2227,22,27,9,6,66.67,3,33.33
2228,22,28,3,2,66.67,1,33.33
2229,22,29,1,0,0.0,1,100.0
2230,22,30,4,2,50.0,2,50.0
2309,23,9,19,10,52.63,9,47.37
2324,23,24,22,11,50.0,11,50.0
2329,23,29,19,10,52.63,9,47.37
2453,24,53,2,0,0.0,2,100.0
2457,24,57,6,4,66.67,2,33.33
2501,25,1,20,10,50.0,10,50.0
2502,25,2,26,14,53.85,12,46.15
2505,25,5,10,6,60.0,4,40.0
2506,25,6,16,9,56.25,7,43.75
2507,25,7,6,4,66.67,2,33.33
2508,25,8,2,1,50.0,1,50.0
2509,25,9,14,7,50.0,7,50.0
2511,25,11,14,9,64.29,5,35.71
2512,25,12,11,7,63.64,4,36.36
2513,25,13,13,6,46.15,7,53.85
2515,25,15,7,4,57.14,3,42.86
2517,25,17,11,7,63.64,4,36.36
2519,25,19,8,5,62.5,3,37.5
2520,25,20,7,5,71.43,2,28.57
2522,25,22,10,7,70.0,3,30.0
2523,25,23,4,4,100.0,0,0.0
2524,25,24,12,5,41.67,7,58.33
2530,25,30,3,1,33.33,2,66.67
2531,25,31,6,3,50.0,3,50.0
2601,26,1,12,6,50.0,6,50.0
2602,26,2,9,5,55.56,4,44.44
2603,26,3,2,1,50.0,1,50.0
2604,26,4,0,0,0.0,0,0.0
2605,26,5,2,1,50.0,1,50.0
2606,26,6,2,1,50.0,1,50.0
2607,26,7,4,2,50.0,2,50.0
2608,26,8,5,3,60.0,2,40.0
2609,26,9,9,4,44.44,5,55.56
2610,26,10,2,2,100.0,0,0.0
2611,26,11,10,5,50.0,5,50.0
2612,26,12,2,1,50.0,1,50.0
2613,26,13,7,4,57.14,3,42.86
2614,26,14,6,4,66.67,2,33.33
2615,26,15,6,3,50.0,3,50.0
2616,26,16,2,1,50.0,1,50.0
2618,26,18,4,2,50.0,2,50.0
2619,26,19,8,3,37.5,5,62.5
2620,26,20,10,7,70.0,3,30.0
2621,26,21,1,0,0.0,1,100.0
2622,26,22,1,1,100.0,0,0.0
2623,26,23,11,6,54.55,5,45.45
2624,26,24,4,2,50.0,2,50.0
2625,26,25,0,0,0.0,0,0.0
2626,26,26,4,3,75.0,1,25.0
2627,26,27,5,2,40.0,3,60.0
2628,26,28,4,2,50.0,2,50.0
2629,26,29,2,1,50.0,1,50.0
2630,26,30,5,3,60.0,2,40.0
2631,26,31,6,3,50.0,3,50.0
2632,26,32,15,8,53.33,7,46.67
2634,26,34,2,1,50.0,1,50.0
2635,26,35,8,5,62.5,3,37.5
2636,26,36,0,0,0.0,0,0.0
2637,26,37,12,6,50.0,6,50.0
2638,26,38,2,1,50.0,1,50.0
2639,26,39,6,3,50.0,3,50.0
2640,26,40,0,0,0.0,0,0.0
2641,26,41,2,1,50.0,1,50.0
2642,26,42,7,4,57.14,3,42.86
2643,26,43,7,3,42.86,4,57.14
2644,26,44,5,2,40.0,3,60.0
2645,26,45,4,2,50.0,2,50.0
2646,26,46,2,2,100.0,0,0.0
2647,26,47,4,2,50.0,2,50.0
2648,26,48,5,3,60.0,2,40.0
2649,26,49,1,0,0.0,1,100.0
2650,26,50,0,0,0.0,0,0.0
2651,26,51,2,1,50.0,1,50.0
2652,26,52,0,0,0.0,0,0.0
2653,26,53,6,3,50.0,3,50.0
2654,26,54,4,3,75.0,1,25.0
2655,26,55,2,1,50.0,1,50.0
2656,26,56,2,1,50.0,1,50.0
2657,26,57,4,2,50.0,2,50.0
2658,26,58,1,1,100.0,0,0.0
2659,26,59,8,4,50.0,4,50.0
2660,26,60,10,7,70.0,3,30.0
2661,26,61,3,1,33.33,2,66.67
2662,26,62,7,4,57.14,3,42.86
2663,26,63,0,0,0.0,0,0.0
2732,27,32,2,2,100.0,0,0.0
2735,27,35,24,12,50.0,12,50.0
2738,27,38,26,13,50.0,13,50.0
2741,27,41,11,6,54.55,5,45.45
2755,27,55,4,2,50.0,2,50.0
2756,27,56,8,4,50.0,4,50.0
2759,27,59,8,4,50.0,4,50.0
2829,28,29,0,0,0.0,0,0.0
2834,28,34,2,1,50.0,1,50.0
2838,28,38,1,1,100.0,0,0.0
2906,29,6,11,5,45.45,6,54.55
2907,29,7,15,8,53.33,7,46.67
2930,29,30,7,4,57.14,3,42.86
2939,29,39,15,9,60.0,6,40.0
2952,29,52,13,7,53.85,6,46.15
2953,29,53,1,1,100.0,0,0.0
3004,30,4,5,3,60.0,2,40.0
3005,30,5,7,4,57.14,3,42.86
3006,30,6,3,1,33.33,2,66.67
3017,30,17,0,0,0.0,0,0.0
3018,30,18,8,5,62.5,3,37.5
3019,30,19,2,1,50.0,1,50.0
3020,30,20,5,3,60.0,2,40.0
3021,30,21,9,5,55.56,4,44.44
3022,30,22,11,6,54.55,5,45.45
3023,30,23,2,1,50.0,1,50.0
3024,30,24,6,4,66.67,2,33.33
3025,30,25,7,4,57.14,3,42.86
3026,30,26,0,0,0.0,0,0.0
3027,30,27,9,5,55.56,4,44.44
3029,30,29,4,2,50.0,2,50.0
3031,30,31,2,1,50.0,1,50.0
3032,30,32,2,1,50.0,1,50.0
3033,30,33,8,4,50.0,4,50.0
3035,30,35,7,3,42.86,4,57.14
3036,30,36,29,16,55.17,13,44.83
3041,30,41,4,3,75.0,1,25.0
3101,31,1,16,8,50.0,8,50.0
3102,31,2,16,9,56.25,7,43.75
3104,31,4,6,3,50.0,3,50.0
3105,31,5,15,7,46.67,8,53.33
3106,31,6,11,6,54.55,5,45.45
3107,31,7,9,4,44.44,5,55.56
3110,31,10,0,0,0.0,0,0.0
3111,31,11,6,3,50.0,3,50.0
3112,31,12,11,5,45.45,6,54.55
3113,31,13,12,7,58.33,5,41.67
3114,31,14,2,1,50.0,1,50.0
3116,31,16,0,0,0.0,0,0.0
3117,31,17,7,4,57.14,3,42.86
