ward,precinct,total,Jason E. Tabour,Jason E. Tabour Percent
1819,18,19,0,0,0.0
1824,18,24,0,0,0.0
1825,18,25,1,1,100.0
1826,18,26,1,1,100.0
1830,18,30,0,0,0.0
1832,18,32,1,1,100.0
1834,18,34,4,4,100.0
1845,18,45,3,3,100.0
1846,18,46,0,0,0.0
1851,18,51,1,1,100.0
1852,18,52,0,0,0.0
1853,18,53,0,0,0.0
1862,18,62,0,0,0.0
1863,18,63,0,0,0.0
1909,19,9,17,17,100.0
1956,19,56,21,21,100.0
2115,21,15,0,0,0.0
2129,21,29,0,0,0.0
2135,21,35,2,2,100.0
2136,21,36,0,0,0.0
2157,21,57,1,1,100.0
2173,21,73,3,3,100.0
2175,21,75,1,1,100.0
2176,21,76,4,4,100.0
