ward,precinct,total,Jaime Rivera,Jaime Rivera Percent
2201,22,1,3,3,100.0
2202,22,2,1,1,100.0
2203,22,3,5,5,100.0
2204,22,4,3,3,100.0
2205,22,5,2,2,100.0
2206,22,6,2,2,100.0
2207,22,7,0,0,0.0
2208,22,8,1,1,100.0
2209,22,9,5,5,100.0
2210,22,10,6,6,100.0
2211,22,11,1,1,100.0
2212,22,12,1,1,100.0
2213,22,13,2,2,100.0
2214,22,14,2,2,100.0
2215,22,15,1,1,100.0
2216,22,16,5,5,100.0
2217,22,17,3,3,100.0
2218,22,18,3,3,100.0
2219,22,19,0,0,0.0
2220,22,20,6,6,100.0
2221,22,21,0,0,0.0
2222,22,22,0,0,0.0
2223,22,23,0,0,0.0
2224,22,24,1,1,100.0
2225,22,25,1,1,100.0
2226,22,26,3,3,100.0
2227,22,27,6,6,100.0
2228,22,28,3,3,100.0
2229,22,29,0,0,0.0
2230,22,30,2,2,100.0
