ward,precinct,total,Frank L. Capuzi,Frank L. Capuzi Percent
2601,26,1,6,6,100.0
2602,26,2,4,4,100.0
2603,26,3,1,1,100.0
2604,26,4,0,0,0.0
2605,26,5,1,1,100.0
2606,26,6,1,1,100.0
2607,26,7,4,4,100.0
2608,26,8,4,4,100.0
2609,26,9,6,6,100.0
2610,26,10,1,1,100.0
2611,26,11,4,4,100.0
2612,26,12,1,1,100.0
2613,26,13,4,4,100.0
2614,26,14,4,4,100.0
2615,26,15,2,2,100.0
2616,26,16,1,1,100.0
2617,26,17,34,34,100.0
2618,26,18,2,2,100.0
2619,26,19,6,6,100.0
2620,26,20,5,5,100.0
2621,26,21,1,1,100.0
2622,26,22,0,0,0.0
2623,26,23,6,6,100.0
2624,26,24,2,2,100.0
2625,26,25,0,0,0.0
2626,26,26,2,2,100.0
2627,26,27,4,4,100.0
2628,26,28,5,5,100.0
2629,26,29,1,1,100.0
2630,26,30,3,3,100.0
2631,26,31,3,3,100.0
2632,26,32,12,12,100.0
2633,26,33,50,50,100.0
2634,26,34,1,1,100.0
2635,26,35,6,6,100.0
2636,26,36,0,0,0.0
2637,26,37,5,5,100.0
2638,26,38,2,2,100.0
2639,26,39,3,3,100.0
2640,26,40,0,0,0.0
2641,26,41,1,1,100.0
2642,26,42,4,4,100.0
2643,26,43,4,4,100.0
2644,26,44,4,4,100.0
2645,26,45,2,2,100.0
2646,26,46,23,23,100.0
2647,26,47,2,2,100.0
2648,26,48,2,2,100.0
2649,26,49,1,1,100.0
2650,26,50,0,0,0.0
2651,26,51,1,1,100.0
2652,26,52,0,0,0.0
2653,26,53,3,3,100.0
2654,26,54,2,2,100.0
2655,26,55,1,1,100.0
2656,26,56,2,2,100.0
2657,26,57,1,1,100.0
2658,26,58,0,0,0.0
2659,26,59,4,4,100.0
2660,26,60,7,7,100.0
2661,26,61,2,2,100.0
2662,26,62,4,4,100.0
2663,26,63,0,0,0.0
