ward,precinct,total,Margaree Jackson,Margaree Jackson Percent
2801,28,1,1,1,100.0
2802,28,2,1,1,100.0
2803,28,3,2,2,100.0
2804,28,4,1,1,100.0
2805,28,5,1,1,100.0
2806,28,6,0,0,0.0
2807,28,7,0,0,0.0
2808,28,8,0,0,0.0
2809,28,9,0,0,0.0
2810,28,10,2,2,100.0
2811,28,11,0,0,0.0
2812,28,12,0,0,0.0
2813,28,13,3,3,100.0
2814,28,14,0,0,0.0
2815,28,15,0,0,0.0
2816,28,16,0,0,0.0
2817,28,17,1,1,100.0
2818,28,18,2,2,100.0
2819,28,19,0,0,0.0
2820,28,20,1,1,100.0
2821,28,21,0,0,0.0
2822,28,22,0,0,0.0
2823,28,23,0,0,0.0
2824,28,24,0,0,0.0
2825,28,25,1,1,100.0
2826,28,26,0,0,0.0
2827,28,27,1,1,100.0
2828,28,28,1,1,100.0
2829,28,29,0,0,0.0
2830,28,30,1,1,100.0
2831,28,31,0,0,0.0
2832,28,32,2,2,100.0
2833,28,33,0,0,0.0
2834,28,34,1,1,100.0
2835,28,35,1,1,100.0
2836,28,36,0,0,0.0
2837,28,37,1,1,100.0
2838,28,38,2,2,100.0
2839,28,39,2,2,100.0
2840,28,40,0,0,0.0
2841,28,41,0,0,0.0
2842,28,42,0,0,0.0
2843,28,43,1,1,100.0
2844,28,44,2,2,100.0
2845,28,45,0,0,0.0
2846,28,46,0,0,0.0
2847,28,47,0,0,0.0
2848,28,48,0,0,0.0
2849,28,49,0,0,0.0
2850,28,50,0,0,0.0
2851,28,51,1,1,100.0
2852,28,52,0,0,0.0
2853,28,53,0,0,0.0
2854,28,54,6,6,100.0
2855,28,55,0,0,0.0
2856,28,56,1,1,100.0
2857,28,57,0,0,0.0
2858,28,58,1,1,100.0
2859,28,59,0,0,0.0
2860,28,60,1,1,100.0
2861,28,61,0,0,0.0
2862,28,62,0,0,0.0
2863,28,63,0,0,0.0
2864,28,64,0,0,0.0
2865,28,65,0,0,0.0
2866,28,66,0,0,0.0
2867,28,67,0,0,0.0
2868,28,68,0,0,0.0
2869,28,69,0,0,0.0
2870,28,70,1,1,100.0
2871,28,71,3,3,100.0
2872,28,72,2,2,100.0
2873,28,73,1,1,100.0
