ward,precinct,total,E. Suzanne Davis,E. Suzanne Davis Percent
4301,43,1,11,11,100.0
4302,43,2,24,24,100.0
4303,43,3,19,19,100.0
4304,43,4,28,28,100.0
4305,43,5,19,19,100.0
4306,43,6,14,14,100.0
4307,43,7,6,6,100.0
4308,43,8,17,17,100.0
4309,43,9,13,13,100.0
4310,43,10,10,10,100.0
4311,43,11,9,9,100.0
4312,43,12,40,40,100.0
4313,43,13,12,12,100.0
4314,43,14,29,29,100.0
4315,43,15,26,26,100.0
4316,43,16,27,27,100.0
4317,43,17,19,19,100.0
4318,43,18,42,42,100.0
4319,43,19,12,12,100.0
4320,43,20,14,14,100.0
4321,43,21,13,13,100.0
4322,43,22,22,22,100.0
4323,43,23,8,8,100.0
4324,43,24,30,30,100.0
4325,43,25,12,12,100.0
4326,43,26,34,34,100.0
4327,43,27,17,17,100.0
4328,43,28,17,17,100.0
4329,43,29,23,23,100.0
4330,43,30,11,11,100.0
4331,43,31,9,9,100.0
4332,43,32,19,19,100.0
4333,43,33,17,17,100.0
4334,43,34,10,10,100.0
4335,43,35,14,14,100.0
4336,43,36,40,40,100.0
4337,43,37,27,27,100.0
4338,43,38,23,23,100.0
4339,43,39,13,13,100.0
4340,43,40,15,15,100.0
4341,43,41,12,12,100.0
4342,43,42,24,24,100.0
4343,43,43,24,24,100.0
4344,43,44,25,25,100.0
4345,43,45,4,4,100.0
4346,43,46,29,29,100.0
4347,43,47,24,24,100.0
4348,43,48,24,24,100.0
4349,43,49,24,24,100.0
4350,43,50,16,16,100.0
4351,43,51,26,26,100.0
4352,43,52,38,38,100.0
4353,43,53,31,31,100.0
4354,43,54,19,19,100.0
4355,43,55,16,16,100.0
4356,43,56,7,7,100.0
4357,43,57,22,22,100.0
4358,43,58,24,24,100.0
4359,43,59,41,41,100.0
4360,43,60,9,9,100.0
4361,43,61,7,7,100.0
4362,43,62,28,28,100.0
4363,43,63,13,13,100.0
4364,43,64,22,22,100.0
4365,43,65,17,17,100.0
4366,43,66,7,7,100.0
4367,43,67,28,28,100.0
