ward,precinct,total,Bridget A. Byron,Bridget A. Byron Percent
4601,46,1,41,41,100.0
4602,46,2,7,7,100.0
4603,46,3,16,16,100.0
4604,46,4,19,19,100.0
4605,46,5,6,6,100.0
4606,46,6,3,3,100.0
4607,46,7,18,18,100.0
4608,46,8,7,7,100.0
4609,46,9,18,18,100.0
4610,46,10,9,9,100.0
4611,46,11,14,14,100.0
4612,46,12,16,16,100.0
4613,46,13,32,32,100.0
4614,46,14,3,3,100.0
4615,46,15,22,22,100.0
4616,46,16,7,7,100.0
4617,46,17,32,32,100.0
4618,46,18,16,16,100.0
4619,46,19,9,9,100.0
4620,46,20,10,10,100.0
4621,46,21,5,5,100.0
4622,46,22,22,22,100.0
4623,46,23,9,9,100.0
4624,46,24,15,15,100.0
4625,46,25,13,13,100.0
4626,46,26,7,7,100.0
4627,46,27,20,20,100.0
4628,46,28,23,23,100.0
4629,46,29,15,15,100.0
4630,46,30,20,20,100.0
4631,46,31,11,11,100.0
4632,46,32,16,16,100.0
4633,46,33,15,15,100.0
4634,46,34,11,11,100.0
4635,46,35,21,21,100.0
4636,46,36,26,26,100.0
4637,46,37,14,14,100.0
4638,46,38,9,9,100.0
4639,46,39,9,9,100.0
4640,46,40,6,6,100.0
4641,46,41,9,9,100.0
4642,46,42,17,17,100.0
4643,46,43,10,10,100.0
