ward,precinct,total,Pamela McLean Meyerson,Pamela McLean Meyerson Percent
2901,29,1,259,259,100.0
2907,29,7,229,229,100.0
2909,29,9,250,250,100.0
2910,29,10,284,284,100.0
2912,29,12,315,315,100.0
2915,29,15,285,285,100.0
2917,29,17,238,238,100.0
2923,29,23,201,201,100.0
2924,29,24,242,242,100.0
2929,29,29,162,162,100.0
2930,29,30,249,249,100.0
2931,29,31,138,138,100.0
2932,29,32,151,151,100.0
2936,29,36,250,250,100.0
2938,29,38,159,159,100.0
2939,29,39,144,144,100.0
2943,29,43,311,311,100.0
3001,30,1,169,169,100.0
3002,30,2,165,165,100.0
3003,30,3,68,68,100.0
3004,30,4,165,165,100.0
3005,30,5,81,81,100.0
3006,30,6,116,116,100.0
3007,30,7,161,161,100.0
3008,30,8,190,190,100.0
3009,30,9,129,129,100.0
3010,30,10,161,161,100.0
3011,30,11,145,145,100.0
3012,30,12,123,123,100.0
3013,30,13,138,138,100.0
3016,30,16,69,69,100.0
3017,30,17,180,180,100.0
3018,30,18,134,134,100.0
3020,30,20,140,140,100.0
3021,30,21,116,116,100.0
3022,30,22,155,155,100.0
3023,30,23,126,126,100.0
3024,30,24,129,129,100.0
3025,30,25,156,156,100.0
3026,30,26,104,104,100.0
3027,30,27,98,98,100.0
3028,30,28,192,192,100.0
3029,30,29,96,96,100.0
3030,30,30,45,45,100.0
3031,30,31,129,129,100.0
3103,31,3,103,103,100.0
3108,31,8,74,74,100.0
3109,31,9,115,115,100.0
3111,31,11,77,77,100.0
3112,31,12,94,94,100.0
3114,31,14,100,100,100.0
3115,31,15,75,75,100.0
3117,31,17,29,29,100.0
3119,31,19,86,86,100.0
3125,31,25,86,86,100.0
3131,31,31,95,95,100.0
3133,31,33,95,95,100.0
3134,31,34,94,94,100.0
3135,31,35,36,36,100.0
3601,36,1,159,159,100.0
3602,36,2,135,135,100.0
3603,36,3,141,141,100.0
3604,36,4,134,134,100.0
3605,36,5,158,158,100.0
3607,36,7,209,209,100.0
3610,36,10,179,179,100.0
3614,36,14,175,175,100.0
3615,36,15,171,171,100.0
3616,36,16,151,151,100.0
3617,36,17,181,181,100.0
3618,36,18,152,152,100.0
3619,36,19,177,177,100.0
3620,36,20,153,153,100.0
3621,36,21,18,18,100.0
3623,36,23,73,73,100.0
3624,36,24,156,156,100.0
3626,36,26,130,130,100.0
3627,36,27,129,129,100.0
3628,36,28,145,145,100.0
3629,36,29,186,186,100.0
3630,36,30,154,154,100.0
3716,37,16,188,188,100.0
3724,37,24,182,182,100.0
3726,37,26,233,233,100.0
3802,38,2,184,184,100.0
3803,38,3,176,176,100.0
3804,38,4,187,187,100.0
3805,38,5,169,169,100.0
3806,38,6,164,164,100.0
3807,38,7,167,167,100.0
3808,38,8,162,162,100.0
3809,38,9,209,209,100.0
3810,38,10,152,152,100.0
3811,38,11,192,192,100.0
3812,38,12,160,160,100.0
3813,38,13,186,186,100.0
3814,38,14,197,197,100.0
3815,38,15,140,140,100.0
3816,38,16,200,200,100.0
3817,38,17,216,216,100.0
3818,38,18,199,199,100.0
3819,38,19,201,201,100.0
3820,38,20,172,172,100.0
3821,38,21,157,157,100.0
3822,38,22,162,162,100.0
3823,38,23,229,229,100.0
3824,38,24,207,207,100.0
3825,38,25,142,142,100.0
3826,38,26,181,181,100.0
3827,38,27,190,190,100.0
3828,38,28,231,231,100.0
3829,38,29,160,160,100.0
3830,38,30,145,145,100.0
3833,38,33,166,166,100.0
3834,38,34,147,147,100.0
3835,38,35,174,174,100.0
3836,38,36,171,171,100.0
3837,38,37,186,186,100.0
3838,38,38,170,170,100.0
3839,38,39,195,195,100.0
3840,38,40,192,192,100.0
4125,41,25,106,106,100.0
4127,41,27,153,153,100.0
4128,41,28,188,188,100.0
4129,41,29,124,124,100.0
4504,45,4,37,37,100.0
4505,45,5,175,175,100.0
4506,45,6,235,235,100.0
4507,45,7,26,26,100.0
4508,45,8,7,7,100.0
4509,45,9,136,136,100.0
4510,45,10,86,86,100.0
