ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent
2801,28,1,242,242,100.0
2812,28,12,294,294,100.0
2814,28,14,190,190,100.0
2831,28,31,369,369,100.0
2839,28,39,211,211,100.0
2841,28,41,224,224,100.0
2842,28,42,194,194,100.0
2843,28,43,356,356,100.0
2902,29,2,491,491,100.0
2903,29,3,368,368,100.0
2906,29,6,284,284,100.0
2908,29,8,268,268,100.0
2911,29,11,228,228,100.0
2914,29,14,330,330,100.0
2916,29,16,358,358,100.0
2918,29,18,319,319,100.0
2919,29,19,354,354,100.0
2920,29,20,393,393,100.0
2921,29,21,371,371,100.0
2922,29,22,279,279,100.0
2928,29,28,434,434,100.0
2934,29,34,187,187,100.0
2942,29,42,356,356,100.0
3701,37,1,293,293,100.0
3705,37,5,340,340,100.0
3706,37,6,285,285,100.0
3709,37,9,293,293,100.0
3710,37,10,284,284,100.0
3711,37,11,220,220,100.0
3714,37,14,270,270,100.0
3715,37,15,332,332,100.0
3716,37,16,356,356,100.0
3717,37,17,272,272,100.0
3720,37,20,242,242,100.0
3722,37,22,169,169,100.0
3723,37,23,324,324,100.0
3724,37,24,283,283,100.0
3725,37,25,291,291,100.0
3726,37,26,279,279,100.0
3727,37,27,296,296,100.0
3729,37,29,130,130,100.0
3730,37,30,284,284,100.0
3731,37,31,319,319,100.0
3732,37,32,260,260,100.0
3733,37,33,322,322,100.0
3734,37,34,298,298,100.0
3736,37,36,306,306,100.0
3738,37,38,319,319,100.0
3739,37,39,294,294,100.0
3740,37,40,315,315,100.0
3741,37,41,275,275,100.0
