ward,precinct,total,Gregory Harris,Gregory Harris Percent
1403,14,3,0,0,0.0
3318,33,18,115,115,100.0
3913,39,13,6,6,100.0
3922,39,22,149,149,100.0
3930,39,30,74,74,100.0
4001,40,1,199,199,100.0
4002,40,2,240,240,100.0
4003,40,3,299,299,100.0
4004,40,4,21,21,100.0
4005,40,5,277,277,100.0
4006,40,6,316,316,100.0
4007,40,7,290,290,100.0
4008,40,8,352,352,100.0
4009,40,9,220,220,100.0
4010,40,10,81,81,100.0
4011,40,11,287,287,100.0
4012,40,12,189,189,100.0
4013,40,13,382,382,100.0
4014,40,14,172,172,100.0
4015,40,15,224,224,100.0
4016,40,16,351,351,100.0
4017,40,17,220,220,100.0
4018,40,18,190,190,100.0
4019,40,19,304,304,100.0
4020,40,20,223,223,100.0
4021,40,21,331,331,100.0
4022,40,22,273,273,100.0
4023,40,23,359,359,100.0
4024,40,24,170,170,100.0
4025,40,25,354,354,100.0
4026,40,26,344,344,100.0
4027,40,27,345,345,100.0
4029,40,29,276,276,100.0
4030,40,30,254,254,100.0
4031,40,31,331,331,100.0
4032,40,32,322,322,100.0
4033,40,33,285,285,100.0
4034,40,34,211,211,100.0
4035,40,35,187,187,100.0
4036,40,36,259,259,100.0
4037,40,37,273,273,100.0
4038,40,38,320,320,100.0
4039,40,39,28,28,100.0
4601,46,1,296,296,100.0
4602,46,2,261,261,100.0
4604,46,4,302,302,100.0
4606,46,6,251,251,100.0
4608,46,8,196,196,100.0
4612,46,12,269,269,100.0
4614,46,14,349,349,100.0
4616,46,16,309,309,100.0
4620,46,20,266,266,100.0
4621,46,21,206,206,100.0
4622,46,22,199,199,100.0
4623,46,23,248,248,100.0
4625,46,25,254,254,100.0
4626,46,26,128,128,100.0
4629,46,29,20,20,100.0
4632,46,32,294,294,100.0
4637,46,37,187,187,100.0
4640,46,40,273,273,100.0
4705,47,5,253,253,100.0
4710,47,10,354,354,100.0
4715,47,15,356,356,100.0
4719,47,19,364,364,100.0
4720,47,20,303,303,100.0
4722,47,22,356,356,100.0
4723,47,23,355,355,100.0
4726,47,26,322,322,100.0
4728,47,28,296,296,100.0
4730,47,30,320,320,100.0
4731,47,31,310,310,100.0
4732,47,32,338,338,100.0
4734,47,34,366,366,100.0
4736,47,36,337,337,100.0
4737,47,37,321,321,100.0
4738,47,38,309,309,100.0
4739,47,39,8,8,100.0
4741,47,41,293,293,100.0
4742,47,42,261,261,100.0
4745,47,45,318,318,100.0
4804,48,4,254,254,100.0
4807,48,7,4,4,100.0
4814,48,14,0,0,0.0
4817,48,17,323,323,100.0
4820,48,20,230,230,100.0
4821,48,21,355,355,100.0
4823,48,23,330,330,100.0
4824,48,24,298,298,100.0
4835,48,35,233,233,100.0
4838,48,38,54,54,100.0
