ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,Gregory A. Bedell,Gregory A. Bedell Percent
3302,33,2,171,140,81.87,31,18.13
3307,33,7,87,68,78.16,19,21.84
3530,35,30,42,37,88.1,5,11.9
3901,39,1,356,196,55.06,160,44.94
3902,39,2,344,225,65.41,119,34.59
3904,39,4,339,205,60.47,134,39.53
3905,39,5,342,253,73.98,89,26.02
3906,39,6,264,192,72.73,72,27.27
3907,39,7,256,187,73.05,69,26.95
3908,39,8,308,262,85.06,46,14.94
3909,39,9,313,254,81.15,59,18.85
3910,39,10,152,128,84.21,24,15.79
3911,39,11,300,235,78.33,65,21.67
3912,39,12,155,128,82.58,27,17.42
3913,39,13,276,214,77.54,62,22.46
3914,39,14,272,191,70.22,81,29.78
3915,39,15,380,251,66.05,129,33.95
3916,39,16,200,153,76.5,47,23.5
3917,39,17,371,284,76.55,87,23.45
3918,39,18,316,224,70.89,92,29.11
3919,39,19,296,232,78.38,64,21.62
3924,39,24,3,2,66.67,1,33.33
3925,39,25,34,29,85.29,5,14.71
3926,39,26,312,223,71.47,89,28.53
3927,39,27,70,46,65.71,24,34.29
3929,39,29,140,121,86.43,19,13.57
3930,39,30,244,181,74.18,63,25.82
3931,39,31,40,32,80.0,8,20.0
3932,39,32,303,233,76.9,70,23.1
3933,39,33,313,251,80.19,62,19.81
3935,39,35,270,165,61.11,105,38.89
3936,39,36,115,94,81.74,21,18.26
3937,39,37,383,252,65.8,131,34.2
3938,39,38,211,153,72.51,58,27.49
3939,39,39,209,144,68.9,65,31.1
3940,39,40,295,207,70.17,88,29.83
3941,39,41,392,270,68.88,122,31.12
3942,39,42,386,264,68.39,122,31.61
3943,39,43,408,275,67.4,133,32.6
3944,39,44,310,178,57.42,132,42.58
3945,39,45,359,235,65.46,124,34.54
4106,41,6,460,274,59.57,186,40.43
4109,41,9,371,235,63.34,136,36.66
4114,41,14,463,265,57.24,198,42.76
4119,41,19,465,258,55.48,207,44.52
4132,41,32,298,193,64.77,105,35.23
4139,41,39,402,252,62.69,150,37.31
4147,41,47,408,260,63.73,148,36.27
4532,45,32,185,132,71.35,53,28.65
5024,50,24,299,191,63.88,108,36.12
5025,50,25,59,47,79.66,12,20.34
