ward,precinct,total,Elizabeth ''Lisa'' Hernandez,Elizabeth ''Lisa'' Hernandez Percent
1216,12,16,2,2,100.0
2203,22,3,240,240,100.0
2204,22,4,85,85,100.0
2205,22,5,170,170,100.0
2206,22,6,196,196,100.0
2207,22,7,111,111,100.0
2209,22,9,149,149,100.0
2210,22,10,3,3,100.0
2211,22,11,198,198,100.0
2213,22,13,90,90,100.0
2215,22,15,25,25,100.0
2216,22,16,10,10,100.0
2217,22,17,156,156,100.0
2218,22,18,67,67,100.0
2220,22,20,158,158,100.0
2224,22,24,233,233,100.0
2225,22,25,190,190,100.0
