ward,precinct,total,Monique D. Davis,Monique D. Davis Percent
0902,9,2,95,95,100.0
0910,9,10,316,316,100.0
0917,9,17,218,218,100.0
0920,9,20,336,336,100.0
0921,9,21,293,293,100.0
0927,9,27,297,297,100.0
0930,9,30,245,245,100.0
1914,19,14,325,325,100.0
1920,19,20,280,280,100.0
1931,19,31,229,229,100.0
1940,19,40,296,296,100.0
1942,19,42,241,241,100.0
1943,19,43,463,463,100.0
1947,19,47,468,468,100.0
1948,19,48,406,406,100.0
1949,19,49,404,404,100.0
2102,21,2,74,74,100.0
2105,21,5,365,365,100.0
2106,21,6,274,274,100.0
2110,21,10,319,319,100.0
2111,21,11,315,315,100.0
2112,21,12,332,332,100.0
2117,21,17,257,257,100.0
2119,21,19,346,346,100.0
2120,21,20,94,94,100.0
2121,21,21,275,275,100.0
2122,21,22,204,204,100.0
2123,21,23,295,295,100.0
2124,21,24,317,317,100.0
2125,21,25,287,287,100.0
2127,21,27,331,331,100.0
2133,21,33,319,319,100.0
2134,21,34,145,145,100.0
2135,21,35,336,336,100.0
2136,21,36,232,232,100.0
2137,21,37,274,274,100.0
2138,21,38,316,316,100.0
2139,21,39,261,261,100.0
2140,21,40,285,285,100.0
2141,21,41,350,350,100.0
2142,21,42,243,243,100.0
2143,21,43,12,12,100.0
2144,21,44,219,219,100.0
2145,21,45,327,327,100.0
2146,21,46,332,332,100.0
2148,21,48,189,189,100.0
2149,21,49,341,341,100.0
2150,21,50,296,296,100.0
2152,21,52,45,45,100.0
3401,34,1,369,369,100.0
3402,34,2,132,132,100.0
3405,34,5,303,303,100.0
3407,34,7,367,367,100.0
3408,34,8,280,280,100.0
3410,34,10,335,335,100.0
3412,34,12,370,370,100.0
3413,34,13,338,338,100.0
3415,34,15,126,126,100.0
3417,34,17,416,416,100.0
3419,34,19,349,349,100.0
3420,34,20,129,129,100.0
3421,34,21,405,405,100.0
3425,34,25,379,379,100.0
3429,34,29,252,252,100.0
3431,34,31,34,34,100.0
3432,34,32,321,321,100.0
3434,34,34,355,355,100.0
3435,34,35,341,341,100.0
3440,34,40,375,375,100.0
3443,34,43,304,304,100.0
3444,34,44,334,334,100.0
3445,34,45,354,354,100.0
3446,34,46,211,211,100.0
3447,34,47,308,308,100.0
3448,34,48,352,352,100.0
3449,34,49,380,380,100.0
3451,34,51,181,181,100.0
3452,34,52,275,275,100.0
