ward,precinct,total,JOHN A. POPE,JOHN A. POPE Percent
1001,10,1,127,127,100.0
1002,10,2,144,144,100.0
1003,10,3,215,215,100.0
1004,10,4,113,113,100.0
1005,10,5,187,187,100.0
1006,10,6,116,116,100.0
1007,10,7,33,33,100.0
1008,10,8,183,183,100.0
1009,10,9,212,212,100.0
1010,10,10,185,185,100.0
1011,10,11,171,171,100.0
1012,10,12,162,162,100.0
1013,10,13,141,141,100.0
1014,10,14,181,181,100.0
1015,10,15,90,90,100.0
1016,10,16,198,198,100.0
1017,10,17,203,203,100.0
1018,10,18,107,107,100.0
1019,10,19,208,208,100.0
1020,10,20,147,147,100.0
1021,10,21,131,131,100.0
1022,10,22,59,59,100.0
1023,10,23,129,129,100.0
1024,10,24,171,171,100.0
1025,10,25,172,172,100.0
1026,10,26,113,113,100.0
1027,10,27,243,243,100.0
1028,10,28,137,137,100.0
1029,10,29,106,106,100.0
1030,10,30,172,172,100.0
1031,10,31,158,158,100.0
1032,10,32,142,142,100.0
1033,10,33,146,146,100.0
1034,10,34,151,151,100.0
1035,10,35,152,152,100.0
1036,10,36,157,157,100.0
1037,10,37,85,85,100.0
1038,10,38,178,178,100.0
1039,10,39,160,160,100.0
1040,10,40,155,155,100.0
1041,10,41,212,212,100.0
1042,10,42,164,164,100.0
1043,10,43,52,52,100.0
1044,10,44,133,133,100.0
1045,10,45,95,95,100.0
1046,10,46,161,161,100.0
1047,10,47,146,146,100.0
1048,10,48,92,92,100.0
1049,10,49,91,91,100.0
