ward,precinct,total,THOMAS R. ALLEN,THOMAS R. ALLEN Percent,CHESTER R. HORNOWSKI,CHESTER R. HORNOWSKI Percent
3801,38,1,223,204,91.48,19,8.52
3802,38,2,160,130,81.25,30,18.75
3803,38,3,174,161,92.53,13,7.47
3804,38,4,88,78,88.64,10,11.36
3805,38,5,238,212,89.08,26,10.92
3806,38,6,139,110,79.14,29,20.86
3807,38,7,192,170,88.54,22,11.46
3808,38,8,139,119,85.61,20,14.39
3809,38,9,143,125,87.41,18,12.59
3810,38,10,199,167,83.92,32,16.08
3811,38,11,161,146,90.68,15,9.32
3812,38,12,231,218,94.37,13,5.63
3813,38,13,149,127,85.23,22,14.77
3814,38,14,160,142,88.75,18,11.25
3815,38,15,143,130,90.91,13,9.09
3816,38,16,268,246,91.79,22,8.21
3817,38,17,163,156,95.71,7,4.29
3818,38,18,178,170,95.51,8,4.49
3819,38,19,225,206,91.56,19,8.44
3820,38,20,246,215,87.4,31,12.6
3821,38,21,177,148,83.62,29,16.38
3822,38,22,192,174,90.63,18,9.38
3823,38,23,142,132,92.96,10,7.04
3824,38,24,96,88,91.67,8,8.33
3825,38,25,155,138,89.03,17,10.97
3826,38,26,157,134,85.35,23,14.65
3827,38,27,100,94,94.0,6,6.0
3828,38,28,149,136,91.28,13,8.72
3829,38,29,154,126,81.82,28,18.18
3830,38,30,153,136,88.89,17,11.11
3831,38,31,215,198,92.09,17,7.91
3832,38,32,233,205,87.98,28,12.02
3833,38,33,164,146,89.02,18,10.98
3834,38,34,99,86,86.87,13,13.13
3835,38,35,208,185,88.94,23,11.06
3836,38,36,192,187,97.4,5,2.6
3837,38,37,182,151,82.97,31,17.03
3838,38,38,228,196,85.96,32,14.04
3839,38,39,163,139,85.28,24,14.72
3840,38,40,132,116,87.88,16,12.12
3841,38,41,289,276,95.5,13,4.5
3842,38,42,236,221,93.64,15,6.36
3843,38,43,201,178,88.56,23,11.44
3844,38,44,196,175,89.29,21,10.71
3845,38,45,204,187,91.67,17,8.33
3846,38,46,181,162,89.5,19,10.5
3847,38,47,210,196,93.33,14,6.67
3848,38,48,179,160,89.39,19,10.61
3849,38,49,167,145,86.83,22,13.17
3850,38,50,199,173,86.93,26,13.07
3851,38,51,154,135,87.66,19,12.34
3852,38,52,202,189,93.56,13,6.44
3853,38,53,39,30,76.92,9,23.08
