ward,precinct,total,MARGARET LAURINO,MARGARET LAURINO Percent
3901,39,1,141,141,100.0
3902,39,2,323,323,100.0
3903,39,3,172,172,100.0
3904,39,4,92,92,100.0
3905,39,5,140,140,100.0
3906,39,6,144,144,100.0
3907,39,7,128,128,100.0
3908,39,8,255,255,100.0
3909,39,9,164,164,100.0
3910,39,10,143,143,100.0
3911,39,11,242,242,100.0
3912,39,12,109,109,100.0
3913,39,13,76,76,100.0
3914,39,14,153,153,100.0
3915,39,15,149,149,100.0
3916,39,16,88,88,100.0
3917,39,17,121,121,100.0
3918,39,18,162,162,100.0
3919,39,19,147,147,100.0
3920,39,20,125,125,100.0
3921,39,21,104,104,100.0
3922,39,22,202,202,100.0
3923,39,23,104,104,100.0
3924,39,24,144,144,100.0
3925,39,25,162,162,100.0
3926,39,26,159,159,100.0
3927,39,27,164,164,100.0
3928,39,28,168,168,100.0
3929,39,29,183,183,100.0
3930,39,30,96,96,100.0
3931,39,31,89,89,100.0
3932,39,32,229,229,100.0
3933,39,33,160,160,100.0
3934,39,34,162,162,100.0
3935,39,35,144,144,100.0
3936,39,36,255,255,100.0
3937,39,37,209,209,100.0
3938,39,38,152,152,100.0
3939,39,39,97,97,100.0
3940,39,40,132,132,100.0
3941,39,41,80,80,100.0
3942,39,42,158,158,100.0
3943,39,43,123,123,100.0
3944,39,44,237,237,100.0
3945,39,45,92,92,100.0
3946,39,46,123,123,100.0
3947,39,47,129,129,100.0
