ward,precinct,total,JAMES R. BROWN,JAMES R. BROWN Percent
0228,2,28,0,0,0.0
0313,3,13,108,108,100.0
0347,3,47,13,13,100.0
0351,3,51,44,44,100.0
1101,11,1,231,231,100.0
1102,11,2,176,176,100.0
1103,11,3,175,175,100.0
1104,11,4,265,265,100.0
1105,11,5,138,138,100.0
1106,11,6,296,296,100.0
1107,11,7,230,230,100.0
1108,11,8,233,233,100.0
1109,11,9,226,226,100.0
1110,11,10,128,128,100.0
1111,11,11,222,222,100.0
1116,11,16,241,241,100.0
1117,11,17,268,268,100.0
1118,11,18,170,170,100.0
1119,11,19,193,193,100.0
1120,11,20,190,190,100.0
1121,11,21,302,302,100.0
1122,11,22,205,205,100.0
1123,11,23,190,190,100.0
1124,11,24,340,340,100.0
1125,11,25,164,164,100.0
1126,11,26,303,303,100.0
1129,11,29,261,261,100.0
1130,11,30,205,205,100.0
1133,11,33,167,167,100.0
1135,11,35,290,290,100.0
1137,11,37,236,236,100.0
1138,11,38,323,323,100.0
1140,11,40,135,135,100.0
1141,11,41,128,128,100.0
1142,11,42,47,47,100.0
1144,11,44,193,193,100.0
1149,11,49,0,0,0.0
1150,11,50,165,165,100.0
1201,12,1,59,59,100.0
1202,12,2,110,110,100.0
1203,12,3,108,108,100.0
1204,12,4,92,92,100.0
1205,12,5,120,120,100.0
1206,12,6,70,70,100.0
1207,12,7,34,34,100.0
1208,12,8,188,188,100.0
1209,12,9,80,80,100.0
1210,12,10,61,61,100.0
1211,12,11,91,91,100.0
1212,12,12,65,65,100.0
1213,12,13,87,87,100.0
1214,12,14,79,79,100.0
1215,12,15,86,86,100.0
1216,12,16,95,95,100.0
1217,12,17,71,71,100.0
1218,12,18,106,106,100.0
1219,12,19,108,108,100.0
1220,12,20,110,110,100.0
1221,12,21,128,128,100.0
1222,12,22,79,79,100.0
1223,12,23,74,74,100.0
1224,12,24,136,136,100.0
1225,12,25,100,100,100.0
1226,12,26,100,100,100.0
1227,12,27,71,71,100.0
1228,12,28,101,101,100.0
1229,12,29,126,126,100.0
1405,14,5,132,132,100.0
1407,14,7,130,130,100.0
1408,14,8,74,74,100.0
1410,14,10,134,134,100.0
1411,14,11,119,119,100.0
1412,14,12,91,91,100.0
1414,14,14,106,106,100.0
1415,14,15,161,161,100.0
1416,14,16,151,151,100.0
1417,14,17,112,112,100.0
1418,14,18,115,115,100.0
1419,14,19,170,170,100.0
1420,14,20,109,109,100.0
1421,14,21,107,107,100.0
1422,14,22,139,139,100.0
1423,14,23,100,100,100.0
1424,14,24,88,88,100.0
1426,14,26,101,101,100.0
1429,14,29,139,139,100.0
1430,14,30,116,116,100.0
1431,14,31,119,119,100.0
1432,14,32,107,107,100.0
1433,14,33,83,83,100.0
1434,14,34,83,83,100.0
1436,14,36,163,163,100.0
1437,14,37,105,105,100.0
1506,15,6,137,137,100.0
1509,15,9,164,164,100.0
1511,15,11,142,142,100.0
1513,15,13,108,108,100.0
1515,15,15,156,156,100.0
1522,15,22,161,161,100.0
1524,15,24,143,143,100.0
1525,15,25,144,144,100.0
1527,15,27,60,60,100.0
1529,15,29,82,82,100.0
1530,15,30,150,150,100.0
1532,15,32,163,163,100.0
1538,15,38,115,115,100.0
1544,15,44,147,147,100.0
1545,15,45,73,73,100.0
1548,15,48,115,115,100.0
1549,15,49,110,110,100.0
1550,15,50,141,141,100.0
1601,16,1,98,98,100.0
1602,16,2,107,107,100.0
1604,16,4,122,122,100.0
1607,16,7,141,141,100.0
1611,16,11,150,150,100.0
1613,16,13,118,118,100.0
1621,16,21,124,124,100.0
1623,16,23,147,147,100.0
1632,16,32,112,112,100.0
1635,16,35,116,116,100.0
1639,16,39,35,35,100.0
1642,16,42,86,86,100.0
1644,16,44,155,155,100.0
1647,16,47,4,4,100.0
2004,20,4,94,94,100.0
2008,20,8,58,58,100.0
2015,20,15,43,43,100.0
2021,20,21,54,54,100.0
2041,20,41,7,7,100.0
2043,20,43,51,51,100.0
2051,20,51,36,36,100.0
2201,22,1,89,89,100.0
2202,22,2,64,64,100.0
2203,22,3,91,91,100.0
2204,22,4,113,113,100.0
2205,22,5,113,113,100.0
2206,22,6,98,98,100.0
2208,22,8,94,94,100.0
2209,22,9,95,95,100.0
2210,22,10,91,91,100.0
2211,22,11,106,106,100.0
2212,22,12,71,71,100.0
2213,22,13,132,132,100.0
2214,22,14,91,91,100.0
2215,22,15,92,92,100.0
2216,22,16,126,126,100.0
2217,22,17,109,109,100.0
2218,22,18,102,102,100.0
2219,22,19,132,132,100.0
2220,22,20,123,123,100.0
2222,22,22,75,75,100.0
2223,22,23,68,68,100.0
2224,22,24,91,91,100.0
2225,22,25,79,79,100.0
2226,22,26,73,73,100.0
2227,22,27,100,100,100.0
2228,22,28,95,95,100.0
2229,22,29,69,69,100.0
2230,22,30,97,97,100.0
2331,23,31,199,199,100.0
2410,24,10,6,6,100.0
2414,24,14,0,0,0.0
2444,24,44,63,63,100.0
2453,24,53,125,125,100.0
2457,24,57,115,115,100.0
2501,25,1,145,145,100.0
2502,25,2,154,154,100.0
2503,25,3,11,11,100.0
2505,25,5,181,181,100.0
2506,25,6,123,123,100.0
2507,25,7,136,136,100.0
2508,25,8,157,157,100.0
2509,25,9,194,194,100.0
2511,25,11,123,123,100.0
2512,25,12,158,158,100.0
2513,25,13,160,160,100.0
2515,25,15,157,157,100.0
2517,25,17,208,208,100.0
2519,25,19,158,158,100.0
2520,25,20,196,196,100.0
2522,25,22,84,84,100.0
2523,25,23,169,169,100.0
2524,25,24,144,144,100.0
2525,25,25,146,146,100.0
2527,25,27,142,142,100.0
2529,25,29,46,46,100.0
2530,25,30,164,164,100.0
2829,28,29,122,122,100.0
2834,28,34,11,11,100.0
2838,28,38,52,52,100.0
2869,28,69,80,80,100.0
