ward,precinct,total,MIGUEL DEL VALLE,MIGUEL DEL VALLE Percent
0101,1,1,241,241,100.0
0102,1,2,280,280,100.0
0103,1,3,218,218,100.0
0104,1,4,213,213,100.0
0105,1,5,220,220,100.0
0108,1,8,33,33,100.0
0110,1,10,180,180,100.0
0111,1,11,273,273,100.0
0114,1,14,256,256,100.0
0115,1,15,145,145,100.0
0117,1,17,236,236,100.0
0118,1,18,197,197,100.0
0121,1,21,261,261,100.0
0122,1,22,242,242,100.0
0123,1,23,257,257,100.0
0125,1,25,166,166,100.0
0126,1,26,242,242,100.0
0127,1,27,234,234,100.0
0132,1,32,120,120,100.0
0133,1,33,265,265,100.0
0135,1,35,0,0,0.0
0136,1,36,317,317,100.0
0137,1,37,246,246,100.0
2601,26,1,114,114,100.0
2602,26,2,129,129,100.0
2603,26,3,113,113,100.0
2604,26,4,124,124,100.0
2605,26,5,219,219,100.0
2606,26,6,109,109,100.0
2607,26,7,82,82,100.0
2609,26,9,113,113,100.0
2610,26,10,107,107,100.0
2611,26,11,129,129,100.0
2612,26,12,97,97,100.0
2613,26,13,156,156,100.0
2614,26,14,136,136,100.0
2615,26,15,129,129,100.0
2616,26,16,122,122,100.0
2618,26,18,97,97,100.0
2620,26,20,157,157,100.0
2621,26,21,155,155,100.0
2622,26,22,93,93,100.0
2623,26,23,125,125,100.0
2624,26,24,121,121,100.0
2625,26,25,76,76,100.0
2626,26,26,96,96,100.0
2627,26,27,129,129,100.0
2628,26,28,118,118,100.0
2629,26,29,108,108,100.0
2630,26,30,158,158,100.0
2631,26,31,151,151,100.0
2632,26,32,51,51,100.0
2635,26,35,131,131,100.0
2636,26,36,134,134,100.0
2637,26,37,92,92,100.0
2638,26,38,107,107,100.0
2639,26,39,116,116,100.0
2640,26,40,58,58,100.0
2641,26,41,112,112,100.0
2642,26,42,120,120,100.0
2643,26,43,110,110,100.0
2644,26,44,107,107,100.0
2645,26,45,129,129,100.0
2647,26,47,81,81,100.0
2648,26,48,162,162,100.0
2649,26,49,107,107,100.0
2650,26,50,78,78,100.0
2652,26,52,78,78,100.0
2653,26,53,95,95,100.0
2654,26,54,107,107,100.0
2655,26,55,117,117,100.0
2656,26,56,126,126,100.0
2657,26,57,103,103,100.0
2658,26,58,115,115,100.0
2659,26,59,138,138,100.0
2660,26,60,97,97,100.0
2661,26,61,102,102,100.0
2662,26,62,159,159,100.0
2663,26,63,51,51,100.0
2704,27,4,149,149,100.0
2710,27,10,100,100,100.0
2727,27,27,5,5,100.0
2732,27,32,122,122,100.0
2735,27,35,357,357,100.0
2738,27,38,180,180,100.0
2741,27,41,157,157,100.0
2756,27,56,113,113,100.0
2759,27,59,208,208,100.0
2902,29,2,100,100,100.0
2906,29,6,98,98,100.0
2907,29,7,118,118,100.0
2909,29,9,89,89,100.0
2924,29,24,71,71,100.0
2930,29,30,45,45,100.0
2932,29,32,177,177,100.0
2939,29,39,191,191,100.0
2952,29,52,184,184,100.0
2953,29,53,194,194,100.0
2954,29,54,167,167,100.0
3002,30,2,142,142,100.0
3004,30,4,157,157,100.0
3005,30,5,135,135,100.0
3006,30,6,124,124,100.0
3009,30,9,45,45,100.0
3010,30,10,209,209,100.0
3011,30,11,163,163,100.0
3012,30,12,157,157,100.0
3017,30,17,263,263,100.0
3018,30,18,42,42,100.0
3020,30,20,171,171,100.0
3021,30,21,130,130,100.0
3022,30,22,202,202,100.0
3023,30,23,152,152,100.0
3024,30,24,144,144,100.0
3026,30,26,129,129,100.0
3027,30,27,171,171,100.0
3028,30,28,146,146,100.0
3029,30,29,89,89,100.0
3031,30,31,138,138,100.0
3032,30,32,94,94,100.0
3033,30,33,156,156,100.0
3034,30,34,174,174,100.0
3035,30,35,168,168,100.0
3037,30,37,157,157,100.0
3040,30,40,162,162,100.0
3041,30,41,169,169,100.0
3103,31,3,144,144,100.0
3110,31,10,92,92,100.0
3112,31,12,164,164,100.0
3115,31,15,97,97,100.0
3117,31,17,138,138,100.0
3120,31,20,135,135,100.0
3121,31,21,172,172,100.0
3123,31,23,101,101,100.0
3124,31,24,135,135,100.0
3125,31,25,152,152,100.0
3127,31,27,128,128,100.0
3129,31,29,128,128,100.0
3134,31,34,131,131,100.0
3135,31,35,123,123,100.0
3136,31,36,195,195,100.0
3137,31,37,179,179,100.0
3139,31,39,137,137,100.0
3140,31,40,131,131,100.0
3142,31,42,152,152,100.0
3143,31,43,183,183,100.0
3144,31,44,145,145,100.0
3145,31,45,125,125,100.0
3151,31,51,101,101,100.0
3201,32,1,268,268,100.0
3203,32,3,182,182,100.0
3211,32,11,150,150,100.0
3212,32,12,141,141,100.0
3217,32,17,207,207,100.0
3246,32,46,16,16,100.0
3502,35,2,226,226,100.0
3514,35,14,28,28,100.0
3523,35,23,189,189,100.0
3532,35,32,166,166,100.0
3535,35,35,233,233,100.0
3601,36,1,205,205,100.0
3603,36,3,219,219,100.0
3604,36,4,156,156,100.0
3606,36,6,36,36,100.0
3636,36,36,210,210,100.0
3641,36,41,124,124,100.0
3651,36,51,272,272,100.0
3653,36,53,79,79,100.0
3701,37,1,131,131,100.0
3702,37,2,163,163,100.0
3711,37,11,138,138,100.0
3739,37,39,101,101,100.0
3742,37,42,51,51,100.0
3747,37,47,38,38,100.0
3750,37,50,223,223,100.0
3752,37,52,138,138,100.0
3816,38,16,259,259,100.0
3853,38,53,14,14,100.0
