ward,precinct,total,JOHN J. CULLERTON,JOHN J. CULLERTON Percent
0107,1,7,18,18,100.0
0128,1,28,63,63,100.0
3207,32,7,190,190,100.0
3208,32,8,341,341,100.0
3209,32,9,389,389,100.0
3210,32,10,248,248,100.0
3213,32,13,113,113,100.0
3215,32,15,214,214,100.0
3216,32,16,266,266,100.0
3218,32,18,244,244,100.0
3219,32,19,240,240,100.0
3220,32,20,258,258,100.0
3221,32,21,243,243,100.0
3222,32,22,332,332,100.0
3223,32,23,277,277,100.0
3224,32,24,232,232,100.0
3225,32,25,216,216,100.0
3227,32,27,216,216,100.0
3228,32,28,208,208,100.0
3229,32,29,0,0,0.0
3230,32,30,219,219,100.0
3232,32,32,283,283,100.0
3234,32,34,65,65,100.0
3237,32,37,213,213,100.0
3238,32,38,269,269,100.0
3239,32,39,342,342,100.0
3240,32,40,301,301,100.0
3241,32,41,314,314,100.0
3242,32,42,310,310,100.0
3243,32,43,293,293,100.0
3244,32,44,167,167,100.0
3245,32,45,219,219,100.0
3247,32,47,277,277,100.0
3248,32,48,364,364,100.0
3249,32,49,192,192,100.0
3250,32,50,284,284,100.0
3307,33,7,268,268,100.0
3308,33,8,300,300,100.0
3310,33,10,370,370,100.0
3316,33,16,84,84,100.0
3324,33,24,253,253,100.0
3328,33,28,257,257,100.0
4005,40,5,111,111,100.0
4006,40,6,199,199,100.0
4020,40,20,156,156,100.0
4208,42,8,325,325,100.0
4210,42,10,224,224,100.0
4215,42,15,285,285,100.0
4216,42,16,170,170,100.0
4226,42,26,220,220,100.0
4228,42,28,271,271,100.0
4230,42,30,171,171,100.0
4233,42,33,310,310,100.0
4234,42,34,229,229,100.0
4236,42,36,198,198,100.0
4302,43,2,257,257,100.0
4304,43,4,284,284,100.0
4306,43,6,220,220,100.0
4307,43,7,143,143,100.0
4308,43,8,250,250,100.0
4312,43,12,294,294,100.0
4314,43,14,229,229,100.0
4316,43,16,250,250,100.0
4317,43,17,154,154,100.0
4318,43,18,332,332,100.0
4319,43,19,193,193,100.0
4320,43,20,259,259,100.0
4321,43,21,157,157,100.0
4322,43,22,161,161,100.0
4323,43,23,214,214,100.0
4324,43,24,207,207,100.0
4325,43,25,245,245,100.0
4326,43,26,177,177,100.0
4327,43,27,209,209,100.0
4329,43,29,239,239,100.0
4331,43,31,199,199,100.0
4332,43,32,212,212,100.0
4333,43,33,148,148,100.0
4334,43,34,143,143,100.0
4335,43,35,266,266,100.0
4336,43,36,203,203,100.0
4337,43,37,200,200,100.0
4338,43,38,218,218,100.0
4339,43,39,189,189,100.0
4341,43,41,174,174,100.0
4342,43,42,242,242,100.0
4343,43,43,210,210,100.0
4344,43,44,298,298,100.0
4345,43,45,49,49,100.0
4346,43,46,330,330,100.0
4348,43,48,264,264,100.0
4349,43,49,173,173,100.0
4350,43,50,199,199,100.0
4352,43,52,267,267,100.0
4353,43,53,276,276,100.0
4356,43,56,164,164,100.0
4357,43,57,209,209,100.0
4358,43,58,266,266,100.0
4359,43,59,237,237,100.0
4364,43,64,155,155,100.0
4365,43,65,143,143,100.0
4367,43,67,148,148,100.0
4401,44,1,264,264,100.0
4402,44,2,212,212,100.0
4403,44,3,302,302,100.0
4404,44,4,303,303,100.0
4405,44,5,320,320,100.0
4406,44,6,258,258,100.0
4407,44,7,317,317,100.0
4408,44,8,175,175,100.0
4409,44,9,439,439,100.0
4410,44,10,216,216,100.0
4411,44,11,326,326,100.0
4412,44,12,187,187,100.0
