ward,precinct,total,ROBERTO GARCIA,ROBERTO GARCIA Percent,MARTIN A. SANDOVAL,MARTIN A. SANDOVAL Percent
1303,13,3,325,68,20.92,257,79.08
1318,13,18,278,38,13.67,240,86.33
1320,13,20,287,56,19.51,231,80.49
1331,13,31,291,33,11.34,258,88.66
1401,14,1,174,32,18.39,142,81.61
1402,14,2,181,43,23.76,138,76.24
1403,14,3,269,44,16.36,225,83.64
1404,14,4,189,33,17.46,156,82.54
1405,14,5,269,32,11.9,237,88.1
1406,14,6,177,53,29.94,124,70.06
1409,14,9,218,41,18.81,177,81.19
1411,14,11,188,21,11.17,167,88.83
1413,14,13,249,55,22.09,194,77.91
1415,14,15,263,25,9.51,238,90.49
1424,14,24,138,19,13.77,119,86.23
1425,14,25,226,46,20.35,180,79.65
1427,14,27,147,41,27.89,106,72.11
1428,14,28,235,60,25.53,175,74.47
1432,14,32,178,31,17.42,147,82.58
1434,14,34,155,24,15.48,131,84.52
1435,14,35,107,33,30.84,74,69.16
1501,15,1,73,11,15.07,62,84.93
1510,15,10,189,50,26.46,139,73.54
1516,15,16,161,38,23.6,123,76.4
1617,16,17,283,75,26.5,208,73.5
1632,16,32,80,13,16.25,67,83.75
1639,16,39,105,29,27.62,76,72.38
2202,22,2,122,26,21.31,96,78.69
2203,22,3,137,23,16.79,114,83.21
2204,22,4,183,25,13.66,158,86.34
2205,22,5,199,34,17.09,165,82.91
2206,22,6,178,59,33.15,119,66.85
2210,22,10,162,33,20.37,129,79.63
2212,22,12,124,34,27.42,90,72.58
2213,22,13,220,35,15.91,185,84.09
2214,22,14,128,15,11.72,113,88.28
2216,22,16,215,36,16.74,179,83.26
2217,22,17,162,33,20.37,129,79.63
2218,22,18,175,31,17.71,144,82.29
2220,22,20,204,30,14.71,174,85.29
2223,22,23,111,19,17.12,92,82.88
2224,22,24,147,25,17.01,122,82.99
2225,22,25,134,20,14.93,114,85.07
2226,22,26,138,18,13.04,120,86.96
2227,22,27,178,33,18.54,145,81.46
2228,22,28,88,10,11.36,78,88.64
2230,22,30,195,56,28.72,139,71.28
2305,23,5,247,60,24.29,187,75.71
2306,23,6,346,98,28.32,248,71.68
2307,23,7,41,1,2.44,40,97.56
2309,23,9,264,67,25.38,197,74.62
2310,23,10,393,63,16.03,330,83.97
2314,23,14,111,7,6.31,104,93.69
2324,23,24,227,67,29.52,160,70.48
2325,23,25,224,64,28.57,160,71.43
2329,23,29,275,59,21.45,216,78.55
2331,23,31,284,96,33.8,188,66.2
2332,23,32,337,81,24.04,256,75.96
2333,23,33,340,72,21.18,268,78.82
2337,23,37,53,5,9.43,48,90.57
2341,23,41,319,79,24.76,240,75.24
2350,23,50,212,49,23.11,163,76.89
2351,23,51,277,59,21.3,218,78.7
2353,23,53,234,46,19.66,188,80.34
