ward,precinct,total,JIM DURKIN,JIM DURKIN Percent,RICHARD J. DURBIN,RICHARD J. DURBIN Percent,STEVEN BURGAUER,STEVEN BURGAUER Percent
0101,1,1,282,41,14.54,235,83.33,6,2.13
0102,1,2,329,53,16.11,269,81.76,7,2.13
0103,1,3,264,35,13.26,224,84.85,5,1.89
0104,1,4,249,42,16.87,201,80.72,6,2.41
0105,1,5,271,45,16.61,219,80.81,7,2.58
0106,1,6,262,64,24.43,191,72.9,7,2.67
0107,1,7,338,81,23.96,250,73.96,7,2.07
0108,1,8,246,42,17.07,203,82.52,1,0.41
0109,1,9,257,30,11.67,221,85.99,6,2.33
0110,1,10,213,50,23.47,153,71.83,10,4.69
0111,1,11,314,48,15.29,254,80.89,12,3.82
0112,1,12,237,53,22.36,176,74.26,8,3.38
0113,1,13,232,31,13.36,195,84.05,6,2.59
0114,1,14,334,49,14.67,279,83.53,6,1.8
0115,1,15,153,11,7.19,140,91.5,2,1.31
0116,1,16,167,10,5.99,153,91.62,4,2.4
0117,1,17,287,52,18.12,220,76.66,15,5.23
0118,1,18,203,10,4.93,189,93.1,4,1.97
0119,1,19,320,50,15.63,260,81.25,10,3.13
0120,1,20,242,37,15.29,194,80.17,11,4.55
0121,1,21,388,91,23.45,284,73.2,13,3.35
0122,1,22,266,38,14.29,224,84.21,4,1.5
0123,1,23,285,47,16.49,228,80.0,10,3.51
0124,1,24,337,42,12.46,284,84.27,11,3.26
0125,1,25,212,33,15.57,175,82.55,4,1.89
0126,1,26,287,44,15.33,236,82.23,7,2.44
0127,1,27,250,57,22.8,187,74.8,6,2.4
0128,1,28,274,48,17.52,221,80.66,5,1.82
0129,1,29,208,33,15.87,172,82.69,3,1.44
0130,1,30,309,51,16.5,253,81.88,5,1.62
0131,1,31,247,78,31.58,166,67.21,3,1.21
0132,1,32,193,27,13.99,166,86.01,0,0.0
0133,1,33,307,45,14.66,252,82.08,10,3.26
0134,1,34,164,24,14.63,138,84.15,2,1.22
0135,1,35,189,56,29.63,129,68.25,4,2.12
0136,1,36,387,82,21.19,291,75.19,14,3.62
0137,1,37,276,39,14.13,232,84.06,5,1.81
0138,1,38,129,15,11.63,113,87.6,1,0.78
0139,1,39,330,47,14.24,276,83.64,7,2.12
0201,2,1,374,92,24.6,260,69.52,22,5.88
0202,2,2,12,0,0.0,12,100.0,0,0.0
0203,2,3,175,34,19.43,137,78.29,4,2.29
0204,2,4,179,9,5.03,169,94.41,1,0.56
0205,2,5,129,3,2.33,124,96.12,2,1.55
0206,2,6,188,45,23.94,142,75.53,1,0.53
0207,2,7,292,10,3.42,281,96.23,1,0.34
0208,2,8,318,60,18.87,253,79.56,5,1.57
0209,2,9,159,4,2.52,155,97.48,0,0.0
0210,2,10,116,6,5.17,108,93.1,2,1.72
0211,2,11,175,48,27.43,127,72.57,0,0.0
0212,2,12,273,96,35.16,171,62.64,6,2.2
0213,2,13,213,30,14.08,179,84.04,4,1.88
0214,2,14,380,28,7.37,350,92.11,2,0.53
0215,2,15,94,4,4.26,88,93.62,2,2.13
0216,2,16,227,58,25.55,165,72.69,4,1.76
0217,2,17,198,6,3.03,190,95.96,2,1.01
0218,2,18,521,130,24.95,383,73.51,8,1.54
0219,2,19,175,10,5.71,164,93.71,1,0.57
