ward,precinct,total,CANDIDATE WITHDREW,CANDIDATE WITHDREW Percent,DONNE E. TROTTER,DONNE E. TROTTER Percent
0504,5,4,216,0,0.0,216,100.0
0512,5,12,207,0,0.0,207,100.0
0520,5,20,152,0,0.0,152,100.0
0550,5,50,237,0,0.0,237,100.0
0601,6,1,345,0,0.0,345,100.0
0602,6,2,342,0,0.0,342,100.0
0603,6,3,326,0,0.0,326,100.0
0608,6,8,290,0,0.0,290,100.0
0609,6,9,236,0,0.0,236,100.0
0610,6,10,383,0,0.0,383,100.0
0613,6,13,277,0,0.0,277,100.0
0614,6,14,306,0,0.0,306,100.0
0616,6,16,312,0,0.0,312,100.0
0617,6,17,359,0,0.0,359,100.0
0621,6,21,275,0,0.0,275,100.0
0622,6,22,292,0,0.0,292,100.0
0623,6,23,254,0,0.0,254,100.0
0624,6,24,299,0,0.0,299,100.0
0625,6,25,186,0,0.0,186,100.0
0626,6,26,311,0,0.0,311,100.0
0627,6,27,378,0,0.0,378,100.0
0628,6,28,471,0,0.0,471,100.0
0629,6,29,359,0,0.0,359,100.0
0631,6,31,341,0,0.0,341,100.0
0634,6,34,249,0,0.0,249,100.0
0635,6,35,360,0,0.0,360,100.0
0637,6,37,338,0,0.0,338,100.0
0638,6,38,317,0,0.0,317,100.0
0639,6,39,263,0,0.0,263,100.0
0641,6,41,292,0,0.0,292,100.0
0643,6,43,349,0,0.0,349,100.0
0644,6,44,315,0,0.0,315,100.0
0645,6,45,188,0,0.0,188,100.0
0646,6,46,277,0,0.0,277,100.0
0647,6,47,311,0,0.0,311,100.0
0650,6,50,282,0,0.0,282,100.0
0651,6,51,246,0,0.0,246,100.0
0652,6,52,243,0,0.0,243,100.0
0653,6,53,261,0,0.0,261,100.0
0654,6,54,270,0,0.0,270,100.0
0655,6,55,252,0,0.0,252,100.0
0656,6,56,219,0,0.0,219,100.0
0657,6,57,160,0,0.0,160,100.0
0658,6,58,309,0,0.0,309,100.0
0659,6,59,253,0,0.0,253,100.0
0660,6,60,206,0,0.0,206,100.0
0662,6,62,111,0,0.0,111,100.0
0663,6,63,249,0,0.0,249,100.0
0664,6,64,350,0,0.0,350,100.0
0701,7,1,304,0,0.0,304,100.0
0702,7,2,332,0,0.0,332,100.0
0704,7,4,237,0,0.0,237,100.0
0705,7,5,223,0,0.0,223,100.0
0706,7,6,228,0,0.0,228,100.0
0707,7,7,179,0,0.0,179,100.0
0712,7,12,217,0,0.0,217,100.0
0713,7,13,209,0,0.0,209,100.0
0719,7,19,389,0,0.0,389,100.0
0721,7,21,207,0,0.0,207,100.0
0724,7,24,204,0,0.0,204,100.0
0725,7,25,295,0,0.0,295,100.0
0726,7,26,335,0,0.0,335,100.0
0727,7,27,338,0,0.0,338,100.0
0729,7,29,143,0,0.0,143,100.0
0730,7,30,285,0,0.0,285,100.0
0731,7,31,239,0,0.0,239,100.0
0733,7,33,195,0,0.0,195,100.0
0734,7,34,233,0,0.0,233,100.0
0736,7,36,291,0,0.0,291,100.0
0737,7,37,115,0,0.0,115,100.0
0738,7,38,196,0,0.0,196,100.0
0741,7,41,203,0,0.0,203,100.0
0742,7,42,399,0,0.0,399,100.0
0743,7,43,272,0,0.0,272,100.0
0746,7,46,0,0,0.0,0,0.0
0747,7,47,223,0,0.0,223,100.0
0749,7,49,159,0,0.0,159,100.0
0750,7,50,161,0,0.0,161,100.0
0751,7,51,219,0,0.0,219,100.0
0752,7,52,220,0,0.0,220,100.0
0753,7,53,209,0,0.0,209,100.0
0755,7,55,211,0,0.0,211,100.0
0757,7,57,241,0,0.0,241,100.0
0758,7,58,310,0,0.0,310,100.0
0759,7,59,133,0,0.0,133,100.0
0760,7,60,180,0,0.0,180,100.0
0761,7,61,230,0,0.0,230,100.0
0762,7,62,256,0,0.0,256,100.0
0801,8,1,324,0,0.0,324,100.0
0802,8,2,160,0,0.0,160,100.0
0803,8,3,406,0,0.0,406,100.0
0804,8,4,295,0,0.0,295,100.0
0805,8,5,345,0,0.0,345,100.0
0806,8,6,323,0,0.0,323,100.0
0807,8,7,225,0,0.0,225,100.0
0808,8,8,353,0,0.0,353,100.0
0809,8,9,353,0,0.0,353,100.0
0810,8,10,371,0,0.0,371,100.0
0811,8,11,285,0,0.0,285,100.0
0812,8,12,283,0,0.0,283,100.0
0813,8,13,255,0,0.0,255,100.0
0814,8,14,274,0,0.0,274,100.0
