ward,precinct,total,FRANK A. BERTUCCI,FRANK A. BERTUCCI Percent,EDWARD D. MALONEY,EDWARD D. MALONEY Percent
1819,18,19,216,3,1.39,213,98.61
1824,18,24,318,6,1.89,312,98.11
1825,18,25,304,4,1.32,300,98.68
1826,18,26,245,11,4.49,234,95.51
1830,18,30,252,6,2.38,246,97.62
1832,18,32,338,4,1.18,334,98.82
1834,18,34,360,39,10.83,321,89.17
1845,18,45,300,7,2.33,293,97.67
1846,18,46,242,9,3.72,233,96.28
1851,18,51,172,7,4.07,165,95.93
1852,18,52,245,3,1.22,242,98.78
1853,18,53,230,4,1.74,226,98.26
1862,18,62,210,3,1.43,207,98.57
1863,18,63,272,3,1.1,269,98.9
1901,19,1,422,50,11.85,372,88.15
1902,19,2,335,31,9.25,304,90.75
1903,19,3,367,96,26.16,271,73.84
1904,19,4,365,88,24.11,277,75.89
1905,19,5,345,52,15.07,293,84.93
1906,19,6,362,75,20.72,287,79.28
1907,19,7,357,35,9.8,322,90.2
1908,19,8,315,74,23.49,241,76.51
1909,19,9,293,80,27.3,213,72.7
1910,19,10,452,73,16.15,379,83.85
1911,19,11,416,116,27.88,300,72.12
1912,19,12,371,98,26.42,273,73.58
1914,19,14,257,53,20.62,204,79.38
1915,19,15,225,52,23.11,173,76.89
1916,19,16,450,86,19.11,364,80.89
1917,19,17,376,50,13.3,326,86.7
1918,19,18,457,85,18.6,372,81.4
1919,19,19,392,50,12.76,342,87.24
1921,19,21,310,54,17.42,256,82.58
1922,19,22,430,84,19.53,346,80.47
1923,19,23,442,83,18.78,359,81.22
1924,19,24,303,72,23.76,231,76.24
1925,19,25,425,84,19.76,341,80.24
1926,19,26,424,82,19.34,342,80.66
1929,19,29,331,66,19.94,265,80.06
1930,19,30,372,99,26.61,273,73.39
1932,19,32,452,71,15.71,381,84.29
1933,19,33,431,116,26.91,315,73.09
1934,19,34,395,67,16.96,328,83.04
1935,19,35,341,39,11.44,302,88.56
1936,19,36,399,55,13.78,344,86.22
1937,19,37,331,34,10.27,297,89.73
1938,19,38,444,44,9.91,400,90.09
1939,19,39,234,11,4.7,223,95.3
1941,19,41,410,115,28.05,295,71.95
1944,19,44,336,74,22.02,262,77.98
1945,19,45,447,66,14.77,381,85.23
1946,19,46,489,65,13.29,424,86.71
1947,19,47,258,35,13.57,223,86.43
1951,19,51,349,84,24.07,265,75.93
1952,19,52,329,102,31.0,227,69.0
1953,19,53,385,55,14.29,330,85.71
1954,19,54,298,88,29.53,210,70.47
1955,19,55,325,76,23.38,249,76.62
1956,19,56,448,94,20.98,354,79.02
1957,19,57,396,58,14.65,338,85.35
1958,19,58,408,108,26.47,300,73.53
1959,19,59,419,95,22.67,324,77.33
1961,19,61,496,41,8.27,455,91.73
1962,19,62,371,44,11.86,327,88.14
1965,19,65,233,31,13.3,202,86.7
2115,21,15,261,7,2.68,254,97.32
2129,21,29,147,1,0.68,146,99.32
2135,21,35,198,5,2.53,193,97.47
2136,21,36,263,7,2.66,256,97.34
2157,21,57,291,5,1.72,286,98.28
2173,21,73,362,10,2.76,352,97.24
2175,21,75,202,4,1.98,198,98.02
2176,21,76,299,7,2.34,292,97.66
