ward,precinct,total,MICHAEL P. McAULIFFE,MICHAEL P. McAULIFFE Percent,ROBERT J. BUGIELSKI,ROBERT J. BUGIELSKI Percent
2924,29,24,44,13,29.55,31,70.45
3605,36,5,265,129,48.68,136,51.32
3607,36,7,272,152,55.88,120,44.12
3608,36,8,301,127,42.19,174,57.81
3609,36,9,318,142,44.65,176,55.35
3610,36,10,200,81,40.5,119,59.5
3611,36,11,394,146,37.06,248,62.94
3612,36,12,232,108,46.55,124,53.45
3613,36,13,388,102,26.29,286,73.71
3614,36,14,340,53,15.59,287,84.41
3615,36,15,328,92,28.05,236,71.95
3617,36,17,286,152,53.15,134,46.85
3618,36,18,384,227,59.11,157,40.89
3619,36,19,350,79,22.57,271,77.43
3620,36,20,436,96,22.02,340,77.98
3621,36,21,491,213,43.38,278,56.62
3625,36,25,245,130,53.06,115,46.94
3627,36,27,169,84,49.7,85,50.3
3628,36,28,250,86,34.4,164,65.6
3629,36,29,307,106,34.53,201,65.47
3630,36,30,402,203,50.5,199,49.5
3631,36,31,384,132,34.38,252,65.63
3632,36,32,332,125,37.65,207,62.35
3634,36,34,263,109,41.44,154,58.56
3635,36,35,411,99,24.09,312,75.91
3637,36,37,283,119,42.05,164,57.95
3638,36,38,216,93,43.06,123,56.94
3639,36,39,319,127,39.81,192,60.19
3640,36,40,387,164,42.38,223,57.62
3642,36,42,276,108,39.13,168,60.87
3646,36,46,282,140,49.65,142,50.35
3647,36,47,230,128,55.65,102,44.35
3648,36,48,351,162,46.15,189,53.85
3649,36,49,389,141,36.25,248,63.75
3650,36,50,314,88,28.03,226,71.97
3652,36,52,303,86,28.38,217,71.62
3653,36,53,92,21,22.83,71,77.17
3803,38,3,272,134,49.26,138,50.74
3838,38,38,349,160,45.85,189,54.15
4101,41,1,284,183,64.44,101,35.56
4102,41,2,434,281,64.75,153,35.25
4103,41,3,233,142,60.94,91,39.06
4104,41,4,331,199,60.12,132,39.88
4105,41,5,460,290,63.04,170,36.96
4106,41,6,321,200,62.31,121,37.69
4107,41,7,491,285,58.04,206,41.96
4108,41,8,312,203,65.06,109,34.94
4109,41,9,300,156,52.0,144,48.0
4111,41,11,273,187,68.5,86,31.5
4112,41,12,430,229,53.26,201,46.74
4113,41,13,89,58,65.17,31,34.83
4115,41,15,249,142,57.03,107,42.97
4116,41,16,353,199,56.37,154,43.63
4117,41,17,345,213,61.74,132,38.26
4118,41,18,258,135,52.33,123,47.67
4119,41,19,306,180,58.82,126,41.18
4120,41,20,399,216,54.14,183,45.86
4121,41,21,391,225,57.54,166,42.46
4122,41,22,278,181,65.11,97,34.89
4124,41,24,257,164,63.81,93,36.19
4130,41,30,305,174,57.05,131,42.95
4131,41,31,372,246,66.13,126,33.87
4133,41,33,325,228,70.15,97,29.85
4134,41,34,322,225,69.88,97,30.12
4135,41,35,317,195,61.51,122,38.49
4136,41,36,363,222,61.16,141,38.84
4137,41,37,392,270,68.88,122,31.12
4139,41,39,266,179,67.29,87,32.71
4140,41,40,285,189,66.32,96,33.68
4141,41,41,330,234,70.91,96,29.09
4142,41,42,320,263,82.19,57,17.81
4143,41,43,285,138,48.42,147,51.58
4144,41,44,295,174,58.98,121,41.02
4145,41,45,284,140,49.3,144,50.7
4146,41,46,286,158,55.24,128,44.76
4149,41,49,265,181,68.3,84,31.7
4150,41,50,329,178,54.1,151,45.9
4151,41,51,273,163,59.71,110,40.29
4152,41,52,345,214,62.03,131,37.97
4153,41,53,407,315,77.4,92,22.6
4155,41,55,297,214,72.05,83,27.95
4156,41,56,390,276,70.77,114,29.23
4157,41,57,336,191,56.85,145,43.15
4158,41,58,258,172,66.67,86,33.33
4160,41,60,281,170,60.5,111,39.5
4161,41,61,407,282,69.29,125,30.71
4162,41,62,315,169,53.65,146,46.35
4163,41,63,299,212,70.9,87,29.1
4164,41,64,333,213,63.96,120,36.04
4168,41,68,221,135,61.09,86,38.91
