ward,precinct,total,WILLIE JORDAN JR.,WILLIE JORDAN JR. Percent,"WILLIAM ""WILL"" DAVIS","WILLIAM ""WILL"" DAVIS Percent"
0904,9,4,365,17,4.66,348,95.34
0906,9,6,312,8,2.56,304,97.44
0918,9,18,287,9,3.14,278,96.86
0919,9,19,353,19,5.38,334,94.62
0930,9,30,238,12,5.04,226,94.96
0939,9,39,304,13,4.28,291,95.72
0945,9,45,322,15,4.66,307,95.34
0953,9,53,212,12,5.66,200,94.34
3403,34,3,0,0,0.0,0,0.0
3406,34,6,201,9,4.48,192,95.52
3435,34,35,359,15,4.18,344,95.82
3465,34,65,121,6,4.96,115,95.04
