ward,precinct,total,THOMAS JEFFERSON RAMSDELL,THOMAS JEFFERSON RAMSDELL Percent,DANIEL W. HYNES,DANIEL W. HYNES Percent,JULIE FOX,JULIE FOX Percent
0101,1,1,274,30,10.95,226,82.48,18,6.57
0102,1,2,332,41,12.35,265,79.82,26,7.83
0103,1,3,258,33,12.79,203,78.68,22,8.53
0104,1,4,243,24,9.88,196,80.66,23,9.47
0105,1,5,260,39,15.0,193,74.23,28,10.77
0106,1,6,249,44,17.67,187,75.1,18,7.23
0107,1,7,330,60,18.18,251,76.06,19,5.76
0108,1,8,241,32,13.28,198,82.16,11,4.56
0109,1,9,251,21,8.37,219,87.25,11,4.38
0110,1,10,207,25,12.08,153,73.91,29,14.01
0111,1,11,309,29,9.39,255,82.52,25,8.09
0112,1,12,224,42,18.75,172,76.79,10,4.46
0113,1,13,236,30,12.71,194,82.2,12,5.08
0114,1,14,319,35,10.97,266,83.39,18,5.64
0115,1,15,149,9,6.04,133,89.26,7,4.7
0116,1,16,172,4,2.33,162,94.19,6,3.49
0117,1,17,279,34,12.19,219,78.49,26,9.32
0118,1,18,212,16,7.55,177,83.49,19,8.96
0119,1,19,324,36,11.11,264,81.48,24,7.41
0120,1,20,242,29,11.98,197,81.4,16,6.61
0121,1,21,367,68,18.53,269,73.3,30,8.17
0122,1,22,262,26,9.92,223,85.11,13,4.96
0123,1,23,286,34,11.89,227,79.37,25,8.74
0124,1,24,337,28,8.31,276,81.9,33,9.79
0125,1,25,214,29,13.55,173,80.84,12,5.61
0126,1,26,279,29,10.39,232,83.15,18,6.45
0127,1,27,253,38,15.02,195,77.08,20,7.91
0128,1,28,261,35,13.41,212,81.23,14,5.36
0129,1,29,209,29,13.88,172,82.3,8,3.83
0130,1,30,305,34,11.15,254,83.28,17,5.57
0131,1,31,240,50,20.83,181,75.42,9,3.75
0132,1,32,192,21,10.94,159,82.81,12,6.25
0133,1,33,302,33,10.93,252,83.44,17,5.63
0134,1,34,163,21,12.88,129,79.14,13,7.98
0135,1,35,183,47,25.68,121,66.12,15,8.2
0136,1,36,382,54,14.14,305,79.84,23,6.02
0137,1,37,276,25,9.06,222,80.43,29,10.51
0138,1,38,125,8,6.4,111,88.8,6,4.8
0139,1,39,322,25,7.76,271,84.16,26,8.07
0201,2,1,358,63,17.6,266,74.3,29,8.1
0202,2,2,13,0,0.0,13,100.0,0,0.0
0203,2,3,175,18,10.29,148,84.57,9,5.14
0204,2,4,183,2,1.09,177,96.72,4,2.19
0205,2,5,131,2,1.53,128,97.71,1,0.76
0206,2,6,182,35,19.23,137,75.27,10,5.49
0207,2,7,298,5,1.68,287,96.31,6,2.01
0208,2,8,311,44,14.15,252,81.03,15,4.82
0209,2,9,164,2,1.22,159,96.95,3,1.83
0210,2,10,116,3,2.59,112,96.55,1,0.86
0211,2,11,169,28,16.57,132,78.11,9,5.33
0212,2,12,263,81,30.8,158,60.08,24,9.13
0213,2,13,205,19,9.27,180,87.8,6,2.93
0214,2,14,379,20,5.28,347,91.56,12,3.17
0215,2,15,98,1,1.02,94,95.92,3,3.06
0216,2,16,229,44,19.21,178,77.73,7,3.06
0217,2,17,207,6,2.9,198,95.65,3,1.45
0218,2,18,507,84,16.57,406,80.08,17,3.35
0219,2,19,172,3,1.74,168,97.67,1,0.58
0220,2,20,231,7,3.03,216,93.51,8,3.46
0221,2,21,321,24,7.48,288,89.72,9,2.8
0222,2,22,457,66,14.44,373,81.62,18,3.94
0223,2,23,146,1,0.68,140,95.89,5,3.42
0224,2,24,134,6,4.48,126,94.03,2,1.49
0225,2,25,197,17,8.63,173,87.82,7,3.55
0226,2,26,255,23,9.02,220,86.27,12,4.71
0227,2,27,153,4,2.61,146,95.42,3,1.96
0228,2,28,144,41,28.47,97,67.36,6,4.17
0229,2,29,105,13,12.38,87,82.86,5,4.76
0230,2,30,151,3,1.99,145,96.03,3,1.99
0231,2,31,278,3,1.08,273,98.2,2,0.72
0232,2,32,119,4,3.36,115,96.64,0,0.0
0233,2,33,180,5,2.78,174,96.67,1,0.56
0234,2,34,249,7,2.81,238,95.58,4,1.61
0235,2,35,96,30,31.25,62,64.58,4,4.17
0236,2,36,116,3,2.59,112,96.55,1,0.86
0237,2,37,280,47,16.79,219,78.21,14,5.0
0238,2,38,253,6,2.37,234,92.49,13,5.14
0239,2,39,221,16,7.24,193,87.33,12,5.43
0240,2,40,316,28,8.86,280,88.61,8,2.53
0241,2,41,156,5,3.21,149,95.51,2,1.28
0242,2,42,91,4,4.4,84,92.31,3,3.3
0243,2,43,426,53,12.44,355,83.33,18,4.23
0244,2,44,152,4,2.63,141,92.76,7,4.61
0245,2,45,196,2,1.02,191,97.45,3,1.53
0246,2,46,352,8,2.27,333,94.6,11,3.13
0247,2,47,203,8,3.94,192,94.58,3,1.48
0248,2,48,178,7,3.93,170,95.51,1,0.56
0249,2,49,252,35,13.89,199,78.97,18,7.14
0250,2,50,188,20,10.64,158,84.04,10,5.32
0251,2,51,200,4,2.0,193,96.5,3,1.5
0252,2,52,238,3,1.26,228,95.8,7,2.94
0253,2,53,115,2,1.74,111,96.52,2,1.74
0254,2,54,372,63,16.94,291,78.23,18,4.84
0255,2,55,75,10,13.33,65,86.67,0,0.0
0256,2,56,207,2,0.97,202,97.58,3,1.45
0257,2,57,119,2,1.68,113,94.96,4,3.36
0258,2,58,130,15,11.54,108,83.08,7,5.38
0259,2,59,311,35,11.25,258,82.96,18,5.79
0301,3,1,188,3,1.6,182,96.81,3,1.6
0302,3,2,367,10,2.72,355,96.73,2,0.54
0303,3,3,225,32,14.22,190,84.44,3,1.33
0304,3,4,128,2,1.56,126,98.44,0,0.0
0305,3,5,118,5,4.24,111,94.07,2,1.69
0306,3,6,185,8,4.32,171,92.43,6,3.24
0307,3,7,221,6,2.71,206,93.21,9,4.07
0308,3,8,80,3,3.75,75,93.75,2,2.5
0309,3,9,113,6,5.31,105,92.92,2,1.77
0310,3,10,118,1,0.85,115,97.46,2,1.69
0311,3,11,127,1,0.79,125,98.43,1,0.79
0312,3,12,235,6,2.55,229,97.45,0,0.0
0313,3,13,167,22,13.17,137,82.04,8,4.79
0314,3,14,102,6,5.88,92,90.2,4,3.92
0315,3,15,238,4,1.68,229,96.22,5,2.1
0316,3,16,413,8,1.94,395,95.64,10,2.42
0317,3,17,142,1,0.7,138,97.18,3,2.11
0318,3,18,144,2,1.39,137,95.14,5,3.47
0319,3,19,82,2,2.44,80,97.56,0,0.0
0320,3,20,53,2,3.77,49,92.45,2,3.77
0321,3,21,145,0,0.0,142,97.93,3,2.07
0322,3,22,141,2,1.42,139,98.58,0,0.0
0323,3,23,65,1,1.54,64,98.46,0,0.0
0324,3,24,168,2,1.19,164,97.62,2,1.19
0325,3,25,60,2,3.33,57,95.0,1,1.67
0326,3,26,144,1,0.69,140,97.22,3,2.08
0327,3,27,27,0,0.0,26,96.3,1,3.7
0328,3,28,152,6,3.95,143,94.08,3,1.97
0329,3,29,270,8,2.96,258,95.56,4,1.48
0330,3,30,151,0,0.0,149,98.68,2,1.32
0331,3,31,309,9,2.91,298,96.44,2,0.65
0332,3,32,171,1,0.58,168,98.25,2,1.17
0333,3,33,240,3,1.25,231,96.25,6,2.5
0334,3,34,142,1,0.7,135,95.07,6,4.23
0335,3,35,204,2,0.98,201,98.53,1,0.49
0336,3,36,130,3,2.31,124,95.38,3,2.31
0337,3,37,121,2,1.65,118,97.52,1,0.83
0338,3,38,47,0,0.0,47,100.0,0,0.0
0339,3,39,259,7,2.7,239,92.28,13,5.02
0340,3,40,220,5,2.27,206,93.64,9,4.09
0341,3,41,220,4,1.82,209,95.0,7,3.18
0342,3,42,180,2,1.11,175,97.22,3,1.67
0343,3,43,89,4,4.49,84,94.38,1,1.12
0344,3,44,109,1,0.92,106,97.25,2,1.83
0345,3,45,144,4,2.78,139,96.53,1,0.69
0346,3,46,190,1,0.53,188,98.95,1,0.53
0347,3,47,144,4,2.78,137,95.14,3,2.08
0348,3,48,195,2,1.03,191,97.95,2,1.03
0349,3,49,68,1,1.47,67,98.53,0,0.0
0350,3,50,107,2,1.87,104,97.2,1,0.93
0351,3,51,67,11,16.42,55,82.09,1,1.49
0352,3,52,107,2,1.87,104,97.2,1,0.93
0353,3,53,189,13,6.88,168,88.89,8,4.23
0354,3,54,221,42,19.0,166,75.11,13,5.88
0355,3,55,165,2,1.21,161,97.58,2,1.21
0356,3,56,176,2,1.14,170,96.59,4,2.27
0357,3,57,242,2,0.83,236,97.52,4,1.65
0358,3,58,81,1,1.23,76,93.83,4,4.94
0359,3,59,132,4,3.03,124,93.94,4,3.03
0360,3,60,211,2,0.95,207,98.1,2,0.95
0361,3,61,185,11,5.95,164,88.65,10,5.41
0362,3,62,184,4,2.17,179,97.28,1,0.54
0363,3,63,165,27,16.36,122,73.94,16,9.7
0401,4,1,272,17,6.25,244,89.71,11,4.04
0402,4,2,312,3,0.96,305,97.76,4,1.28
0403,4,3,443,14,3.16,418,94.36,11,2.48
0404,4,4,376,0,0.0,370,98.4,6,1.6
0405,4,5,307,5,1.63,297,96.74,5,1.63
0406,4,6,121,1,0.83,117,96.69,3,2.48
0407,4,7,217,4,1.84,210,96.77,3,1.38
0408,4,8,272,2,0.74,263,96.69,7,2.57
0409,4,9,530,11,2.08,503,94.91,16,3.02
0410,4,10,364,4,1.1,350,96.15,10,2.75
0411,4,11,314,3,0.96,306,97.45,5,1.59
0412,4,12,151,1,0.66,146,96.69,4,2.65
0413,4,13,239,10,4.18,220,92.05,9,3.77
