ward,precinct,total,MARIA ANTONIA (TONI) BERRIOS,MARIA ANTONIA (TONI) BERRIOS Percent
0107,1,7,67,67,100.0
0109,1,9,235,235,100.0
0113,1,13,207,207,100.0
0119,1,19,7,7,100.0
0120,1,20,177,177,100.0
0124,1,24,297,297,100.0
0129,1,29,179,179,100.0
0130,1,30,256,256,100.0
0131,1,31,98,98,100.0
0134,1,34,139,139,100.0
0138,1,38,105,105,100.0
0139,1,39,135,135,100.0
2608,26,8,97,97,100.0
2619,26,19,192,192,100.0
2634,26,34,134,134,100.0
2651,26,51,129,129,100.0
3009,30,9,139,139,100.0
3019,30,19,105,105,100.0
3025,30,25,129,129,100.0
3036,30,36,175,175,100.0
3101,31,1,97,97,100.0
3102,31,2,124,124,100.0
3104,31,4,144,144,100.0
3105,31,5,168,168,100.0
3106,31,6,163,163,100.0
3107,31,7,147,147,100.0
3109,31,9,179,179,100.0
3111,31,11,97,97,100.0
3113,31,13,162,162,100.0
3114,31,14,132,132,100.0
3116,31,16,89,89,100.0
3118,31,18,156,156,100.0
3119,31,19,136,136,100.0
3122,31,22,97,97,100.0
3128,31,28,133,133,100.0
3130,31,30,149,149,100.0
3131,31,31,201,201,100.0
3132,31,32,122,122,100.0
3133,31,33,139,139,100.0
3138,31,38,91,91,100.0
3141,31,41,118,118,100.0
3146,31,46,126,126,100.0
3147,31,47,171,171,100.0
3148,31,48,130,130,100.0
3149,31,49,79,79,100.0
3150,31,50,188,188,100.0
3214,32,14,203,203,100.0
3216,32,16,1,1,100.0
3313,33,13,0,0,0.0
3501,35,1,229,229,100.0
3503,35,3,140,140,100.0
3505,35,5,204,204,100.0
3506,35,6,202,202,100.0
3507,35,7,266,266,100.0
3508,35,8,225,225,100.0
3509,35,9,202,202,100.0
3510,35,10,194,194,100.0
3511,35,11,199,199,100.0
3512,35,12,280,280,100.0
3513,35,13,120,120,100.0
3514,35,14,229,229,100.0
3515,35,15,192,192,100.0
3516,35,16,190,190,100.0
3517,35,17,227,227,100.0
3518,35,18,235,235,100.0
3519,35,19,174,174,100.0
3520,35,20,220,220,100.0
3521,35,21,235,235,100.0
3524,35,24,156,156,100.0
3525,35,25,229,229,100.0
3527,35,27,266,266,100.0
3528,35,28,230,230,100.0
3529,35,29,275,275,100.0
3530,35,30,267,267,100.0
3531,35,31,290,290,100.0
3533,35,33,46,46,100.0
3534,35,34,204,204,100.0
3853,38,53,24,24,100.0
