ward,precinct,total,ROBERT SHAW,ROBERT SHAW Percent
0203,2,3,153,153,100.0
0204,2,4,160,160,100.0
0205,2,5,120,120,100.0
0206,2,6,148,148,100.0
0207,2,7,258,258,100.0
0209,2,9,146,146,100.0
0210,2,10,109,109,100.0
0212,2,12,193,193,100.0
0213,2,13,145,145,100.0
0214,2,14,316,316,100.0
0215,2,15,94,94,100.0
0216,2,16,180,180,100.0
0217,2,17,184,184,100.0
0218,2,18,354,354,100.0
0219,2,19,163,163,100.0
0220,2,20,197,197,100.0
0221,2,21,257,257,100.0
0223,2,23,131,131,100.0
0224,2,24,114,114,100.0
0225,2,25,165,165,100.0
0226,2,26,207,207,100.0
0227,2,27,133,133,100.0
0229,2,29,83,83,100.0
0230,2,30,141,141,100.0
0231,2,31,244,244,100.0
0233,2,33,164,164,100.0
0234,2,34,188,188,100.0
0236,2,36,104,104,100.0
0238,2,38,224,224,100.0
0239,2,39,192,192,100.0
0240,2,40,21,21,100.0
0241,2,41,146,146,100.0
0242,2,42,76,76,100.0
0244,2,44,132,132,100.0
0245,2,45,174,174,100.0
0246,2,46,297,297,100.0
0247,2,47,184,184,100.0
0248,2,48,151,151,100.0
0251,2,51,184,184,100.0
0252,2,52,209,209,100.0
0253,2,53,104,104,100.0
0256,2,56,177,177,100.0
0257,2,57,113,113,100.0
0301,3,1,174,174,100.0
0302,3,2,319,319,100.0
0304,3,4,115,115,100.0
0305,3,5,106,106,100.0
0306,3,6,181,181,100.0
0307,3,7,183,183,100.0
0308,3,8,73,73,100.0
0309,3,9,104,104,100.0
0310,3,10,110,110,100.0
0311,3,11,116,116,100.0
0312,3,12,213,213,100.0
0314,3,14,101,101,100.0
0315,3,15,214,214,100.0
0316,3,16,367,367,100.0
0317,3,17,129,129,100.0
0318,3,18,124,124,100.0
0319,3,19,79,79,100.0
0320,3,20,49,49,100.0
0321,3,21,131,131,100.0
0322,3,22,129,129,100.0
0323,3,23,56,56,100.0
0324,3,24,153,153,100.0
0325,3,25,57,57,100.0
0326,3,26,134,134,100.0
0327,3,27,24,24,100.0
0328,3,28,142,142,100.0
0330,3,30,132,132,100.0
0331,3,31,271,271,100.0
0332,3,32,156,156,100.0
0333,3,33,220,220,100.0
0334,3,34,124,124,100.0
0335,3,35,183,183,100.0
0336,3,36,115,115,100.0
0337,3,37,107,107,100.0
0338,3,38,43,43,100.0
0339,3,39,223,223,100.0
0340,3,40,193,193,100.0
0341,3,41,187,187,100.0
0342,3,42,165,165,100.0
0344,3,44,100,100,100.0
0345,3,45,134,134,100.0
0346,3,46,172,172,100.0
0347,3,47,132,132,100.0
0348,3,48,176,176,100.0
0349,3,49,64,64,100.0
0350,3,50,104,104,100.0
0351,3,51,17,17,100.0
0352,3,52,104,104,100.0
0353,3,53,164,164,100.0
0355,3,55,149,149,100.0
0356,3,56,161,161,100.0
0357,3,57,227,227,100.0
0358,3,58,68,68,100.0
0359,3,59,124,124,100.0
0360,3,60,193,193,100.0
0361,3,61,160,160,100.0
0362,3,62,172,172,100.0
0401,4,1,224,224,100.0
0402,4,2,257,257,100.0
0403,4,3,359,359,100.0
0404,4,4,350,350,100.0
0405,4,5,262,262,100.0
0406,4,6,94,94,100.0
0407,4,7,176,176,100.0
0408,4,8,252,252,100.0
0409,4,9,439,439,100.0
0410,4,10,318,318,100.0
0411,4,11,293,293,100.0
0412,4,12,135,135,100.0
0413,4,13,202,202,100.0
0414,4,14,168,168,100.0
0415,4,15,133,133,100.0
0416,4,16,309,309,100.0
0417,4,17,260,260,100.0
0418,4,18,250,250,100.0
0419,4,19,271,271,100.0
0420,4,20,114,114,100.0
0421,4,21,316,316,100.0
0422,4,22,309,309,100.0
0423,4,23,204,204,100.0
0424,4,24,296,296,100.0
0425,4,25,245,245,100.0
0426,4,26,268,268,100.0
0427,4,27,253,253,100.0
0428,4,28,192,192,100.0
0429,4,29,165,165,100.0
0430,4,30,153,153,100.0
0431,4,31,91,91,100.0
0432,4,32,292,292,100.0
0433,4,33,104,104,100.0
0434,4,34,179,179,100.0
0435,4,35,169,169,100.0
0436,4,36,115,115,100.0
0437,4,37,158,158,100.0
0438,4,38,343,343,100.0
0439,4,39,118,118,100.0
0440,4,40,235,235,100.0
0441,4,41,121,121,100.0
0442,4,42,276,276,100.0
0443,4,43,190,190,100.0
0444,4,44,191,191,100.0
0445,4,45,374,374,100.0
0446,4,46,218,218,100.0
0447,4,47,355,355,100.0
0448,4,48,365,365,100.0
0449,4,49,88,88,100.0
0450,4,50,205,205,100.0
0451,4,51,301,301,100.0
0452,4,52,71,71,100.0
0453,4,53,11,11,100.0
0454,4,54,146,146,100.0
0455,4,55,182,182,100.0
0456,4,56,291,291,100.0
0457,4,57,131,131,100.0
0458,4,58,258,258,100.0
0501,5,1,282,282,100.0
0502,5,2,191,191,100.0
0503,5,3,134,134,100.0
0504,5,4,194,194,100.0
0505,5,5,207,207,100.0
0506,5,6,311,311,100.0
0507,5,7,273,273,100.0
0508,5,8,302,302,100.0
0509,5,9,247,247,100.0
0510,5,10,256,256,100.0
0511,5,11,248,248,100.0
0512,5,12,187,187,100.0
0513,5,13,225,225,100.0
0514,5,14,321,321,100.0
0515,5,15,222,222,100.0
0516,5,16,217,217,100.0
0517,5,17,252,252,100.0
0518,5,18,247,247,100.0
0519,5,19,135,135,100.0
0520,5,20,139,139,100.0
0521,5,21,270,270,100.0
0522,5,22,248,248,100.0
0523,5,23,178,178,100.0
0524,5,24,195,195,100.0
0525,5,25,247,247,100.0
0526,5,26,244,244,100.0
0527,5,27,252,252,100.0
0528,5,28,208,208,100.0
0529,5,29,256,256,100.0
0530,5,30,209,209,100.0
0531,5,31,226,226,100.0
0532,5,32,308,308,100.0
0533,5,33,234,234,100.0
0534,5,34,240,240,100.0
0535,5,35,161,161,100.0
0536,5,36,148,148,100.0
0537,5,37,175,175,100.0
0538,5,38,269,269,100.0
0539,5,39,230,230,100.0
0540,5,40,309,309,100.0
0541,5,41,207,207,100.0
0542,5,42,265,265,100.0
0543,5,43,250,250,100.0
0544,5,44,250,250,100.0
0545,5,45,149,149,100.0
0546,5,46,240,240,100.0
0547,5,47,221,221,100.0
0548,5,48,175,175,100.0
0549,5,49,49,49,100.0
0550,5,50,204,204,100.0
0551,5,51,214,214,100.0
0552,5,52,75,75,100.0
0553,5,53,318,318,100.0
0554,5,54,334,334,100.0
0601,6,1,280,280,100.0
0602,6,2,292,292,100.0
0603,6,3,277,277,100.0
0604,6,4,219,219,100.0
0605,6,5,163,163,100.0
0606,6,6,213,213,100.0
0607,6,7,299,299,100.0
0608,6,8,245,245,100.0
0609,6,9,205,205,100.0
0610,6,10,313,313,100.0
0611,6,11,244,244,100.0
0612,6,12,256,256,100.0
0613,6,13,248,248,100.0
0614,6,14,282,282,100.0
0615,6,15,253,253,100.0
