ward,precinct,total,JERRY (ICEMAN) BUTLER,JERRY (ICEMAN) BUTLER Percent
0202,2,2,267,267,100.0
0203,2,3,96,96,100.0
0205,2,5,71,71,100.0
0206,2,6,77,77,100.0
0207,2,7,225,225,100.0
0212,2,12,224,224,100.0
0213,2,13,241,241,100.0
0214,2,14,273,273,100.0
0216,2,16,103,103,100.0
0218,2,18,249,249,100.0
0220,2,20,154,154,100.0
0221,2,21,157,157,100.0
0224,2,24,82,82,100.0
0226,2,26,76,76,100.0
0229,2,29,71,71,100.0
0231,2,31,197,197,100.0
0233,2,33,276,276,100.0
0244,2,44,190,190,100.0
0245,2,45,82,82,100.0
0246,2,46,338,338,100.0
0247,2,47,114,114,100.0
0248,2,48,202,202,100.0
0301,3,1,127,127,100.0
0302,3,2,260,260,100.0
0303,3,3,22,22,100.0
0305,3,5,0,0,0.0
0306,3,6,0,0,0.0
0307,3,7,0,0,0.0
0308,3,8,78,78,100.0
0309,3,9,101,101,100.0
0311,3,11,113,113,100.0
0315,3,15,120,120,100.0
0316,3,16,212,212,100.0
0319,3,19,70,70,100.0
0320,3,20,33,33,100.0
0323,3,23,48,48,100.0
0324,3,24,151,151,100.0
0325,3,25,28,28,100.0
0326,3,26,98,98,100.0
0327,3,27,29,29,100.0
0328,3,28,150,150,100.0
0329,3,29,0,0,0.0
0330,3,30,144,144,100.0
0331,3,31,164,164,100.0
0332,3,32,172,172,100.0
0333,3,33,174,174,100.0
0334,3,34,52,52,100.0
0335,3,35,119,119,100.0
0337,3,37,109,109,100.0
0338,3,38,209,209,100.0
0339,3,39,260,260,100.0
0340,3,40,141,141,100.0
0341,3,41,106,106,100.0
0343,3,43,0,0,0.0
0345,3,45,53,53,100.0
0401,4,1,180,180,100.0
0402,4,2,50,50,100.0
0403,4,3,263,263,100.0
0404,4,4,251,251,100.0
0405,4,5,224,224,100.0
0406,4,6,0,0,0.0
0407,4,7,161,161,100.0
0408,4,8,276,276,100.0
0409,4,9,440,440,100.0
0410,4,10,329,329,100.0
0411,4,11,206,206,100.0
0412,4,12,160,160,100.0
0413,4,13,255,255,100.0
0414,4,14,109,109,100.0
0415,4,15,90,90,100.0
0416,4,16,222,222,100.0
0417,4,17,222,222,100.0
0418,4,18,154,154,100.0
0419,4,19,36,36,100.0
0420,4,20,67,67,100.0
0421,4,21,229,229,100.0
0422,4,22,260,260,100.0
0423,4,23,149,149,100.0
0424,4,24,200,200,100.0
0425,4,25,245,245,100.0
0426,4,26,184,184,100.0
0427,4,27,214,214,100.0
0428,4,28,168,168,100.0
0429,4,29,168,168,100.0
0430,4,30,49,49,100.0
0431,4,31,57,57,100.0
0432,4,32,198,198,100.0
0433,4,33,72,72,100.0
0434,4,34,135,135,100.0
0435,4,35,103,103,100.0
0436,4,36,209,209,100.0
0437,4,37,98,98,100.0
0438,4,38,272,272,100.0
0439,4,39,97,97,100.0
0440,4,40,174,174,100.0
0441,4,41,136,136,100.0
0442,4,42,146,146,100.0
0443,4,43,117,117,100.0
0444,4,44,113,113,100.0
0445,4,45,388,388,100.0
0446,4,46,210,210,100.0
0447,4,47,244,244,100.0
0448,4,48,267,267,100.0
0449,4,49,48,48,100.0
0450,4,50,163,163,100.0
0451,4,51,239,239,100.0
0452,4,52,43,43,100.0
0453,4,53,25,25,100.0
0454,4,54,100,100,100.0
0455,4,55,105,105,100.0
0501,5,1,214,214,100.0
0502,5,2,190,190,100.0
0503,5,3,219,219,100.0
0504,5,4,255,255,100.0
0505,5,5,153,153,100.0
0506,5,6,209,209,100.0
0507,5,7,180,180,100.0
0508,5,8,159,159,100.0
0509,5,9,192,192,100.0
0510,5,10,131,131,100.0
0511,5,11,51,51,100.0
0512,5,12,184,184,100.0
0513,5,13,178,178,100.0
0514,5,14,144,144,100.0
0515,5,15,141,141,100.0
0516,5,16,158,158,100.0
0517,5,17,131,131,100.0
0518,5,18,131,131,100.0
