ward,precinct,total,ROBERT R. EGAN,ROBERT R. EGAN Percent,MARY ANNE MASON,MARY ANNE MASON Percent
0101,1,1,121,43,35.54,78,64.46
0102,1,2,136,50,36.76,86,63.24
0103,1,3,80,35,43.75,45,56.25
0104,1,4,110,42,38.18,68,61.82
0105,1,5,107,41,38.32,66,61.68
0106,1,6,34,11,32.35,23,67.65
0107,1,7,116,52,44.83,64,55.17
0108,1,8,69,22,31.88,47,68.12
0109,1,9,105,51,48.57,54,51.43
0110,1,10,103,36,34.95,67,65.05
0111,1,11,97,33,34.02,64,65.98
0112,1,12,143,50,34.97,93,65.03
0113,1,13,78,34,43.59,44,56.41
0114,1,14,92,35,38.04,57,61.96
0115,1,15,111,36,32.43,75,67.57
0116,1,16,91,39,42.86,52,57.14
0117,1,17,73,24,32.88,49,67.12
0118,1,18,109,45,41.28,64,58.72
0119,1,19,115,42,36.52,73,63.48
0120,1,20,74,29,39.19,45,60.81
0121,1,21,103,43,41.75,60,58.25
0122,1,22,66,19,28.79,47,71.21
0123,1,23,179,73,40.78,106,59.22
0124,1,24,83,35,42.17,48,57.83
0125,1,25,101,44,43.56,57,56.44
0126,1,26,109,49,44.95,60,55.05
0127,1,27,92,38,41.3,54,58.7
0128,1,28,19,7,36.84,12,63.16
0129,1,29,174,69,39.66,105,60.34
0130,1,30,94,51,54.26,43,45.74
0131,1,31,78,40,51.28,38,48.72
0132,1,32,123,43,34.96,80,65.04
0133,1,33,119,48,40.34,71,59.66
0134,1,34,29,10,34.48,19,65.52
0135,1,35,33,12,36.36,21,63.64
0136,1,36,92,41,44.57,51,55.43
0137,1,37,145,51,35.17,94,64.83
0201,2,1,119,51,42.86,68,57.14
0202,2,2,213,58,27.23,155,72.77
0203,2,3,95,30,31.58,65,68.42
0204,2,4,57,20,35.09,37,64.91
0205,2,5,72,29,40.28,43,59.72
0206,2,6,72,27,37.5,45,62.5
0207,2,7,194,74,38.14,120,61.86
0208,2,8,162,50,30.86,112,69.14
0209,2,9,0,0,0.0,0,0.0
0210,2,10,68,32,47.06,36,52.94
0211,2,11,244,90,36.89,154,63.11
0212,2,12,149,54,36.24,95,63.76
0213,2,13,186,56,30.11,130,69.89
0214,2,14,198,68,34.34,130,65.66
0215,2,15,37,7,18.92,30,81.08
0216,2,16,86,33,38.37,53,61.63
0217,2,17,116,45,38.79,71,61.21
0218,2,18,154,49,31.82,105,68.18
0219,2,19,64,27,42.19,37,57.81
0220,2,20,129,44,34.11,85,65.89
0221,2,21,113,41,36.28,72,63.72
0222,2,22,310,120,38.71,190,61.29
0223,2,23,101,34,33.66,67,66.34
0224,2,24,64,27,42.19,37,57.81
0225,2,25,63,23,36.51,40,63.49
0226,2,26,90,28,31.11,62,68.89
0227,2,27,21,7,33.33,14,66.67
0228,2,28,176,52,29.55,124,70.45
0229,2,29,62,28,45.16,34,54.84
0230,2,30,84,29,34.52,55,65.48
0231,2,31,156,42,26.92,114,73.08
0232,2,32,79,24,30.38,55,69.62
0233,2,33,212,79,37.26,133,62.74
0234,2,34,122,36,29.51,86,70.49
0235,2,35,27,11,40.74,16,59.26
0236,2,36,54,17,31.48,37,68.52
0237,2,37,168,64,38.1,104,61.9
0238,2,38,120,33,27.5,87,72.5
0239,2,39,152,57,37.5,95,62.5
0240,2,40,156,60,38.46,96,61.54
0241,2,41,33,10,30.3,23,69.7
0242,2,42,50,16,32.0,34,68.0
0243,2,43,166,54,32.53,112,67.47
0244,2,44,114,35,30.7,79,69.3
0245,2,45,51,17,33.33,34,66.67
0246,2,46,249,75,30.12,174,69.88
0247,2,47,95,27,28.42,68,71.58
0248,2,48,154,49,31.82,105,68.18
0249,2,49,60,20,33.33,40,66.67
0250,2,50,69,20,28.99,49,71.01
0251,2,51,131,37,28.24,94,71.76
0252,2,52,112,44,39.29,68,60.71
0253,2,53,68,30,44.12,38,55.88
0254,2,54,146,54,36.99,92,63.01
0255,2,55,109,36,33.03,73,66.97
0256,2,56,45,13,28.89,32,71.11
0301,3,1,93,32,34.41,61,65.59
0302,3,2,192,56,29.17,136,70.83
0303,3,3,19,10,52.63,9,47.37
0304,3,4,46,15,32.61,31,67.39
0305,3,5,0,0,0.0,0,0.0
0306,3,6,0,0,0.0,0,0.0
0307,3,7,0,0,0.0,0,0.0
0308,3,8,75,34,45.33,41,54.67
0309,3,9,79,23,29.11,56,70.89
0310,3,10,66,15,22.73,51,77.27
0311,3,11,88,34,38.64,54,61.36
0312,3,12,124,39,31.45,85,68.55
0313,3,13,3,1,33.33,2,66.67
0314,3,14,53,22,41.51,31,58.49
0315,3,15,96,33,34.38,63,65.63
0316,3,16,166,50,30.12,116,69.88
0317,3,17,115,36,31.3,79,68.7
0318,3,18,102,26,25.49,76,74.51
0319,3,19,59,20,33.9,39,66.1
0320,3,20,35,12,34.29,23,65.71
0321,3,21,71,13,18.31,58,81.69
0322,3,22,96,34,35.42,62,64.58
0323,3,23,47,18,38.3,29,61.7
0324,3,24,114,38,33.33,76,66.67
0325,3,25,30,10,33.33,20,66.67
0326,3,26,80,23,28.75,57,71.25
0327,3,27,27,6,22.22,21,77.78
0328,3,28,118,34,28.81,84,71.19
0329,3,29,0,0,0.0,0,0.0
0330,3,30,111,36,32.43,75,67.57
0331,3,31,112,39,34.82,73,65.18
0332,3,32,130,40,30.77,90,69.23
0333,3,33,126,39,30.95,87,69.05
0334,3,34,36,8,22.22,28,77.78
0335,3,35,83,29,34.94,54,65.06
0336,3,36,44,15,34.09,29,65.91
0337,3,37,88,34,38.64,54,61.36
0338,3,38,138,47,34.06,91,65.94
0339,3,39,186,50,26.88,136,73.12
0340,3,40,94,32,34.04,62,65.96
0341,3,41,93,23,24.73,70,75.27
0342,3,42,62,30,48.39,32,51.61
0343,3,43,0,0,0.0,0,0.0
0344,3,44,72,13,18.06,59,81.94
0345,3,45,55,19,34.55,36,65.45
0346,3,46,17,6,35.29,11,64.71
0347,3,47,99,34,34.34,65,65.66
0348,3,48,102,40,39.22,62,60.78
0349,3,49,106,40,37.74,66,62.26
0350,3,50,137,28,20.44,109,79.56
0351,3,51,55,28,50.91,27,49.09
0352,3,52,136,51,37.5,85,62.5
0401,4,1,141,44,31.21,97,68.79
0402,4,2,43,15,34.88,28,65.12
0403,4,3,183,58,31.69,125,68.31
0404,4,4,173,47,27.17,126,72.83
0405,4,5,148,49,33.11,99,66.89
0406,4,6,0,0,0.0,0,0.0
0407,4,7,99,31,31.31,68,68.69
0408,4,8,216,59,27.31,157,72.69
0409,4,9,304,85,27.96,219,72.04
0410,4,10,238,70,29.41,168,70.59
0411,4,11,145,65,44.83,80,55.17
0412,4,12,107,33,30.84,74,69.16
0413,4,13,199,50,25.13,149,74.87
0414,4,14,83,23,27.71,60,72.29
0415,4,15,65,23,35.38,42,64.62
0416,4,16,162,53,32.72,109,67.28
0417,4,17,175,44,25.14,131,74.86
0418,4,18,116,37,31.9,79,68.1
0419,4,19,27,11,40.74,16,59.26
0420,4,20,54,21,38.89,33,61.11
0421,4,21,158,51,32.28,107,67.72
0422,4,22,181,53,29.28,128,70.72
0423,4,23,107,34,31.78,73,68.22
0424,4,24,150,48,32.0,102,68.0
0425,4,25,171,41,23.98,130,76.02
0426,4,26,131,39,29.77,92,70.23
0427,4,27,156,48,30.77,108,69.23
0428,4,28,126,23,18.25,103,81.75
0429,4,29,127,32,25.2,95,74.8
0430,4,30,39,17,43.59,22,56.41
0431,4,31,48,20,41.67,28,58.33
0432,4,32,159,39,24.53,120,75.47
0433,4,33,57,20,35.09,37,64.91
0434,4,34,115,23,20.0,92,80.0
0435,4,35,91,28,30.77,63,69.23
0436,4,36,149,54,36.24,95,63.76
0437,4,37,89,34,38.2,55,61.8
0438,4,38,203,67,33.0,136,67.0
0439,4,39,75,25,33.33,50,66.67
0440,4,40,127,48,37.8,79,62.2
0441,4,41,116,27,23.28,89,76.72
0442,4,42,94,32,34.04,62,65.96
0443,4,43,77,24,31.17,53,68.83
0444,4,44,85,19,22.35,66,77.65
0445,4,45,252,66,26.19,186,73.81
0446,4,46,138,45,32.61,93,67.39
0447,4,47,185,61,32.97,124,67.03
0448,4,48,208,74,35.58,134,64.42
0449,4,49,37,16,43.24,21,56.76
0450,4,50,117,43,36.75,74,63.25
0451,4,51,184,55,29.89,129,70.11
0452,4,52,38,13,34.21,25,65.79
0453,4,53,21,10,47.62,11,52.38
0454,4,54,74,23,31.08,51,68.92
0455,4,55,72,20,27.78,52,72.22
0501,5,1,178,37,20.79,141,79.21
0502,5,2,165,41,24.85,124,75.15
0503,5,3,181,61,33.7,120,66.3
0504,5,4,217,56,25.81,161,74.19
0505,5,5,142,41,28.87,101,71.13
0506,5,6,177,51,28.81,126,71.19
0507,5,7,172,34,19.77,138,80.23
0508,5,8,176,76,43.18,100,56.82
0509,5,9,175,53,30.29,122,69.71
0510,5,10,106,30,28.3,76,71.7
0511,5,11,58,24,41.38,34,58.62
0512,5,12,158,55,34.81,103,65.19
0513,5,13,154,47,30.52,107,69.48
0514,5,14,113,42,37.17,71,62.83
0515,5,15,124,30,24.19,94,75.81
0516,5,16,137,47,34.31,90,65.69
0517,5,17,100,25,25.0,75,75.0
0518,5,18,111,41,36.94,70,63.06
0519,5,19,128,48,37.5,80,62.5
0520,5,20,108,35,32.41,73,67.59
0521,5,21,249,68,27.31,181,72.69
0522,5,22,187,59,31.55,128,68.45
0523,5,23,122,37,30.33,85,69.67
0524,5,24,140,35,25.0,105,75.0
0525,5,25,136,43,31.62,93,68.38
0526,5,26,101,33,32.67,68,67.33
0527,5,27,41,9,21.95,32,78.05
0528,5,28,199,55,27.64,144,72.36
0529,5,29,128,37,28.91,91,71.09
0530,5,30,114,37,32.46,77,67.54
0531,5,31,150,53,35.33,97,64.67
0532,5,32,243,73,30.04,170,69.96
0533,5,33,188,53,28.19,135,71.81
0534,5,34,92,28,30.43,64,69.57
0535,5,35,102,31,30.39,71,69.61
0536,5,36,189,47,24.87,142,75.13
0537,5,37,87,37,42.53,50,57.47
0538,5,38,177,70,39.55,107,60.45
0539,5,39,138,56,40.58,82,59.42
0540,5,40,141,41,29.08,100,70.92
0541,5,41,91,33,36.26,58,63.74
0542,5,42,148,31,20.95,117,79.05
0543,5,43,175,55,31.43,120,68.57
0544,5,44,160,63,39.38,97,60.63
0545,5,45,112,36,32.14,76,67.86
0546,5,46,144,51,35.42,93,64.58
0547,5,47,141,43,30.5,98,69.5
0548,5,48,111,30,27.03,81,72.97
0549,5,49,123,44,35.77,79,64.23
0550,5,50,111,31,27.93,80,72.07
0551,5,51,126,49,38.89,77,61.11
0552,5,52,96,29,30.21,67,69.79
0553,5,53,110,37,33.64,73,66.36
0554,5,54,99,25,25.25,74,74.75
0555,5,55,167,38,22.75,129,77.25
0556,5,56,97,20,20.62,77,79.38
0557,5,57,154,49,31.82,105,68.18
0558,5,58,98,27,27.55,71,72.45
0559,5,59,83,22,26.51,61,73.49
0601,6,1,219,62,28.31,157,71.69
0602,6,2,214,64,29.91,150,70.09
0603,6,3,194,57,29.38,137,70.62
0604,6,4,84,31,36.9,53,63.1
0605,6,5,92,28,30.43,64,69.57
0606,6,6,197,69,35.03,128,64.97
0607,6,7,163,54,33.13,109,66.87
0608,6,8,194,59,30.41,135,69.59
0609,6,9,197,67,34.01,130,65.99
0610,6,10,257,73,28.4,184,71.6
0611,6,11,187,44,23.53,143,76.47
0612,6,12,137,37,27.01,100,72.99
0613,6,13,158,54,34.18,104,65.82
0614,6,14,170,46,27.06,124,72.94
0615,6,15,116,47,40.52,69,59.48
0616,6,16,212,63,29.72,149,70.28
0617,6,17,218,59,27.06,159,72.94
0618,6,18,57,24,42.11,33,57.89
0619,6,19,165,50,30.3,115,69.7
0620,6,20,50,18,36.0,32,64.0
0621,6,21,196,59,30.1,137,69.9
0622,6,22,170,62,36.47,108,63.53
0623,6,23,149,53,35.57,96,64.43
0624,6,24,137,42,30.66,95,69.34
0625,6,25,179,54,30.17,125,69.83
0626,6,26,193,68,35.23,125,64.77
0627,6,27,246,72,29.27,174,70.73
0628,6,28,281,80,28.47,201,71.53
0629,6,29,229,71,31.0,158,69.0
0630,6,30,150,45,30.0,105,70.0
0631,6,31,242,73,30.17,169,69.83
0632,6,32,193,49,25.39,144,74.61
0633,6,33,208,70,33.65,138,66.35
0634,6,34,175,70,40.0,105,60.0
0635,6,35,225,75,33.33,150,66.67
0636,6,36,91,29,31.87,62,68.13
0637,6,37,243,75,30.86,168,69.14
0638,6,38,220,73,33.18,147,66.82
0639,6,39,110,36,32.73,74,67.27
0640,6,40,102,40,39.22,62,60.78
0641,6,41,189,57,30.16,132,69.84
0642,6,42,81,24,29.63,57,70.37
0643,6,43,215,65,30.23,150,69.77
0644,6,44,174,40,22.99,134,77.01
0645,6,45,110,38,34.55,72,65.45
0646,6,46,161,46,28.57,115,71.43
0647,6,47,187,56,29.95,131,70.05
0648,6,48,69,22,31.88,47,68.12
0649,6,49,164,46,28.05,118,71.95
0650,6,50,206,64,31.07,142,68.93
0651,6,51,131,32,24.43,99,75.57
0652,6,52,145,41,28.28,104,71.72
0653,6,53,161,51,31.68,110,68.32
0654,6,54,153,43,28.1,110,71.9
0655,6,55,128,35,27.34,93,72.66
0656,6,56,135,47,34.81,88,65.19
0657,6,57,106,41,38.68,65,61.32
0658,6,58,216,58,26.85,158,73.15
0659,6,59,165,54,32.73,111,67.27
