ward,precinct,total,EDWARD J. ACEVEDO,EDWARD J. ACEVEDO Percent
1101,11,1,173,173,100.0
1102,11,2,160,160,100.0
1103,11,3,84,84,100.0
1104,11,4,244,244,100.0
1105,11,5,120,120,100.0
1106,11,6,249,249,100.0
1107,11,7,184,184,100.0
1108,11,8,164,164,100.0
1109,11,9,197,197,100.0
1110,11,10,125,125,100.0
1111,11,11,206,206,100.0
1116,11,16,205,205,100.0
1117,11,17,224,224,100.0
1118,11,18,138,138,100.0
1119,11,19,164,164,100.0
1120,11,20,263,263,100.0
1121,11,21,329,329,100.0
1124,11,24,290,290,100.0
1125,11,25,140,140,100.0
1126,11,26,269,269,100.0
1129,11,29,246,246,100.0
1130,11,30,151,151,100.0
1137,11,37,163,163,100.0
1138,11,38,179,179,100.0
1140,11,40,129,129,100.0
1141,11,41,95,95,100.0
1144,11,44,165,165,100.0
1145,11,45,18,18,100.0
1147,11,47,193,193,100.0
1150,11,50,47,47,100.0
1152,11,52,70,70,100.0
1201,12,1,64,64,100.0
1206,12,6,6,6,100.0
1207,12,7,91,91,100.0
1208,12,8,46,46,100.0
1214,12,14,117,117,100.0
1215,12,15,94,94,100.0
1216,12,16,32,32,100.0
1218,12,18,64,64,100.0
1220,12,20,104,104,100.0
1221,12,21,0,0,0.0
1222,12,22,83,83,100.0
1226,12,26,60,60,100.0
2229,22,29,74,74,100.0
2501,25,1,137,137,100.0
2502,25,2,145,145,100.0
2505,25,5,149,149,100.0
2507,25,7,141,141,100.0
2508,25,8,163,163,100.0
2509,25,9,195,195,100.0
2511,25,11,172,172,100.0
2513,25,13,144,144,100.0
2515,25,15,145,145,100.0
2517,25,17,184,184,100.0
2519,25,19,149,149,100.0
2520,25,20,211,211,100.0
2522,25,22,116,116,100.0
2523,25,23,137,137,100.0
2524,25,24,136,136,100.0
