ward,precinct,total,CALVIN L. GILES,CALVIN L. GILES Percent
2407,24,7,117,117,100.0
2416,24,16,93,93,100.0
2441,24,41,113,113,100.0
2446,24,46,124,124,100.0
2801,28,1,156,156,100.0
2804,28,4,200,200,100.0
2808,28,8,78,78,100.0
2812,28,12,100,100,100.0
2819,28,19,110,110,100.0
2821,28,21,113,113,100.0
2827,28,27,67,67,100.0
2840,28,40,132,132,100.0
2842,28,42,88,88,100.0
2845,28,45,77,77,100.0
2847,28,47,114,114,100.0
2851,28,51,97,97,100.0
2858,28,58,77,77,100.0
2860,28,60,85,85,100.0
2861,28,61,66,66,100.0
2901,29,1,152,152,100.0
2903,29,3,145,145,100.0
2910,29,10,151,151,100.0
2912,29,12,150,150,100.0
2914,29,14,156,156,100.0
2915,29,15,187,187,100.0
2922,29,22,104,104,100.0
2924,29,24,181,181,100.0
2925,29,25,192,192,100.0
2928,29,28,105,105,100.0
2930,29,30,106,106,100.0
2931,29,31,155,155,100.0
2934,29,34,118,118,100.0
2936,29,36,155,155,100.0
2938,29,38,158,158,100.0
2942,29,42,52,52,100.0
2949,29,49,224,224,100.0
2955,29,55,31,31,100.0
2956,29,56,128,128,100.0
3624,36,24,1,1,100.0
3626,36,26,276,276,100.0
3643,36,43,200,200,100.0
3701,37,1,90,90,100.0
3704,37,4,152,152,100.0
3705,37,5,124,124,100.0
3710,37,10,209,209,100.0
3714,37,14,148,148,100.0
3715,37,15,124,124,100.0
3716,37,16,215,215,100.0
3720,37,20,140,140,100.0
3721,37,21,173,173,100.0
3722,37,22,118,118,100.0
3724,37,24,4,4,100.0
3725,37,25,114,114,100.0
3726,37,26,152,152,100.0
3727,37,27,85,85,100.0
3728,37,28,123,123,100.0
3729,37,29,12,12,100.0
3730,37,30,91,91,100.0
3731,37,31,261,261,100.0
3732,37,32,129,129,100.0
3733,37,33,154,154,100.0
3734,37,34,179,179,100.0
3735,37,35,0,0,0.0
3739,37,39,22,22,100.0
3740,37,40,132,132,100.0
3741,37,41,33,33,100.0
3742,37,42,0,0,0.0
3743,37,43,170,170,100.0
3744,37,44,150,150,100.0
3745,37,45,25,25,100.0
3748,37,48,129,129,100.0
3749,37,49,109,109,100.0
