ward,precinct,total,ANNAZETTE COLLINS,ANNAZETTE COLLINS Percent,JOSEPH WILLIAM SNEED,JOSEPH WILLIAM SNEED Percent,JULIUS D. PENN,JULIUS D. PENN Percent
0106,1,6,50,29,58.0,16,32.0,5,10.0
0107,1,7,27,19,70.37,5,18.52,3,11.11
0108,1,8,78,49,62.82,24,30.77,5,6.41
0112,1,12,18,18,100.0,0,0.0,0,0.0
0123,1,23,0,0,0.0,0,0.0,0,0.0
0128,1,28,8,7,87.5,1,12.5,0,0.0
0131,1,31,98,43,43.88,45,45.92,10,10.2
0132,1,32,17,17,100.0,0,0.0,0,0.0
0135,1,35,37,21,56.76,9,24.32,7,18.92
0215,2,15,58,48,82.76,4,6.9,6,10.34
0219,2,19,76,53,69.74,16,21.05,7,9.21
0223,2,23,100,65,65.0,31,31.0,4,4.0
0227,2,27,26,10,38.46,11,42.31,5,19.23
0239,2,39,1,1,100.0,0,0.0,0,0.0
0253,2,53,86,54,62.79,26,30.23,6,6.98
2407,24,7,0,0,0.0,0,0.0,0,0.0
2418,24,18,95,71,74.74,19,20.0,5,5.26
2429,24,29,2,1,50.0,1,50.0,0,0.0
2433,24,33,120,83,69.17,32,26.67,5,4.17
2608,26,8,49,27,55.1,16,32.65,6,12.24
2638,26,38,99,62,62.63,30,30.3,7,7.07
2702,27,2,123,78,63.41,38,30.89,7,5.69
2703,27,3,126,85,67.46,32,25.4,9,7.14
2708,27,8,74,48,64.86,24,32.43,2,2.7
2710,27,10,206,175,84.95,27,13.11,4,1.94
2711,27,11,111,49,44.14,56,50.45,6,5.41
2715,27,15,115,87,75.65,22,19.13,6,5.22
2718,27,18,54,28,51.85,21,38.89,5,9.26
2719,27,19,117,95,81.2,16,13.68,6,5.13
2722,27,22,146,103,70.55,32,21.92,11,7.53
2723,27,23,119,88,73.95,21,17.65,10,8.4
2724,27,24,148,109,73.65,30,20.27,9,6.08
2725,27,25,111,73,65.77,30,27.03,8,7.21
2726,27,26,265,189,71.32,59,22.26,17,6.42
2727,27,27,81,49,60.49,29,35.8,3,3.7
2729,27,29,106,86,81.13,15,14.15,5,4.72
2730,27,30,68,28,41.18,37,54.41,3,4.41
2731,27,31,117,83,70.94,28,23.93,6,5.13
2732,27,32,44,24,54.55,17,38.64,3,6.82
2733,27,33,108,81,75.0,21,19.44,6,5.56
2734,27,34,155,130,83.87,17,10.97,8,5.16
2735,27,35,0,0,0.0,0,0.0,0,0.0
2736,27,36,164,108,65.85,48,29.27,8,4.88
2737,27,37,1,0,0.0,1,100.0,0,0.0
2740,27,40,108,92,85.19,12,11.11,4,3.7
2741,27,41,135,59,43.7,54,40.0,22,16.3
2744,27,44,180,128,71.11,41,22.78,11,6.11
2745,27,45,188,160,85.11,19,10.11,9,4.79
2746,27,46,159,135,84.91,19,11.95,5,3.14
2747,27,47,108,73,67.59,30,27.78,5,4.63
2748,27,48,181,137,75.69,29,16.02,15,8.29
2749,27,49,122,70,57.38,46,37.7,6,4.92
2750,27,50,80,45,56.25,30,37.5,5,6.25
2754,27,54,33,20,60.61,11,33.33,2,6.06
2755,27,55,43,29,67.44,11,25.58,3,6.98
2802,28,2,98,68,69.39,23,23.47,7,7.14
2803,28,3,138,126,91.3,9,6.52,3,2.17
2805,28,5,143,105,73.43,31,21.68,7,4.9
2806,28,6,181,147,81.22,30,16.57,4,2.21
2807,28,7,214,170,79.44,34,15.89,10,4.67
2809,28,9,150,129,86.0,20,13.33,1,0.67
2810,28,10,191,154,80.63,32,16.75,5,2.62
2811,28,11,135,110,81.48,18,13.33,7,5.19
2813,28,13,126,101,80.16,15,11.9,10,7.94
2815,28,15,90,74,82.22,12,13.33,4,4.44
2816,28,16,131,96,73.28,25,19.08,10,7.63
2818,28,18,192,152,79.17,33,17.19,7,3.65
2820,28,20,183,136,74.32,26,14.21,21,11.48
2822,28,22,146,130,89.04,12,8.22,4,2.74
2823,28,23,164,119,72.56,35,21.34,10,6.1
2824,28,24,82,56,68.29,21,25.61,5,6.1
2825,28,25,151,128,84.77,21,13.91,2,1.32
2826,28,26,144,118,81.94,18,12.5,8,5.56
2828,28,28,129,82,63.57,42,32.56,5,3.88
2829,28,29,154,112,72.73,33,21.43,9,5.84
2830,28,30,88,67,76.14,19,21.59,2,2.27
2831,28,31,130,100,76.92,21,16.15,9,6.92
2832,28,32,127,90,70.87,31,24.41,6,4.72
2833,28,33,98,69,70.41,21,21.43,8,8.16
2834,28,34,157,109,69.43,43,27.39,5,3.18
2836,28,36,138,125,90.58,8,5.8,5,3.62
2837,28,37,189,154,81.48,30,15.87,5,2.65
2838,28,38,116,97,83.62,18,15.52,1,0.86
2841,28,41,85,66,77.65,18,21.18,1,1.18
2843,28,43,90,70,77.78,13,14.44,7,7.78
2844,28,44,89,63,70.79,19,21.35,7,7.87
2846,28,46,126,109,86.51,14,11.11,3,2.38
2849,28,49,101,87,86.14,12,11.88,2,1.98
2850,28,50,82,62,75.61,19,23.17,1,1.22
2855,28,55,74,57,77.03,13,17.57,4,5.41
2856,28,56,124,104,83.87,16,12.9,4,3.23
2857,28,57,137,98,71.53,30,21.9,9,6.57
2859,28,59,103,84,81.55,15,14.56,4,3.88
3119,31,19,22,10,45.45,10,45.45,2,9.09
3202,32,2,83,36,43.37,33,39.76,14,16.87
3204,32,4,185,115,62.16,53,28.65,17,9.19
3205,32,5,100,58,58.0,35,35.0,7,7.0
3206,32,6,128,73,57.03,38,29.69,17,13.28
3226,32,26,121,71,58.68,34,28.1,16,13.22
3229,32,29,69,45,65.22,19,27.54,5,7.25
3230,32,30,108,60,55.56,36,33.33,12,11.11
3231,32,31,145,89,61.38,45,31.03,11,7.59
3233,32,33,105,66,62.86,27,25.71,12,11.43
3234,32,34,136,70,51.47,44,32.35,22,16.18
3235,32,35,165,103,62.42,50,30.3,12,7.27
3236,32,36,168,100,59.52,48,28.57,20,11.9
3237,32,37,0,0,0.0,0,0.0,0,0.0
3246,32,46,26,18,69.23,5,19.23,3,11.54
3247,32,47,57,34,59.65,17,29.82,6,10.53
3703,37,3,72,56,77.78,13,18.06,3,4.17
3708,37,8,117,82,70.09,28,23.93,7,5.98
3711,37,11,33,17,51.52,13,39.39,3,9.09
3712,37,12,142,109,76.76,27,19.01,6,4.23
3713,37,13,150,109,72.67,32,21.33,9,6.0
3717,37,17,163,120,73.62,30,18.4,13,7.98
3719,37,19,147,118,80.27,23,15.65,6,4.08
3735,37,35,10,6,60.0,3,30.0,1,10.0
3747,37,47,22,15,68.18,4,18.18,3,13.64
3751,37,51,119,94,78.99,22,18.49,3,2.52
4301,43,1,76,40,52.63,30,39.47,6,7.89
4303,43,3,85,40,47.06,36,42.35,9,10.59
4305,43,5,92,42,45.65,39,42.39,11,11.96
4307,43,7,3,2,66.67,1,33.33,0,0.0
4309,43,9,63,35,55.56,21,33.33,7,11.11
4310,43,10,20,20,100.0,0,0.0,0,0.0
4311,43,11,12,4,33.33,6,50.0,2,16.67
4313,43,13,59,27,45.76,27,45.76,5,8.47
4315,43,15,100,44,44.0,42,42.0,14,14.0
4323,43,23,13,7,53.85,3,23.08,3,23.08
4328,43,28,67,29,43.28,30,44.78,8,11.94
4330,43,30,19,10,52.63,7,36.84,2,10.53
4340,43,40,137,79,57.66,44,32.12,14,10.22
4341,43,41,12,6,50.0,4,33.33,2,16.67
4347,43,47,118,53,44.92,55,46.61,10,8.47
