ward,precinct,total,LOU GIOVANNETTI,LOU GIOVANNETTI Percent,ROBERT J. BUGIELSKI,ROBERT J. BUGIELSKI Percent,FRANK L. COCONATE,FRANK L. COCONATE Percent
3605,36,5,166,17,10.24,98,59.04,51,30.72
3607,36,7,212,16,7.55,143,67.45,53,25.0
3608,36,8,238,27,11.34,160,67.23,51,21.43
3609,36,9,210,38,18.1,133,63.33,39,18.57
3610,36,10,185,31,16.76,117,63.24,37,20.0
3611,36,11,296,40,13.51,227,76.69,29,9.8
3612,36,12,209,33,15.79,138,66.03,38,18.18
3613,36,13,272,22,8.09,219,80.51,31,11.4
3614,36,14,259,27,10.42,208,80.31,24,9.27
3615,36,15,185,18,9.73,153,82.7,14,7.57
3617,36,17,180,18,10.0,111,61.67,51,28.33
3618,36,18,249,30,12.05,138,55.42,81,32.53
3619,36,19,359,17,4.74,328,91.36,14,3.9
3620,36,20,297,23,7.74,256,86.2,18,6.06
3625,36,25,150,17,11.33,75,50.0,58,38.67
3627,36,27,181,36,19.89,105,58.01,40,22.1
3628,36,28,169,19,11.24,132,78.11,18,10.65
3629,36,29,218,30,13.76,156,71.56,32,14.68
3630,36,30,267,48,17.98,163,61.05,56,20.97
3631,36,31,225,34,15.11,149,66.22,42,18.67
3632,36,32,223,15,6.73,173,77.58,35,15.7
3634,36,34,151,25,16.56,59,39.07,67,44.37
3635,36,35,250,29,11.6,197,78.8,24,9.6
3637,36,37,169,19,11.24,119,70.41,31,18.34
3638,36,38,146,14,9.59,104,71.23,28,19.18
3639,36,39,216,22,10.19,159,73.61,35,16.2
3640,36,40,221,52,23.53,139,62.9,30,13.57
3642,36,42,166,35,21.08,94,56.63,37,22.29
3646,36,46,205,26,12.68,120,58.54,59,28.78
3647,36,47,179,19,10.61,97,54.19,63,35.2
3648,36,48,215,44,20.47,130,60.47,41,19.07
3649,36,49,199,38,19.1,120,60.3,41,20.6
3650,36,50,213,3,1.41,209,98.12,1,0.47
3652,36,52,182,36,19.78,120,65.93,26,14.29
3653,36,53,94,26,27.66,56,59.57,12,12.77
3803,38,3,195,31,15.9,111,56.92,53,27.18
3807,38,7,218,40,18.35,133,61.01,45,20.64
3838,38,38,209,35,16.75,69,33.01,105,50.24
4101,41,1,146,35,23.97,67,45.89,44,30.14
4102,41,2,248,46,18.55,138,55.65,64,25.81
4103,41,3,197,56,28.43,94,47.72,47,23.86
4104,41,4,203,31,15.27,60,29.56,112,55.17
4105,41,5,161,29,18.01,67,41.61,65,40.37
4106,41,6,161,34,21.12,78,48.45,49,30.43
4107,41,7,279,40,14.34,61,21.86,178,63.8
4108,41,8,186,60,32.26,55,29.57,71,38.17
4109,41,9,170,27,15.88,114,67.06,29,17.06
4111,41,11,145,25,17.24,54,37.24,66,45.52
4112,41,12,214,59,27.57,93,43.46,62,28.97
4113,41,13,49,19,38.78,13,26.53,17,34.69
4115,41,15,122,17,13.93,52,42.62,53,43.44
4116,41,16,214,31,14.49,115,53.74,68,31.78
4117,41,17,220,46,20.91,107,48.64,67,30.45
4118,41,18,144,37,25.69,68,47.22,39,27.08
4119,41,19,237,41,17.3,140,59.07,56,23.63
4120,41,20,230,25,10.87,126,54.78,79,34.35
4121,41,21,143,27,18.88,70,48.95,46,32.17
4122,41,22,193,44,22.8,83,43.01,66,34.2
4124,41,24,165,61,36.97,68,41.21,36,21.82
4130,41,30,180,36,20.0,88,48.89,56,31.11
4131,41,31,199,45,22.61,81,40.7,73,36.68
4133,41,33,185,40,21.62,75,40.54,70,37.84
4134,41,34,159,31,19.5,50,31.45,78,49.06
4135,41,35,165,24,14.55,75,45.45,66,40.0
4136,41,36,177,38,21.47,87,49.15,52,29.38
4137,41,37,204,34,16.67,95,46.57,75,36.76
4139,41,39,193,46,23.83,49,25.39,98,50.78
4140,41,40,167,26,15.57,88,52.69,53,31.74
4141,41,41,158,50,31.65,43,27.22,65,41.14
4142,41,42,182,32,17.58,76,41.76,74,40.66
4143,41,43,162,34,20.99,92,56.79,36,22.22
4144,41,44,157,49,31.21,64,40.76,44,28.03
4145,41,45,150,48,32.0,58,38.67,44,29.33
4146,41,46,187,41,21.93,76,40.64,70,37.43
4149,41,49,174,39,22.41,94,54.02,41,23.56
4150,41,50,195,41,21.03,101,51.79,53,27.18
4151,41,51,102,27,26.47,54,52.94,21,20.59
4152,41,52,220,46,20.91,115,52.27,59,26.82
4153,41,53,175,43,24.57,56,32.0,76,43.43
4155,41,55,143,25,17.48,69,48.25,49,34.27
4156,41,56,210,37,17.62,69,32.86,104,49.52
4157,41,57,185,56,30.27,96,51.89,33,17.84
4158,41,58,139,24,17.27,63,45.32,52,37.41
4160,41,60,171,51,29.82,62,36.26,58,33.92
4161,41,61,261,54,20.69,87,33.33,120,45.98
4162,41,62,200,76,38.0,76,38.0,48,24.0
4163,41,63,168,38,22.62,79,47.02,51,30.36
4164,41,64,186,42,22.58,85,45.7,59,31.72
4165,41,65,117,27,23.08,61,52.14,29,24.79
