ward,precinct,total,MICHAEL J. MADIGAN,MICHAEL J. MADIGAN Percent
1302,13,2,167,167,100.0
1304,13,4,228,228,100.0
1305,13,5,170,170,100.0
1306,13,6,169,169,100.0
1307,13,7,207,207,100.0
1309,13,9,230,230,100.0
1310,13,10,201,201,100.0
1312,13,12,212,212,100.0
1314,13,14,160,160,100.0
1315,13,15,237,237,100.0
1316,13,16,194,194,100.0
1321,13,21,176,176,100.0
1322,13,22,221,221,100.0
1323,13,23,191,191,100.0
1325,13,25,172,172,100.0
1327,13,27,196,196,100.0
1328,13,28,168,168,100.0
1329,13,29,221,221,100.0
1332,13,32,166,166,100.0
1333,13,33,176,176,100.0
1334,13,34,197,197,100.0
1335,13,35,222,222,100.0
1336,13,36,143,143,100.0
1337,13,37,146,146,100.0
1338,13,38,97,97,100.0
1339,13,39,195,195,100.0
1340,13,40,170,170,100.0
1341,13,41,154,154,100.0
1342,13,42,238,238,100.0
1343,13,43,205,205,100.0
1346,13,46,209,209,100.0
1347,13,47,148,148,100.0
1348,13,48,173,173,100.0
1349,13,49,131,131,100.0
1350,13,50,227,227,100.0
1351,13,51,178,178,100.0
1352,13,52,245,245,100.0
1353,13,53,238,238,100.0
1354,13,54,239,239,100.0
1356,13,56,269,269,100.0
1357,13,57,219,219,100.0
1358,13,58,246,246,100.0
1359,13,59,175,175,100.0
1360,13,60,182,182,100.0
1362,13,62,228,228,100.0
2314,23,14,226,226,100.0
2361,23,61,249,249,100.0
2362,23,62,244,244,100.0
