ward,precinct,total,Bridget Anne Mitchell,Bridget Anne Mitchell Percent,"Alfred M. Swanson, Jr.","Alfred M. Swanson, Jr. Percent"
0101,1,1,51,39,76.47,12,23.53
0102,1,2,58,43,74.14,15,25.86
0103,1,3,36,19,52.78,17,47.22
0104,1,4,24,15,62.5,9,37.5
0105,1,5,18,13,72.22,5,27.78
0106,1,6,42,21,50.0,21,50.0
0107,1,7,83,65,78.31,18,21.69
0108,1,8,56,43,76.79,13,23.21
0109,1,9,104,81,77.88,23,22.12
0110,1,10,26,18,69.23,8,30.77
0111,1,11,42,27,64.29,15,35.71
0112,1,12,39,26,66.67,13,33.33
0113,1,13,41,28,68.29,13,31.71
0114,1,14,37,26,70.27,11,29.73
0115,1,15,35,26,74.29,9,25.71
0116,1,16,81,61,75.31,20,24.69
0117,1,17,61,37,60.66,24,39.34
0118,1,18,54,36,66.67,18,33.33
0119,1,19,131,84,64.12,47,35.88
0120,1,20,47,31,65.96,16,34.04
0121,1,21,19,16,84.21,3,15.79
0122,1,22,26,19,73.08,7,26.92
0123,1,23,125,99,79.2,26,20.8
0124,1,24,41,33,80.49,8,19.51
0125,1,25,28,23,82.14,5,17.86
0126,1,26,53,43,81.13,10,18.87
0127,1,27,34,25,73.53,9,26.47
0128,1,28,40,26,65.0,14,35.0
0129,1,29,37,26,70.27,11,29.73
0130,1,30,73,52,71.23,21,28.77
0131,1,31,67,50,74.63,17,25.37
0132,1,32,35,21,60.0,14,40.0
0133,1,33,23,16,69.57,7,30.43
0134,1,34,71,56,78.87,15,21.13
0135,1,35,30,20,66.67,10,33.33
0136,1,36,33,25,75.76,8,24.24
0137,1,37,27,19,70.37,8,29.63
0138,1,38,61,46,75.41,15,24.59
0139,1,39,17,11,64.71,6,35.29
0140,1,40,52,33,63.46,19,36.54
0141,1,41,71,56,78.87,15,21.13
0142,1,42,35,27,77.14,8,22.86
0143,1,43,79,57,72.15,22,27.85
0144,1,44,15,10,66.67,5,33.33
0201,2,1,34,20,58.82,14,41.18
0202,2,2,52,35,67.31,17,32.69
0203,2,3,35,26,74.29,9,25.71
0204,2,4,26,17,65.38,9,34.62
0205,2,5,27,22,81.48,5,18.52
0206,2,6,31,22,70.97,9,29.03
0207,2,7,26,22,84.62,4,15.38
0208,2,8,25,18,72.0,7,28.0
0209,2,9,22,15,68.18,7,31.82
0210,2,10,72,49,68.06,23,31.94
0211,2,11,59,40,67.8,19,32.2
0212,2,12,59,40,67.8,19,32.2
0213,2,13,87,56,64.37,31,35.63
0214,2,14,58,44,75.86,14,24.14
0215,2,15,63,37,58.73,26,41.27
0216,2,16,26,17,65.38,9,34.62
0217,2,17,50,33,66.0,17,34.0
0218,2,18,68,51,75.0,17,25.0
0219,2,19,70,56,80.0,14,20.0
0220,2,20,15,8,53.33,7,46.67
0221,2,21,38,26,68.42,12,31.58
0222,2,22,41,23,56.1,18,43.9
0223,2,23,46,36,78.26,10,21.74
0224,2,24,42,26,61.9,16,38.1
0225,2,25,38,25,65.79,13,34.21
0226,2,26,35,29,82.86,6,17.14
0227,2,27,46,30,65.22,16,34.78
0228,2,28,37,27,72.97,10,27.03
0229,2,29,46,35,76.09,11,23.91
0230,2,30,41,25,60.98,16,39.02
0231,2,31,69,45,65.22,24,34.78
0232,2,32,27,18,66.67,9,33.33
0233,2,33,98,58,59.18,40,40.82
0234,2,34,59,26,44.07,33,55.93
0235,2,35,32,20,62.5,12,37.5
0236,2,36,34,19,55.88,15,44.12
0237,2,37,48,28,58.33,20,41.67
0238,2,38,37,31,83.78,6,16.22
0239,2,39,47,31,65.96,16,34.04
0240,2,40,30,16,53.33,14,46.67
0241,2,41,19,16,84.21,3,15.79
0242,2,42,52,37,71.15,15,28.85
0243,2,43,38,29,76.32,9,23.68
0244,2,44,28,22,78.57,6,21.43
0245,2,45,87,50,57.47,37,42.53
0246,2,46,23,18,78.26,5,21.74
0301,3,1,99,66,66.67,33,33.33
0302,3,2,196,105,53.57,91,46.43
0303,3,3,98,59,60.2,39,39.8
0304,3,4,139,89,64.03,50,35.97
0305,3,5,66,36,54.55,30,45.45
0306,3,6,45,25,55.56,20,44.44
0307,3,7,106,68,64.15,38,35.85
0308,3,8,73,33,45.21,40,54.79
0309,3,9,100,60,60.0,40,40.0
0310,3,10,50,29,58.0,21,42.0
0311,3,11,89,62,69.66,27,30.34
0312,3,12,171,108,63.16,63,36.84
0313,3,13,66,41,62.12,25,37.88
0314,3,14,58,46,79.31,12,20.69
0315,3,15,74,41,55.41,33,44.59
0316,3,16,85,58,68.24,27,31.76
0317,3,17,37,21,56.76,16,43.24
0318,3,18,123,82,66.67,41,33.33
0319,3,19,73,49,67.12,24,32.88
0320,3,20,95,58,61.05,37,38.95
0321,3,21,113,67,59.29,46,40.71
0322,3,22,43,30,69.77,13,30.23
0323,3,23,104,68,65.38,36,34.62
0324,3,24,113,74,65.49,39,34.51
0325,3,25,70,45,64.29,25,35.71
0326,3,26,103,58,56.31,45,43.69
0327,3,27,32,22,68.75,10,31.25
0328,3,28,98,58,59.18,40,40.82
0329,3,29,85,56,65.88,29,34.12
0330,3,30,118,76,64.41,42,35.59
0331,3,31,131,83,63.36,48,36.64
0332,3,32,79,55,69.62,24,30.38
0333,3,33,55,30,54.55,25,45.45
0334,3,34,83,54,65.06,29,34.94
0335,3,35,49,35,71.43,14,28.57
0336,3,36,47,31,65.96,16,34.04
0337,3,37,78,50,64.1,28,35.9
0338,3,38,184,124,67.39,60,32.61
0339,3,39,33,21,63.64,12,36.36
0340,3,40,126,73,57.94,53,42.06
0341,3,41,101,54,53.47,47,46.53
0401,4,1,115,55,47.83,60,52.17
0402,4,2,84,51,60.71,33,39.29
0403,4,3,116,66,56.9,50,43.1
0404,4,4,140,90,64.29,50,35.71
0405,4,5,86,56,65.12,30,34.88
0406,4,6,182,98,53.85,84,46.15
0407,4,7,183,112,61.2,71,38.8
0408,4,8,190,111,58.42,79,41.58
0409,4,9,239,136,56.9,103,43.1
0410,4,10,107,63,58.88,44,41.12
0411,4,11,122,74,60.66,48,39.34
0412,4,12,148,96,64.86,52,35.14
0413,4,13,26,17,65.38,9,34.62
0414,4,14,129,68,52.71,61,47.29
0415,4,15,149,100,67.11,49,32.89
0416,4,16,52,31,59.62,21,40.38
0417,4,17,59,34,57.63,25,42.37
0418,4,18,143,109,76.22,34,23.78
0419,4,19,143,102,71.33,41,28.67
0420,4,20,109,58,53.21,51,46.79
0421,4,21,59,38,64.41,21,35.59
0422,4,22,104,58,55.77,46,44.23
0423,4,23,116,61,52.59,55,47.41
0424,4,24,121,66,54.55,55,45.45
0425,4,25,80,59,73.75,21,26.25
