ward,precinct,total,Cynthia M. Santos,Cynthia M. Santos Percent
0103,1,3,34,34,100.0
0104,1,4,24,24,100.0
0105,1,5,19,19,100.0
0106,1,6,42,42,100.0
0108,1,8,58,58,100.0
0110,1,10,21,21,100.0
0111,1,11,45,45,100.0
0114,1,14,27,27,100.0
0121,1,21,22,22,100.0
0128,1,28,49,49,100.0
0132,1,32,31,31,100.0
0133,1,33,24,24,100.0
0135,1,35,33,33,100.0
0136,1,36,30,30,100.0
0137,1,37,31,31,100.0
0138,1,38,10,10,100.0
0139,1,39,19,19,100.0
0140,1,40,56,56,100.0
0201,2,1,33,33,100.0
0203,2,3,32,32,100.0
0204,2,4,23,23,100.0
0205,2,5,27,27,100.0
0206,2,6,30,30,100.0
0207,2,7,23,23,100.0
0208,2,8,23,23,100.0
0212,2,12,22,22,100.0
0214,2,14,7,7,100.0
0215,2,15,65,65,100.0
0216,2,16,27,27,100.0
0217,2,17,0,0,0.0
0220,2,20,13,13,100.0
0221,2,21,39,39,100.0
0222,2,22,34,34,100.0
0224,2,24,44,44,100.0
0225,2,25,41,41,100.0
0226,2,26,36,36,100.0
0228,2,28,30,30,100.0
0230,2,30,34,34,100.0
0231,2,31,71,71,100.0
0233,2,33,95,95,100.0
0237,2,37,48,48,100.0
0238,2,38,28,28,100.0
0244,2,44,25,25,100.0
2628,26,28,26,26,100.0
2632,26,32,28,28,100.0
2707,27,7,48,48,100.0
2712,27,12,23,23,100.0
2713,27,13,5,5,100.0
2721,27,21,0,0,0.0
2727,27,27,3,3,100.0
2735,27,35,2,2,100.0
2737,27,37,5,5,100.0
2740,27,40,12,12,100.0
2742,27,42,27,27,100.0
2743,27,43,2,2,100.0
2746,27,46,19,19,100.0
2923,29,23,38,38,100.0
2929,29,29,63,63,100.0
2931,29,31,35,35,100.0
2932,29,32,45,45,100.0
2938,29,38,0,0,0.0
2939,29,39,4,4,100.0
3015,30,15,75,75,100.0
3017,30,17,53,53,100.0
3021,30,21,50,50,100.0
3201,32,1,48,48,100.0
3202,32,2,32,32,100.0
3204,32,4,44,44,100.0
3205,32,5,38,38,100.0
3206,32,6,32,32,100.0
3207,32,7,39,39,100.0
3208,32,8,20,20,100.0
3209,32,9,30,30,100.0
3210,32,10,47,47,100.0
3213,32,13,22,22,100.0
3215,32,15,26,26,100.0
3216,32,16,38,38,100.0
3218,32,18,29,29,100.0
3219,32,19,30,30,100.0
3221,32,21,45,45,100.0
3223,32,23,25,25,100.0
3224,32,24,14,14,100.0
3225,32,25,35,35,100.0
3227,32,27,17,17,100.0
3229,32,29,54,54,100.0
3230,32,30,25,25,100.0
3231,32,31,33,33,100.0
3232,32,32,36,36,100.0
3233,32,33,47,47,100.0
3234,32,34,26,26,100.0
3235,32,35,28,28,100.0
3236,32,36,30,30,100.0
3237,32,37,21,21,100.0
3238,32,38,27,27,100.0
3239,32,39,31,31,100.0
3240,32,40,27,27,100.0
3241,32,41,34,34,100.0
3242,32,42,27,27,100.0
3302,33,2,55,55,100.0
3303,33,3,4,4,100.0
3305,33,5,53,53,100.0
3307,33,7,60,60,100.0
3308,33,8,55,55,100.0
3309,33,9,0,0,0.0
3310,33,10,1,1,100.0
3318,33,18,64,64,100.0
3319,33,19,3,3,100.0
3323,33,23,0,0,0.0
3324,33,24,96,96,100.0
3327,33,27,3,3,100.0
3607,36,7,57,57,100.0
3614,36,14,91,91,100.0
3615,36,15,37,37,100.0
3616,36,16,92,92,100.0
3617,36,17,128,128,100.0
3618,36,18,85,85,100.0
3620,36,20,50,50,100.0
3624,36,24,43,43,100.0
3626,36,26,44,44,100.0
3628,36,28,59,59,100.0
3629,36,29,37,37,100.0
3630,36,30,49,49,100.0
3802,38,2,54,54,100.0
3803,38,3,31,31,100.0
3804,38,4,77,77,100.0
3805,38,5,67,67,100.0
3806,38,6,60,60,100.0
3807,38,7,62,62,100.0
3808,38,8,43,43,100.0
3809,38,9,60,60,100.0
3810,38,10,40,40,100.0
3811,38,11,48,48,100.0
3812,38,12,72,72,100.0
3813,38,13,57,57,100.0
3814,38,14,76,76,100.0
3815,38,15,31,31,100.0
3816,38,16,43,43,100.0
3817,38,17,70,70,100.0
3818,38,18,50,50,100.0
3819,38,19,73,73,100.0
3820,38,20,53,53,100.0
3821,38,21,34,34,100.0
3822,38,22,54,54,100.0
3823,38,23,131,131,100.0
3824,38,24,57,57,100.0
3825,38,25,44,44,100.0
3826,38,26,62,62,100.0
3827,38,27,47,47,100.0
3828,38,28,67,67,100.0
3829,38,29,45,45,100.0
3830,38,30,47,47,100.0
3831,38,31,59,59,100.0
3832,38,32,63,63,100.0
3833,38,33,68,68,100.0
3834,38,34,97,97,100.0
3835,38,35,46,46,100.0
3836,38,36,44,44,100.0
3837,38,37,46,46,100.0
3838,38,38,44,44,100.0
3839,38,39,81,81,100.0
3840,38,40,54,54,100.0
3901,39,1,51,51,100.0
3902,39,2,90,90,100.0
3903,39,3,54,54,100.0
3904,39,4,50,50,100.0
3905,39,5,43,43,100.0
3906,39,6,43,43,100.0
3907,39,7,55,55,100.0
3908,39,8,60,60,100.0
3909,39,9,66,66,100.0
3910,39,10,21,21,100.0
3911,39,11,66,66,100.0
3912,39,12,54,54,100.0
3913,39,13,47,47,100.0
3914,39,14,38,38,100.0
3915,39,15,65,65,100.0
3916,39,16,35,35,100.0
3917,39,17,55,55,100.0
3918,39,18,45,45,100.0
3919,39,19,63,63,100.0
3920,39,20,74,74,100.0
3921,39,21,45,45,100.0
3922,39,22,29,29,100.0
3923,39,23,55,55,100.0
3924,39,24,66,66,100.0
3925,39,25,44,44,100.0
3926,39,26,54,54,100.0
3927,39,27,28,28,100.0
3928,39,28,42,42,100.0
3929,39,29,50,50,100.0
3930,39,30,58,58,100.0
3932,39,32,68,68,100.0
3933,39,33,42,42,100.0
3934,39,34,78,78,100.0
3935,39,35,50,50,100.0
3936,39,36,37,37,100.0
3937,39,37,90,90,100.0
3938,39,38,37,37,100.0
3939,39,39,16,16,100.0
3940,39,40,47,47,100.0
3941,39,41,55,55,100.0
3942,39,42,82,82,100.0
3943,39,43,64,64,100.0
3944,39,44,45,45,100.0
3945,39,45,69,69,100.0
4001,40,1,38,38,100.0
4002,40,2,49,49,100.0
4003,40,3,47,47,100.0
4005,40,5,75,75,100.0
4006,40,6,51,51,100.0
4007,40,7,77,77,100.0
4008,40,8,40,40,100.0
4010,40,10,22,22,100.0
4011,40,11,95,95,100.0
4012,40,12,30,30,100.0
4013,40,13,42,42,100.0
4014,40,14,49,49,100.0
4015,40,15,56,56,100.0
4016,40,16,51,51,100.0
4017,40,17,62,62,100.0
4019,40,19,83,83,100.0
4020,40,20,61,61,100.0
4021,40,21,48,48,100.0
4023,40,23,78,78,100.0
4024,40,24,50,50,100.0
4025,40,25,42,42,100.0
4029,40,29,95,95,100.0
4030,40,30,95,95,100.0
4031,40,31,12,12,100.0
4032,40,32,51,51,100.0
4034,40,34,64,64,100.0
4038,40,38,49,49,100.0
4103,41,3,56,56,100.0
4106,41,6,80,80,100.0
4109,41,9,60,60,100.0
4111,41,11,18,18,100.0
4112,41,12,72,72,100.0
4114,41,14,58,58,100.0
4116,41,16,79,79,100.0
4117,41,17,80,80,100.0
4119,41,19,65,65,100.0
4121,41,21,73,73,100.0
4122,41,22,73,73,100.0
4123,41,23,54,54,100.0
4124,41,24,55,55,100.0
4126,41,26,64,64,100.0
4127,41,27,50,50,100.0
4130,41,30,60,60,100.0
4132,41,32,50,50,100.0
4133,41,33,43,43,100.0
4135,41,35,77,77,100.0
4138,41,38,56,56,100.0
4139,41,39,69,69,100.0
4145,41,45,19,19,100.0
