ward,precinct,total,William Marovitz,William Marovitz Percent
4004,40,4,30,30,100.0
4009,40,9,70,70,100.0
4010,40,10,32,32,100.0
4018,40,18,36,36,100.0
4022,40,22,42,42,100.0
4025,40,25,13,13,100.0
4026,40,26,52,52,100.0
4027,40,27,86,86,100.0
4028,40,28,69,69,100.0
4031,40,31,38,38,100.0
4033,40,33,44,44,100.0
4035,40,35,49,49,100.0
4036,40,36,37,37,100.0
4037,40,37,58,58,100.0
4039,40,39,10,10,100.0
4101,41,1,50,50,100.0
4102,41,2,80,80,100.0
4104,41,4,70,70,100.0
4105,41,5,61,61,100.0
4107,41,7,50,50,100.0
4108,41,8,51,51,100.0
4110,41,10,61,61,100.0
4111,41,11,41,41,100.0
4113,41,13,45,45,100.0
4115,41,15,75,75,100.0
4117,41,17,5,5,100.0
4118,41,18,39,39,100.0
4120,41,20,72,72,100.0
4123,41,23,7,7,100.0
4125,41,25,29,29,100.0
4128,41,28,51,51,100.0
4129,41,29,29,29,100.0
4131,41,31,94,94,100.0
4133,41,33,8,8,100.0
4134,41,34,55,55,100.0
4136,41,36,51,51,100.0
4137,41,37,55,55,100.0
4140,41,40,55,55,100.0
4141,41,41,39,39,100.0
4142,41,42,55,55,100.0
4143,41,43,59,59,100.0
4144,41,44,64,64,100.0
4145,41,45,30,30,100.0
4403,44,3,74,74,100.0
4404,44,4,86,86,100.0
4407,44,7,38,38,100.0
4424,44,24,62,62,100.0
4435,44,35,87,87,100.0
4601,46,1,65,65,100.0
4602,46,2,51,51,100.0
4604,46,4,57,57,100.0
4605,46,5,0,0,0.0
4606,46,6,29,29,100.0
4607,46,7,122,122,100.0
4608,46,8,38,38,100.0
4609,46,9,39,39,100.0
4611,46,11,57,57,100.0
4612,46,12,37,37,100.0
4613,46,13,42,42,100.0
4614,46,14,83,83,100.0
4615,46,15,42,42,100.0
4616,46,16,35,35,100.0
4617,46,17,70,70,100.0
4618,46,18,56,56,100.0
4620,46,20,77,77,100.0
4621,46,21,25,25,100.0
4622,46,22,47,47,100.0
4623,46,23,43,43,100.0
4624,46,24,41,41,100.0
4625,46,25,39,39,100.0
4626,46,26,38,38,100.0
4627,46,27,52,52,100.0
4629,46,29,60,60,100.0
4632,46,32,75,75,100.0
4634,46,34,50,50,100.0
4635,46,35,63,63,100.0
4637,46,37,62,62,100.0
4638,46,38,8,8,100.0
4640,46,40,66,66,100.0
4715,47,15,53,53,100.0
4719,47,19,57,57,100.0
4723,47,23,56,56,100.0
4730,47,30,15,15,100.0
4801,48,1,39,39,100.0
4802,48,2,22,22,100.0
4803,48,3,74,74,100.0
4804,48,4,88,88,100.0
4805,48,5,84,84,100.0
4806,48,6,63,63,100.0
4807,48,7,44,44,100.0
4808,48,8,36,36,100.0
4809,48,9,52,52,100.0
4810,48,10,65,65,100.0
4811,48,11,53,53,100.0
4812,48,12,71,71,100.0
4813,48,13,90,90,100.0
4814,48,14,65,65,100.0
4815,48,15,46,46,100.0
4816,48,16,70,70,100.0
4817,48,17,71,71,100.0
4818,48,18,94,94,100.0
4819,48,19,34,34,100.0
4820,48,20,69,69,100.0
4821,48,21,102,102,100.0
4822,48,22,111,111,100.0
4823,48,23,89,89,100.0
4824,48,24,53,53,100.0
4825,48,25,60,60,100.0
4826,48,26,31,31,100.0
4827,48,27,38,38,100.0
4828,48,28,101,101,100.0
4829,48,29,98,98,100.0
4830,48,30,66,66,100.0
4831,48,31,71,71,100.0
4832,48,32,51,51,100.0
4833,48,33,84,84,100.0
4834,48,34,44,44,100.0
4835,48,35,73,73,100.0
4836,48,36,70,70,100.0
4837,48,37,45,45,100.0
4838,48,38,61,61,100.0
4839,48,39,64,64,100.0
4840,48,40,47,47,100.0
4841,48,41,47,47,100.0
4842,48,42,63,63,100.0
4843,48,43,74,74,100.0
4844,48,44,51,51,100.0
4845,48,45,42,42,100.0
4846,48,46,73,73,100.0
4901,49,1,65,65,100.0
4902,49,2,55,55,100.0
4903,49,3,90,90,100.0
4904,49,4,83,83,100.0
4905,49,5,121,121,100.0
4906,49,6,69,69,100.0
4907,49,7,62,62,100.0
4908,49,8,62,62,100.0
4909,49,9,82,82,100.0
4910,49,10,65,65,100.0
4911,49,11,98,98,100.0
4912,49,12,116,116,100.0
4913,49,13,83,83,100.0
4914,49,14,91,91,100.0
4915,49,15,51,51,100.0
4916,49,16,104,104,100.0
4917,49,17,124,124,100.0
4918,49,18,99,99,100.0
4919,49,19,66,66,100.0
4920,49,20,80,80,100.0
4921,49,21,63,63,100.0
4922,49,22,113,113,100.0
4923,49,23,68,68,100.0
4924,49,24,56,56,100.0
4925,49,25,93,93,100.0
4926,49,26,93,93,100.0
4927,49,27,71,71,100.0
4928,49,28,71,71,100.0
4929,49,29,96,96,100.0
4930,49,30,99,99,100.0
4931,49,31,78,78,100.0
4932,49,32,84,84,100.0
4933,49,33,66,66,100.0
5001,50,1,50,50,100.0
5002,50,2,39,39,100.0
5003,50,3,51,51,100.0
5004,50,4,69,69,100.0
5005,50,5,39,39,100.0
5006,50,6,81,81,100.0
5007,50,7,81,81,100.0
5008,50,8,50,50,100.0
5009,50,9,62,62,100.0
5010,50,10,37,37,100.0
