ward,precinct,total,Ann M. Williams,Ann M. Williams Percent
0128,1,28,37,37,100.0
0142,1,42,1,1,100.0
0220,2,20,1,1,100.0
0222,2,22,39,39,100.0
0224,2,24,48,48,100.0
0226,2,26,33,33,100.0
3201,32,1,36,36,100.0
3204,32,4,0,0,0.0
3205,32,5,4,4,100.0
3207,32,7,41,41,100.0
3208,32,8,21,21,100.0
3209,32,9,34,34,100.0
3210,32,10,44,44,100.0
3213,32,13,20,20,100.0
3215,32,15,30,30,100.0
3216,32,16,52,52,100.0
3218,32,18,29,29,100.0
3219,32,19,30,30,100.0
3221,32,21,50,50,100.0
3223,32,23,27,27,100.0
3224,32,24,13,13,100.0
3225,32,25,37,37,100.0
3227,32,27,19,19,100.0
3229,32,29,5,5,100.0
3230,32,30,23,23,100.0
3233,32,33,27,27,100.0
3234,32,34,1,1,100.0
3236,32,36,30,30,100.0
3237,32,37,13,13,100.0
3238,32,38,25,25,100.0
3239,32,39,32,32,100.0
3240,32,40,30,30,100.0
3241,32,41,38,38,100.0
3242,32,42,27,27,100.0
3303,33,3,6,6,100.0
3305,33,5,3,3,100.0
3308,33,8,80,80,100.0
3309,33,9,0,0,0.0
3310,33,10,70,70,100.0
3320,33,20,5,5,100.0
3323,33,23,64,64,100.0
3324,33,24,107,107,100.0
4302,43,2,24,24,100.0
4306,43,6,19,19,100.0
4309,43,9,65,65,100.0
4316,43,16,35,35,100.0
4317,43,17,30,30,100.0
4318,43,18,40,40,100.0
4320,43,20,56,56,100.0
4321,43,21,41,41,100.0
4322,43,22,34,34,100.0
4324,43,24,44,44,100.0
4329,43,29,41,41,100.0
4330,43,30,41,41,100.0
4331,43,31,75,75,100.0
4337,43,37,33,33,100.0
4339,43,39,36,36,100.0
4340,43,40,23,23,100.0
4341,43,41,65,65,100.0
4344,43,44,60,60,100.0
4346,43,46,18,18,100.0
4402,44,2,38,38,100.0
4409,44,9,18,18,100.0
4411,44,11,23,23,100.0
4416,44,16,41,41,100.0
4425,44,25,25,25,100.0
4430,44,30,39,39,100.0
4701,47,1,24,24,100.0
4702,47,2,62,62,100.0
4703,47,3,95,95,100.0
4704,47,4,56,56,100.0
4705,47,5,9,9,100.0
4706,47,6,36,36,100.0
4707,47,7,34,34,100.0
4708,47,8,41,41,100.0
4709,47,9,23,23,100.0
4711,47,11,34,34,100.0
4712,47,12,43,43,100.0
4713,47,13,44,44,100.0
4714,47,14,38,38,100.0
4716,47,16,63,63,100.0
4717,47,17,59,59,100.0
4718,47,18,28,28,100.0
4721,47,21,54,54,100.0
4724,47,24,46,46,100.0
4725,47,25,31,31,100.0
4727,47,27,43,43,100.0
4728,47,28,0,0,0.0
4729,47,29,56,56,100.0
4733,47,33,38,38,100.0
4735,47,35,52,52,100.0
4739,47,39,55,55,100.0
4740,47,40,64,64,100.0
4741,47,41,13,13,100.0
4743,47,43,43,43,100.0
4744,47,44,66,66,100.0
4746,47,46,49,49,100.0
4747,47,47,53,53,100.0
4748,47,48,30,30,100.0
