ward,precinct,total,RAYMOND G. WARDINGLEY,RAYMOND G. WARDINGLEY Percent,BOBBY L. RUSH,BOBBY L. RUSH Percent
0202,2,2,466,20,4.29,446,95.71
0206,2,6,202,7,3.47,195,96.53
0212,2,12,354,11,3.11,343,96.89
0213,2,13,442,8,1.81,434,98.19
0214,2,14,343,13,3.79,330,96.21
0216,2,16,227,7,3.08,220,96.92
0218,2,18,450,7,1.56,443,98.44
0220,2,20,343,12,3.5,331,96.5
0221,2,21,313,8,2.56,305,97.44
0224,2,24,306,45,14.71,261,85.29
0229,2,29,253,5,1.98,248,98.02
0231,2,31,327,7,2.14,320,97.86
0233,2,33,411,18,4.38,393,95.62
0244,2,44,318,8,2.52,310,97.48
0245,2,45,131,5,3.82,126,96.18
0246,2,46,500,20,4.0,480,96.0
0247,2,47,187,14,7.49,173,92.51
0248,2,48,373,16,4.29,357,95.71
0302,3,2,387,5,1.29,382,98.71
0303,3,3,200,2,1.0,198,99.0
0306,3,6,162,4,2.47,158,97.53
0309,3,9,286,2,0.7,284,99.3
0323,3,23,183,3,1.64,180,98.36
0324,3,24,313,3,0.96,310,99.04
0325,3,25,111,1,0.9,110,99.1
0327,3,27,95,3,3.16,92,96.84
0328,3,28,274,5,1.82,269,98.18
0333,3,33,277,2,0.72,275,99.28
0334,3,34,105,2,1.9,103,98.1
0336,3,36,144,7,4.86,137,95.14
0338,3,38,308,5,1.62,303,98.38
0339,3,39,326,7,2.15,319,97.85
0341,3,41,198,4,2.02,194,97.98
0342,3,42,176,3,1.7,173,98.3
0344,3,44,235,2,0.85,233,99.15
0345,3,45,145,2,1.38,143,98.62
0401,4,1,347,32,9.22,315,90.78
0402,4,2,127,4,3.15,123,96.85
0403,4,3,457,6,1.31,451,98.69
0404,4,4,378,3,0.79,375,99.21
0405,4,5,317,5,1.58,312,98.42
0406,4,6,30,0,0.0,30,100.0
0407,4,7,237,6,2.53,231,97.47
0409,4,9,536,8,1.49,528,98.51
0410,4,10,614,9,1.47,605,98.53
0411,4,11,375,7,1.87,368,98.13
0412,4,12,321,4,1.25,317,98.75
0413,4,13,535,40,7.48,495,92.52
0414,4,14,314,3,0.96,311,99.04
0415,4,15,142,5,3.52,137,96.48
0416,4,16,429,7,1.63,422,98.37
0417,4,17,558,88,15.77,470,84.23
0418,4,18,332,6,1.81,326,98.19
0419,4,19,136,0,0.0,136,100.0
0420,4,20,189,2,1.06,187,98.94
0421,4,21,363,19,5.23,344,94.77
0422,4,22,453,26,5.74,427,94.26
0423,4,23,292,32,10.96,260,89.04
0424,4,24,412,21,5.1,391,94.9
0425,4,25,349,17,4.87,332,95.13
0426,4,26,306,5,1.63,301,98.37
0427,4,27,377,10,2.65,367,97.35
0428,4,28,392,48,12.24,344,87.76
0429,4,29,322,35,10.87,287,89.13
0430,4,30,159,3,1.89,156,98.11
0431,4,31,136,0,0.0,136,100.0
0432,4,32,463,59,12.74,404,87.26
0433,4,33,140,4,2.86,136,97.14
0434,4,34,318,39,12.26,279,87.74
0435,4,35,272,12,4.41,260,95.59
0436,4,36,352,4,1.14,348,98.86
0437,4,37,242,6,2.48,236,97.52
0438,4,38,526,40,7.6,486,92.4
0439,4,39,173,1,0.58,172,99.42
0440,4,40,385,13,3.38,372,96.62
0441,4,41,360,42,11.67,318,88.33
0442,4,42,336,6,1.79,330,98.21
0443,4,43,282,20,7.09,262,92.91
0444,4,44,280,30,10.71,250,89.29
0445,4,45,499,31,6.21,468,93.79
0446,4,46,337,7,2.08,330,97.92
