ward,precinct,total,NANCY F. MYNARD,NANCY F. MYNARD Percent,DOROTHY A. BROWN,DOROTHY A. BROWN Percent
0101,1,1,291,62,21.31,229,78.69
0102,1,2,576,115,19.97,461,80.03
0103,1,3,332,54,16.27,278,83.73
0104,1,4,321,55,17.13,266,82.87
0105,1,5,402,74,18.41,328,81.59
0106,1,6,253,60,23.72,193,76.28
0107,1,7,423,118,27.9,305,72.1
0108,1,8,224,42,18.75,182,81.25
0109,1,9,395,85,21.52,310,78.48
0110,1,10,450,100,22.22,350,77.78
0111,1,11,290,50,17.24,240,82.76
0112,1,12,411,74,18.0,337,82.0
0113,1,13,189,17,8.99,172,91.01
0114,1,14,271,27,9.96,244,90.04
0115,1,15,301,22,7.31,279,92.69
0116,1,16,277,19,6.86,258,93.14
0117,1,17,395,61,15.44,334,84.56
0118,1,18,274,14,5.11,260,94.89
0119,1,19,273,21,7.69,252,92.31
0120,1,20,230,19,8.26,211,91.74
0121,1,21,511,134,26.22,377,73.78
0122,1,22,256,18,7.03,238,92.97
0123,1,23,471,80,16.99,391,83.01
0124,1,24,291,40,13.75,251,86.25
0125,1,25,513,86,16.76,427,83.24
0126,1,26,596,110,18.46,486,81.54
0127,1,27,323,33,10.22,290,89.78
0128,1,28,70,3,4.29,67,95.71
0129,1,29,451,77,17.07,374,82.93
0130,1,30,276,33,11.96,243,88.04
0131,1,31,122,2,1.64,120,98.36
0132,1,32,273,19,6.96,254,93.04
0133,1,33,352,52,14.77,300,85.23
0134,1,34,75,20,26.67,55,73.33
0135,1,35,80,23,28.75,57,71.25
0136,1,36,286,72,25.17,214,74.83
0201,2,1,539,166,30.8,373,69.2
0202,2,2,465,8,1.72,457,98.28
0203,2,3,316,12,3.8,304,96.2
0204,2,4,145,0,0.0,145,100.0
0205,2,5,255,2,0.78,253,99.22
0206,2,6,221,4,1.81,217,98.19
0207,2,7,425,6,1.41,419,98.59
0208,2,8,390,67,17.18,323,82.82
0209,2,9,210,6,2.86,204,97.14
0210,2,10,228,2,0.88,226,99.12
0211,2,11,598,106,17.73,492,82.27
