ward,precinct,total,MICHAEL A. DEROSS,MICHAEL A. DEROSS Percent,ROBERT S. MOLARO,ROBERT S. MOLARO Percent
0304,3,4,199,4,2.01,195,97.99
0310,3,10,385,14,3.64,371,96.36
0312,3,12,276,16,5.8,260,94.2
0313,3,13,103,3,2.91,100,97.09
0321,3,21,171,4,2.34,167,97.66
0336,3,36,149,6,4.03,143,95.97
0342,3,42,175,4,2.29,171,97.71
0344,3,44,223,4,1.79,219,98.21
0346,3,46,38,3,7.89,35,92.11
0348,3,48,218,3,1.38,215,98.62
0349,3,49,243,5,2.06,238,97.94
0350,3,50,263,9,3.42,254,96.58
0351,3,51,3,1,33.33,2,66.67
0352,3,52,340,10,2.94,330,97.06
0436,4,36,347,10,2.88,337,97.12
0442,4,42,326,7,2.15,319,97.85
0513,5,13,352,13,3.69,339,96.31
0516,5,16,321,11,3.43,310,96.57
1122,11,22,200,30,15.0,170,85.0
1128,11,28,70,4,5.71,66,94.29
1136,11,36,195,38,19.49,157,80.51
1149,11,49,225,25,11.11,200,88.89
1209,12,9,0,0,0.0,0,0.0
1210,12,10,151,22,14.57,129,85.43
1217,12,17,103,17,16.5,86,83.5
1224,12,24,63,13,20.63,50,79.37
1227,12,27,133,41,30.83,92,69.17
1402,14,2,256,47,18.36,209,81.64
1403,14,3,353,38,10.76,315,89.24
1404,14,4,239,44,18.41,195,81.59
1405,14,5,333,29,8.71,304,91.29
1408,14,8,33,7,21.21,26,78.79
1409,14,9,269,30,11.15,239,88.85
1411,14,11,261,28,10.73,233,89.27
1413,14,13,295,61,20.68,234,79.32
1414,14,14,212,27,12.74,185,87.26
1416,14,16,274,48,17.52,226,82.48
1418,14,18,185,26,14.05,159,85.95
1419,14,19,310,28,9.03,282,90.97
1423,14,23,210,31,14.76,179,85.24
1424,14,24,269,40,14.87,229,85.13
1428,14,28,225,37,16.44,188,83.56
1429,14,29,295,38,12.88,257,87.12
1430,14,30,283,45,15.9,238,84.1
1431,14,31,241,19,7.88,222,92.12
1432,14,32,322,36,11.18,286,88.82
1433,14,33,212,16,7.55,196,92.45
1434,14,34,250,25,10.0,225,90.0
1435,14,35,147,27,18.37,120,81.63
1436,14,36,288,51,17.71,237,82.29
1437,14,37,261,33,12.64,228,87.36
1439,14,39,279,68,24.37,211,75.63
1440,14,40,224,30,13.39,194,86.61
1441,14,41,217,40,18.43,177,81.57
1442,14,42,235,29,12.34,206,87.66
1443,14,43,260,42,16.15,218,83.85
1446,14,46,316,26,8.23,290,91.77
1447,14,47,329,22,6.69,307,93.31
1502,15,2,343,17,4.96,326,95.04
1504,15,4,405,9,2.22,396,97.78
1505,15,5,332,14,4.22,318,95.78
1517,15,17,320,18,5.63,302,94.38
1518,15,18,339,7,2.06,332,97.94
1520,15,20,280,6,2.14,274,97.86
1522,15,22,503,36,7.16,467,92.84
1523,15,23,234,4,1.71,230,98.29
