ward,precinct,total,ANNAZETTE R. COLLINS,ANNAZETTE R. COLLINS Percent
0128,1,28,0,0,0.0
2404,24,4,279,279,100.0
2417,24,17,291,291,100.0
2418,24,18,200,200,100.0
2420,24,20,310,310,100.0
2432,24,32,311,311,100.0
2433,24,33,209,209,100.0
2439,24,39,350,350,100.0
2442,24,42,260,260,100.0
2450,24,50,378,378,100.0
2452,24,52,331,331,100.0
2602,26,2,230,230,100.0
2702,27,2,106,106,100.0
2703,27,3,294,294,100.0
2715,27,15,197,197,100.0
2719,27,19,286,286,100.0
2722,27,22,230,230,100.0
2724,27,24,308,308,100.0
2725,27,25,199,199,100.0
2729,27,29,227,227,100.0
2731,27,31,237,237,100.0
2734,27,34,238,238,100.0
2740,27,40,229,229,100.0
2744,27,44,331,331,100.0
2745,27,45,346,346,100.0
2746,27,46,268,268,100.0
2747,27,47,125,125,100.0
2748,27,48,356,356,100.0
2806,28,6,403,403,100.0
2807,28,7,390,390,100.0
2809,28,9,344,344,100.0
2811,28,11,251,251,100.0
2813,28,13,300,300,100.0
2816,28,16,238,238,100.0
2818,28,18,366,366,100.0
2822,28,22,276,276,100.0
2823,28,23,338,338,100.0
2824,28,24,174,174,100.0
2825,28,25,219,219,100.0
2826,28,26,277,277,100.0
2828,28,28,265,265,100.0
2830,28,30,211,211,100.0
2831,28,31,270,270,100.0
2837,28,37,238,238,100.0
2838,28,38,265,265,100.0
2841,28,41,163,163,100.0
2843,28,43,200,200,100.0
2846,28,46,216,216,100.0
2855,28,55,176,176,100.0
2856,28,56,274,274,100.0
2857,28,57,274,274,100.0
2859,28,59,220,220,100.0
2902,29,2,142,142,100.0
2904,29,4,0,0,0.0
2906,29,6,122,122,100.0
2907,29,7,205,205,100.0
2917,29,17,193,193,100.0
2924,29,24,450,450,100.0
2925,29,25,519,519,100.0
2930,29,30,275,275,100.0
2932,29,32,317,317,100.0
2936,29,36,361,361,100.0
2939,29,39,191,191,100.0
2949,29,49,436,436,100.0
2952,29,52,243,243,100.0
3020,30,20,27,27,100.0
3041,30,41,104,104,100.0
3108,31,8,79,79,100.0
3626,36,26,497,497,100.0
3643,36,43,378,378,100.0
3702,37,2,20,20,100.0
3703,37,3,188,188,100.0
3706,37,6,481,481,100.0
3708,37,8,395,395,100.0
3710,37,10,467,467,100.0
3713,37,13,393,393,100.0
3714,37,14,348,348,100.0
3716,37,16,485,485,100.0
3717,37,17,292,292,100.0
3719,37,19,285,285,100.0
3728,37,28,319,319,100.0
3730,37,30,338,338,100.0
3731,37,31,444,444,100.0
3734,37,34,416,416,100.0
3735,37,35,53,53,100.0
3738,37,38,382,382,100.0
3740,37,40,312,312,100.0
3741,37,41,385,385,100.0
3743,37,43,439,439,100.0
3744,37,44,374,374,100.0
3747,37,47,62,62,100.0
3749,37,49,285,285,100.0
