ward,precinct,total,RALPH C. CAPPARELLI,RALPH C. CAPPARELLI Percent
3923,39,23,137,137,100.0
3928,39,28,148,148,100.0
3938,39,38,2,2,100.0
4101,41,1,268,268,100.0
4103,41,3,313,313,100.0
4109,41,9,295,295,100.0
4110,41,10,312,312,100.0
4111,41,11,284,284,100.0
4112,41,12,345,345,100.0
4114,41,14,252,252,100.0
4116,41,16,319,319,100.0
4117,41,17,314,314,100.0
4119,41,19,411,411,100.0
4121,41,21,238,238,100.0
4122,41,22,275,275,100.0
4123,41,23,318,318,100.0
4124,41,24,285,285,100.0
4130,41,30,301,301,100.0
4135,41,35,307,307,100.0
4140,41,40,261,261,100.0
4143,41,43,253,253,100.0
4146,41,46,275,275,100.0
4147,41,47,291,291,100.0
4149,41,49,255,255,100.0
4150,41,50,307,307,100.0
4151,41,51,206,206,100.0
4152,41,52,306,306,100.0
4154,41,54,258,258,100.0
4157,41,57,302,302,100.0
4159,41,59,261,261,100.0
4162,41,62,315,315,100.0
4163,41,63,284,284,100.0
4164,41,64,314,314,100.0
4165,41,65,256,256,100.0
4166,41,66,300,300,100.0
4501,45,1,193,193,100.0
4502,45,2,295,295,100.0
4504,45,4,280,280,100.0
4505,45,5,176,176,100.0
4521,45,21,0,0,0.0
4522,45,22,258,258,100.0
4523,45,23,249,249,100.0
4533,45,33,361,361,100.0
4558,45,58,185,185,100.0
