ward,precinct,total,JOSEPH ANTHONY HORNOWSKI,JOSEPH ANTHONY HORNOWSKI Percent,RICHARD T. BRADLEY,RICHARD T. BRADLEY Percent
3001,30,1,390,88,22.56,302,77.44
3002,30,2,328,93,28.35,235,71.65
3003,30,3,438,90,20.55,348,79.45
3004,30,4,459,96,20.92,363,79.08
3006,30,6,286,53,18.53,233,81.47
3007,30,7,287,63,21.95,224,78.05
3008,30,8,301,66,21.93,235,78.07
3012,30,12,408,108,26.47,300,73.53
3013,30,13,236,52,22.03,184,77.97
3014,30,14,255,52,20.39,203,79.61
3015,30,15,388,107,27.58,281,72.42
3016,30,16,240,78,32.5,162,67.5
3022,30,22,278,72,25.9,206,74.1
3023,30,23,157,34,21.66,123,78.34
3024,30,24,188,45,23.94,143,76.06
3025,30,25,321,79,24.61,242,75.39
3028,30,28,369,80,21.68,289,78.32
3029,30,29,322,59,18.32,263,81.68
3030,30,30,313,59,18.85,254,81.15
3032,30,32,343,88,25.66,255,74.34
3036,30,36,258,70,27.13,188,72.87
3038,30,38,298,54,18.12,244,81.88
3039,30,39,279,58,20.79,221,79.21
3040,30,40,280,66,23.57,214,76.43
3044,30,44,387,98,25.32,289,74.68
3105,31,5,208,42,20.19,166,79.81
3106,31,6,81,17,20.99,64,79.01
3118,31,18,72,12,16.67,60,83.33
3130,31,30,212,45,21.23,167,78.77
3131,31,31,281,57,20.28,224,79.72
3132,31,32,165,35,21.21,130,78.79
3133,31,33,139,33,23.74,106,76.26
3305,33,5,227,45,19.82,182,80.18
3310,33,10,445,80,17.98,365,82.02
3312,33,12,439,64,14.58,375,85.42
3315,33,15,100,7,7.0,93,93.0
3316,33,16,412,118,28.64,294,71.36
3317,33,17,376,56,14.89,320,85.11
3319,33,19,275,58,21.09,217,78.91
3329,33,29,400,59,14.75,341,85.25
3330,33,30,319,69,21.63,250,78.37
3331,33,31,365,56,15.34,309,84.66
3334,33,34,389,48,12.34,341,87.66
3337,33,37,338,63,18.64,275,81.36
3504,35,4,174,30,17.24,144,82.76
3506,35,6,280,73,26.07,207,73.93
3508,35,8,108,21,19.44,87,80.56
3511,35,11,208,42,20.19,166,79.81
3804,38,4,137,37,27.01,100,72.99
3805,38,5,465,111,23.87,354,76.13
3809,38,9,371,101,27.22,270,72.78
3813,38,13,269,57,21.19,212,78.81
3820,38,20,338,82,24.26,256,75.74
3824,38,24,192,41,21.35,151,78.65
3825,38,25,283,65,22.97,218,77.03
3831,38,31,308,58,18.83,250,81.17
3834,38,34,285,75,26.32,210,73.68
3839,38,39,296,69,23.31,227,76.69
3913,39,13,143,13,9.09,130,90.91
3919,39,19,260,62,23.85,198,76.15
3921,39,21,216,51,23.61,165,76.39
3924,39,24,295,47,15.93,248,84.07
3925,39,25,178,36,20.22,142,79.78
3929,39,29,207,43,20.77,164,79.23
3930,39,30,328,65,19.82,263,80.18
3931,39,31,234,42,17.95,192,82.05
3946,39,46,313,62,19.81,251,80.19
4507,45,7,244,73,29.92,171,70.08
4510,45,10,445,115,25.84,330,74.16
4512,45,12,392,102,26.02,290,73.98
4514,45,14,412,93,22.57,319,77.43
4516,45,16,374,81,21.66,293,78.34
4518,45,18,330,84,25.45,246,74.55
4525,45,25,285,76,26.67,209,73.33
4526,45,26,331,79,23.87,252,76.13
4528,45,28,408,78,19.12,330,80.88
4531,45,31,299,74,24.75,225,75.25
4540,45,40,335,80,23.88,255,76.12
4548,45,48,356,97,27.25,259,72.75
4556,45,56,346,114,32.95,232,67.05
