ward,precinct,total,CHARLES G. MORROW III,CHARLES G. MORROW III Percent
0502,5,2,331,331,100.0
0515,5,15,267,267,100.0
0520,5,20,261,261,100.0
0523,5,23,259,259,100.0
0545,5,45,193,193,100.0
0550,5,50,122,122,100.0
0551,5,51,262,262,100.0
0552,5,52,195,195,100.0
0604,6,4,247,247,100.0
0605,6,5,270,270,100.0
0606,6,6,330,330,100.0
0607,6,7,313,313,100.0
0611,6,11,328,328,100.0
0612,6,12,351,351,100.0
0614,6,14,397,397,100.0
0615,6,15,313,313,100.0
0618,6,18,146,146,100.0
0619,6,19,340,340,100.0
0630,6,30,396,396,100.0
0632,6,32,403,403,100.0
0633,6,33,355,355,100.0
0636,6,36,227,227,100.0
0638,6,38,438,438,100.0
0639,6,39,220,220,100.0
0640,6,40,253,253,100.0
0642,6,42,270,270,100.0
0643,6,43,389,389,100.0
0648,6,48,360,360,100.0
0649,6,49,367,367,100.0
0655,6,55,270,270,100.0
0656,6,56,270,270,100.0
0661,6,61,272,272,100.0
1311,13,11,211,211,100.0
1330,13,30,0,0,0.0
1331,13,31,0,0,0.0
1344,13,44,188,188,100.0
1401,14,1,161,161,100.0
1410,14,10,113,113,100.0
1415,14,15,152,152,100.0
1417,14,17,213,213,100.0
1420,14,20,266,266,100.0
1421,14,21,333,333,100.0
1425,14,25,227,227,100.0
1427,14,27,242,242,100.0
1438,14,38,183,183,100.0
1444,14,44,62,62,100.0
1445,14,45,189,189,100.0
1448,14,48,215,215,100.0
1501,15,1,302,302,100.0
1506,15,6,261,261,100.0
1507,15,7,303,303,100.0
1508,15,8,283,283,100.0
1509,15,9,286,286,100.0
1511,15,11,309,309,100.0
1515,15,15,303,303,100.0
1519,15,19,304,304,100.0
1521,15,21,366,366,100.0
1524,15,24,397,397,100.0
1530,15,30,289,289,100.0
1531,15,31,316,316,100.0
1533,15,33,319,319,100.0
1538,15,38,256,256,100.0
1539,15,39,286,286,100.0
1542,15,42,250,250,100.0
1544,15,44,237,237,100.0
1546,15,46,265,265,100.0
1547,15,47,303,303,100.0
1548,15,48,244,244,100.0
1701,17,1,194,194,100.0
1703,17,3,320,320,100.0
1706,17,6,256,256,100.0
1708,17,8,214,214,100.0
1709,17,9,242,242,100.0
1711,17,11,42,42,100.0
1716,17,16,351,351,100.0
1717,17,17,295,295,100.0
1720,17,20,329,329,100.0
1723,17,23,238,238,100.0
1728,17,28,232,232,100.0
1730,17,30,0,0,0.0
1733,17,33,329,329,100.0
1734,17,34,292,292,100.0
1735,17,35,197,197,100.0
1736,17,36,217,217,100.0
1737,17,37,302,302,100.0
1739,17,39,281,281,100.0
1740,17,40,7,7,100.0
1741,17,41,275,275,100.0
1744,17,44,304,304,100.0
1745,17,45,213,213,100.0
1747,17,47,213,213,100.0
1748,17,48,263,263,100.0
1749,17,49,288,288,100.0
1750,17,50,331,331,100.0
2040,20,40,223,223,100.0
2043,20,43,412,412,100.0
2051,20,51,208,208,100.0
