ward,precinct,total,DOROTHY J. TILLMAN,DOROTHY J. TILLMAN Percent
0301,3,1,163,163,100.0
0302,3,2,211,211,100.0
0303,3,3,40,40,100.0
0304,3,4,65,65,100.0
0305,3,5,59,59,100.0
0306,3,6,38,38,100.0
0307,3,7,16,16,100.0
0308,3,8,66,66,100.0
0309,3,9,115,115,100.0
0310,3,10,152,152,100.0
0311,3,11,76,76,100.0
0312,3,12,107,107,100.0
0313,3,13,25,25,100.0
0314,3,14,81,81,100.0
0315,3,15,111,111,100.0
0316,3,16,165,165,100.0
0317,3,17,93,93,100.0
0318,3,18,90,90,100.0
0319,3,19,49,49,100.0
0320,3,20,37,37,100.0
0321,3,21,74,74,100.0
0322,3,22,92,92,100.0
0323,3,23,34,34,100.0
0324,3,24,154,154,100.0
0325,3,25,24,24,100.0
0326,3,26,68,68,100.0
0327,3,27,25,25,100.0
0328,3,28,136,136,100.0
0329,3,29,14,14,100.0
0330,3,30,135,135,100.0
0331,3,31,135,135,100.0
0332,3,32,143,143,100.0
0333,3,33,99,99,100.0
0334,3,34,27,27,100.0
0335,3,35,103,103,100.0
0336,3,36,38,38,100.0
0337,3,37,112,112,100.0
0338,3,38,193,193,100.0
0339,3,39,276,276,100.0
0340,3,40,122,122,100.0
0341,3,41,87,87,100.0
0342,3,42,46,46,100.0
0343,3,43,22,22,100.0
0344,3,44,87,87,100.0
0345,3,45,34,34,100.0
0346,3,46,14,14,100.0
0347,3,47,70,70,100.0
0348,3,48,99,99,100.0
0349,3,49,78,78,100.0
0350,3,50,115,115,100.0
0351,3,51,54,54,100.0
0352,3,52,127,127,100.0
