ward,precinct,total,DANNY K. DAVIS,DANNY K. DAVIS Percent
0106,1,6,54,54,100.0
0128,1,28,23,23,100.0
0134,1,34,14,14,100.0
0135,1,35,27,27,100.0
0201,2,1,96,96,100.0
0203,2,3,89,89,100.0
0204,2,4,29,29,100.0
0205,2,5,52,52,100.0
0207,2,7,191,191,100.0
0208,2,8,164,164,100.0
0209,2,9,73,73,100.0
0210,2,10,75,75,100.0
0211,2,11,249,249,100.0
0215,2,15,43,43,100.0
0217,2,17,110,110,100.0
0219,2,19,56,56,100.0
0222,2,22,201,201,100.0
0223,2,23,110,110,100.0
0225,2,25,40,40,100.0
0226,2,26,107,107,100.0
0227,2,27,32,32,100.0
0228,2,28,153,153,100.0
0230,2,30,99,99,100.0
0232,2,32,113,113,100.0
0234,2,34,172,172,100.0
0235,2,35,24,24,100.0
0236,2,36,96,96,100.0
0237,2,37,90,90,100.0
0238,2,38,139,139,100.0
0239,2,39,125,125,100.0
0240,2,40,127,127,100.0
0241,2,41,59,59,100.0
0242,2,42,38,38,100.0
0243,2,43,167,167,100.0
0249,2,49,48,48,100.0
0251,2,51,107,107,100.0
0252,2,52,110,110,100.0
0253,2,53,73,73,100.0
0254,2,54,145,145,100.0
0301,3,1,177,177,100.0
0304,3,4,54,54,100.0
0305,3,5,43,43,100.0
0307,3,7,21,21,100.0
0308,3,8,57,57,100.0
0310,3,10,144,144,100.0
0311,3,11,77,77,100.0
0312,3,12,102,102,100.0
0313,3,13,21,21,100.0
0314,3,14,81,81,100.0
0315,3,15,103,103,100.0
0316,3,16,185,185,100.0
0317,3,17,97,97,100.0
0318,3,18,91,91,100.0
0319,3,19,39,39,100.0
0320,3,20,35,35,100.0
0321,3,21,70,70,100.0
0322,3,22,104,104,100.0
0326,3,26,84,84,100.0
0329,3,29,13,13,100.0
0330,3,30,137,137,100.0
0331,3,31,134,134,100.0
0332,3,32,155,155,100.0
0335,3,35,108,108,100.0
0337,3,37,103,103,100.0
0340,3,40,120,120,100.0
0343,3,43,25,25,100.0
0346,3,46,14,14,100.0
0347,3,47,92,92,100.0
0348,3,48,104,104,100.0
0349,3,49,84,84,100.0
0350,3,50,105,105,100.0
0352,3,52,133,133,100.0
0408,4,8,240,240,100.0
1112,11,12,5,5,100.0
1113,11,13,77,77,100.0
1134,11,34,68,68,100.0
1135,11,35,7,7,100.0
1137,11,37,18,18,100.0
1138,11,38,114,114,100.0
1139,11,39,130,130,100.0
1140,11,40,85,85,100.0
1141,11,41,70,70,100.0
1142,11,42,47,47,100.0
1143,11,43,91,91,100.0
1145,11,45,73,73,100.0
1146,11,46,58,58,100.0
1147,11,47,83,83,100.0
1148,11,48,56,56,100.0
1149,11,49,58,58,100.0
1150,11,50,35,35,100.0
1152,11,52,82,82,100.0
1153,11,53,63,63,100.0
1154,11,54,0,0,0.0
1219,12,19,0,0,0.0
1616,16,16,45,45,100.0
1617,16,17,32,32,100.0
1618,16,18,62,62,100.0
2004,20,4,109,109,100.0
2008,20,8,101,101,100.0
2015,20,15,118,118,100.0
2021,20,21,91,91,100.0
2027,20,27,56,56,100.0
2031,20,31,77,77,100.0
2048,20,48,73,73,100.0
2207,22,7,152,152,100.0
2208,22,8,179,179,100.0
2212,22,12,139,139,100.0
2220,22,20,119,119,100.0
2221,22,21,207,207,100.0
2228,22,28,182,182,100.0
2401,24,1,130,130,100.0
2402,24,2,123,123,100.0
2403,24,3,107,107,100.0
2404,24,4,114,114,100.0
2405,24,5,115,115,100.0
2406,24,6,167,167,100.0
2407,24,7,129,129,100.0
2408,24,8,140,140,100.0
2409,24,9,153,153,100.0
2410,24,10,141,141,100.0
2411,24,11,75,75,100.0
2412,24,12,90,90,100.0
2413,24,13,100,100,100.0
2414,24,14,125,125,100.0
2415,24,15,115,115,100.0
2416,24,16,105,105,100.0
2417,24,17,133,133,100.0
2418,24,18,86,86,100.0
2419,24,19,95,95,100.0
2420,24,20,119,119,100.0
2421,24,21,95,95,100.0
2422,24,22,143,143,100.0
2423,24,23,112,112,100.0
2424,24,24,85,85,100.0
2425,24,25,116,116,100.0
2426,24,26,147,147,100.0
2427,24,27,79,79,100.0
2428,24,28,124,124,100.0
2429,24,29,127,127,100.0
2430,24,30,119,119,100.0
2431,24,31,123,123,100.0
2432,24,32,135,135,100.0
2433,24,33,100,100,100.0
2434,24,34,111,111,100.0
2435,24,35,146,146,100.0
2436,24,36,130,130,100.0
2437,24,37,160,160,100.0
2438,24,38,139,139,100.0
2439,24,39,117,117,100.0
2440,24,40,213,213,100.0
2441,24,41,128,128,100.0
2442,24,42,121,121,100.0
2443,24,43,129,129,100.0
2444,24,44,49,49,100.0
2445,24,45,134,134,100.0
2446,24,46,146,146,100.0
2447,24,47,120,120,100.0
2448,24,48,25,25,100.0
2449,24,49,121,121,100.0
2450,24,50,152,152,100.0
2451,24,51,165,165,100.0
2452,24,52,139,139,100.0
2453,24,53,16,16,100.0
2503,25,3,43,43,100.0
2504,25,4,5,5,100.0
2506,25,6,0,0,0.0
2510,25,10,50,50,100.0
2514,25,14,97,97,100.0
2516,25,16,66,66,100.0
2518,25,18,45,45,100.0
2521,25,21,61,61,100.0
2701,27,1,132,132,100.0
2702,27,2,78,78,100.0
2703,27,3,114,114,100.0
2704,27,4,54,54,100.0
2705,27,5,64,64,100.0
2706,27,6,54,54,100.0
2707,27,7,119,119,100.0
2708,27,8,58,58,100.0
2709,27,9,133,133,100.0
2711,27,11,59,59,100.0
2712,27,12,42,42,100.0
2713,27,13,189,189,100.0
2714,27,14,59,59,100.0
2715,27,15,87,87,100.0
2716,27,16,47,47,100.0
2717,27,17,137,137,100.0
2718,27,18,29,29,100.0
2719,27,19,94,94,100.0
2720,27,20,134,134,100.0
2721,27,21,44,44,100.0
2722,27,22,122,122,100.0
2723,27,23,32,32,100.0
2724,27,24,84,84,100.0
2725,27,25,75,75,100.0
2726,27,26,183,183,100.0
2727,27,27,64,64,100.0
2728,27,28,112,112,100.0
2729,27,29,93,93,100.0
2730,27,30,29,29,100.0
2731,27,31,110,110,100.0
2733,27,33,120,120,100.0
2734,27,34,116,116,100.0
2735,27,35,6,6,100.0
2736,27,36,131,131,100.0
2737,27,37,89,89,100.0
2738,27,38,82,82,100.0
2739,27,39,54,54,100.0
2740,27,40,80,80,100.0
2741,27,41,46,46,100.0
2742,27,42,51,51,100.0
2743,27,43,54,54,100.0
2744,27,44,163,163,100.0
2745,27,45,148,148,100.0
2746,27,46,77,77,100.0
2747,27,47,80,80,100.0
2748,27,48,144,144,100.0
2749,27,49,82,82,100.0
2750,27,50,64,64,100.0
2751,27,51,59,59,100.0
2752,27,52,23,23,100.0
2753,27,53,116,116,100.0
2754,27,54,24,24,100.0
2755,27,55,0,0,0.0
2801,28,1,122,122,100.0
2802,28,2,77,77,100.0
2803,28,3,121,121,100.0
2804,28,4,174,174,100.0
2805,28,5,122,122,100.0
2806,28,6,145,145,100.0
2807,28,7,167,167,100.0
2808,28,8,59,59,100.0
2809,28,9,132,132,100.0
2810,28,10,135,135,100.0
2811,28,11,109,109,100.0
2812,28,12,104,104,100.0
2813,28,13,93,93,100.0
2815,28,15,59,59,100.0
2816,28,16,102,102,100.0
2817,28,17,74,74,100.0
2818,28,18,174,174,100.0
2819,28,19,126,126,100.0
2820,28,20,138,138,100.0
2821,28,21,89,89,100.0
2822,28,22,99,99,100.0
2823,28,23,156,156,100.0
2824,28,24,56,56,100.0
2825,28,25,127,127,100.0
2826,28,26,142,142,100.0
2827,28,27,71,71,100.0
