ward,precinct,total,JAN SCHAKOWSKY,JAN SCHAKOWSKY Percent
3901,39,1,71,71,100.0
3903,39,3,109,109,100.0
3915,39,15,57,57,100.0
3920,39,20,73,73,100.0
3923,39,23,55,55,100.0
3926,39,26,125,125,100.0
3928,39,28,53,53,100.0
3932,39,32,305,305,100.0
3934,39,34,66,66,100.0
3936,39,36,278,278,100.0
3937,39,37,109,109,100.0
3938,39,38,155,155,100.0
3940,39,40,59,59,100.0
3942,39,42,81,81,100.0
3947,39,47,56,56,100.0
4003,40,3,81,81,100.0
4004,40,4,141,141,100.0
4007,40,7,71,71,100.0
4008,40,8,165,165,100.0
4009,40,9,50,50,100.0
4011,40,11,81,81,100.0
4012,40,12,87,87,100.0
4013,40,13,87,87,100.0
4015,40,15,88,88,100.0
4016,40,16,202,202,100.0
4018,40,18,80,80,100.0
4022,40,22,60,60,100.0
4026,40,26,101,101,100.0
4027,40,27,161,161,100.0
4028,40,28,67,67,100.0
4033,40,33,81,81,100.0
4035,40,35,102,102,100.0
4037,40,37,88,88,100.0
4039,40,39,82,82,100.0
4041,40,41,128,128,100.0
4042,40,42,119,119,100.0
4043,40,43,94,94,100.0
4045,40,45,133,133,100.0
4046,40,46,103,103,100.0
4047,40,47,95,95,100.0
4101,41,1,83,83,100.0
4102,41,2,120,120,100.0
4103,41,3,107,107,100.0
4104,41,4,89,89,100.0
4105,41,5,93,93,100.0
4106,41,6,73,73,100.0
4107,41,7,138,138,100.0
4108,41,8,87,87,100.0
4109,41,9,69,69,100.0
4110,41,10,99,99,100.0
4111,41,11,76,76,100.0
4112,41,12,99,99,100.0
4114,41,14,119,119,100.0
4115,41,15,58,58,100.0
4116,41,16,89,89,100.0
4117,41,17,88,88,100.0
4118,41,18,90,90,100.0
4119,41,19,115,115,100.0
4120,41,20,121,121,100.0
4121,41,21,69,69,100.0
4122,41,22,85,85,100.0
4123,41,23,82,82,100.0
4124,41,24,87,87,100.0
4130,41,30,74,74,100.0
4131,41,31,95,95,100.0
4134,41,34,67,67,100.0
4135,41,35,77,77,100.0
4136,41,36,82,82,100.0
4137,41,37,92,92,100.0
4139,41,39,89,89,100.0
4140,41,40,80,80,100.0
4141,41,41,94,94,100.0
4142,41,42,88,88,100.0
4143,41,43,73,73,100.0
4144,41,44,83,83,100.0
4145,41,45,74,74,100.0
4146,41,46,71,71,100.0
4147,41,47,108,108,100.0
4149,41,49,86,86,100.0
4150,41,50,96,96,100.0
4151,41,51,50,50,100.0
4152,41,52,104,104,100.0
4153,41,53,74,74,100.0
4154,41,54,81,81,100.0
4156,41,56,101,101,100.0
4157,41,57,94,94,100.0
4158,41,58,52,52,100.0
4159,41,59,83,83,100.0
4160,41,60,62,62,100.0
4161,41,61,114,114,100.0
4162,41,62,83,83,100.0
4163,41,63,75,75,100.0
4164,41,64,103,103,100.0
4165,41,65,72,72,100.0
4166,41,66,101,101,100.0
4401,44,1,108,108,100.0
4402,44,2,63,63,100.0
4403,44,3,117,117,100.0
4404,44,4,164,164,100.0
4405,44,5,75,75,100.0
4406,44,6,56,56,100.0
4407,44,7,108,108,100.0
4408,44,8,113,113,100.0
4410,44,10,131,131,100.0
4412,44,12,63,63,100.0
4415,44,15,75,75,100.0
4417,44,17,87,87,100.0
4418,44,18,30,30,100.0
4419,44,19,52,52,100.0
4421,44,21,65,65,100.0
4422,44,22,63,63,100.0
4423,44,23,68,68,100.0
4424,44,24,63,63,100.0
4426,44,26,69,69,100.0
4428,44,28,59,59,100.0
4430,44,30,64,64,100.0
4431,44,31,80,80,100.0
4432,44,32,43,43,100.0
4433,44,33,100,100,100.0
4434,44,34,58,58,100.0
4435,44,35,94,94,100.0
4436,44,36,74,74,100.0
4437,44,37,119,119,100.0
4441,44,41,93,93,100.0
4442,44,42,81,81,100.0
4444,44,44,130,130,100.0
4445,44,45,75,75,100.0
4446,44,46,57,57,100.0
4448,44,48,71,71,100.0
4449,44,49,72,72,100.0
4501,45,1,73,73,100.0
4502,45,2,100,100,100.0
4503,45,3,217,217,100.0
4504,45,4,99,99,100.0
4505,45,5,63,63,100.0
4506,45,6,97,97,100.0
4509,45,9,134,134,100.0
4511,45,11,101,101,100.0
4513,45,13,160,160,100.0
4515,45,15,156,156,100.0
4517,45,17,127,127,100.0
4519,45,19,196,196,100.0
4521,45,21,111,111,100.0
4522,45,22,110,110,100.0
4523,45,23,89,89,100.0
4527,45,27,111,111,100.0
4530,45,30,124,124,100.0
4532,45,32,97,97,100.0
4533,45,33,132,132,100.0
4534,45,34,100,100,100.0
4536,45,36,123,123,100.0
4544,45,44,124,124,100.0
4549,45,49,107,107,100.0
4551,45,51,142,142,100.0
4552,45,52,100,100,100.0
4554,45,54,129,129,100.0
4557,45,57,132,132,100.0
4558,45,58,65,65,100.0
4601,46,1,204,204,100.0
4602,46,2,89,89,100.0
4603,46,3,94,94,100.0
4604,46,4,82,82,100.0
4605,46,5,57,57,100.0
4606,46,6,63,63,100.0
4607,46,7,131,131,100.0
4608,46,8,61,61,100.0
4609,46,9,92,92,100.0
4610,46,10,89,89,100.0
4611,46,11,118,118,100.0
4612,46,12,110,110,100.0
4613,46,13,99,99,100.0
4614,46,14,75,75,100.0
4615,46,15,117,117,100.0
4616,46,16,145,145,100.0
4617,46,17,142,142,100.0
4618,46,18,110,110,100.0
4619,46,19,127,127,100.0
4620,46,20,68,68,100.0
4621,46,21,20,20,100.0
4622,46,22,69,69,100.0
4623,46,23,80,80,100.0
4624,46,24,79,79,100.0
4625,46,25,90,90,100.0
4626,46,26,120,120,100.0
4627,46,27,116,116,100.0
4628,46,28,123,123,100.0
4629,46,29,128,128,100.0
4630,46,30,117,117,100.0
4631,46,31,114,114,100.0
4632,46,32,117,117,100.0
4633,46,33,92,92,100.0
4634,46,34,93,93,100.0
4635,46,35,125,125,100.0
4636,46,36,136,136,100.0
4637,46,37,100,100,100.0
4638,46,38,84,84,100.0
4639,46,39,92,92,100.0
4721,47,21,96,96,100.0
4730,47,30,77,77,100.0
4731,47,31,134,134,100.0
4732,47,32,211,211,100.0
4734,47,34,135,135,100.0
4741,47,41,79,79,100.0
4801,48,1,149,149,100.0
4802,48,2,119,119,100.0
4803,48,3,103,103,100.0
4804,48,4,102,102,100.0
4805,48,5,124,124,100.0
4806,48,6,127,127,100.0
4807,48,7,129,129,100.0
4808,48,8,106,106,100.0
4809,48,9,94,94,100.0
4810,48,10,68,68,100.0
4811,48,11,187,187,100.0
4812,48,12,74,74,100.0
4813,48,13,106,106,100.0
4814,48,14,117,117,100.0
4815,48,15,94,94,100.0
4816,48,16,118,118,100.0
4817,48,17,88,88,100.0
4818,48,18,79,79,100.0
4819,48,19,139,139,100.0
4820,48,20,90,90,100.0
