ward,precinct,total,DICK SIMPSON (BRADLEY),DICK SIMPSON (BRADLEY) Percent,MIKE QUIGLEY (GORE),MIKE QUIGLEY (GORE) Percent,MICHELANGELO SPANIOLO (LaROUCHE),MICHELANGELO SPANIOLO (LaROUCHE) Percent
2630,26,30,0,0,0.0,0,0.0,0,0.0
2902,29,2,14,5,35.71,9,64.29,0,0.0
2906,29,6,30,5,16.67,18,60.0,7,23.33
2953,29,53,75,24,32.0,41,54.67,10,13.33
2954,29,54,74,15,20.27,55,74.32,4,5.41
3001,30,1,132,47,35.61,80,60.61,5,3.79
3002,30,2,89,33,37.08,47,52.81,9,10.11
3003,30,3,110,25,22.73,80,72.73,5,4.55
3004,30,4,124,30,24.19,87,70.16,7,5.65
3005,30,5,62,12,19.35,49,79.03,1,1.61
3006,30,6,95,29,30.53,66,69.47,0,0.0
3007,30,7,94,26,27.66,62,65.96,6,6.38
3008,30,8,84,20,23.81,59,70.24,5,5.95
3009,30,9,165,33,20.0,122,73.94,10,6.06
3010,30,10,106,25,23.58,74,69.81,7,6.6
3011,30,11,93,21,22.58,69,74.19,3,3.23
3012,30,12,97,29,29.9,62,63.92,6,6.19
3013,30,13,60,27,45.0,29,48.33,4,6.67
3014,30,14,69,20,28.99,45,65.22,4,5.8
3015,30,15,114,40,35.09,69,60.53,5,4.39
3016,30,16,56,13,23.21,42,75.0,1,1.79
3018,30,18,80,19,23.75,58,72.5,3,3.75
3019,30,19,93,19,20.43,70,75.27,4,4.3
3021,30,21,24,6,25.0,15,62.5,3,12.5
3022,30,22,109,37,33.94,69,63.3,3,2.75
3023,30,23,28,10,35.71,15,53.57,3,10.71
3024,30,24,38,11,28.95,25,65.79,2,5.26
3025,30,25,75,25,33.33,46,61.33,4,5.33
3026,30,26,92,12,13.04,74,80.43,6,6.52
3027,30,27,95,24,25.26,63,66.32,8,8.42
3028,30,28,74,26,35.14,47,63.51,1,1.35
3029,30,29,106,43,40.57,60,56.6,3,2.83
3030,30,30,81,23,28.4,53,65.43,5,6.17
3031,30,31,78,18,23.08,57,73.08,3,3.85
3032,30,32,103,49,47.57,51,49.51,3,2.91
3033,30,33,50,7,14.0,41,82.0,2,4.0
3034,30,34,147,33,22.45,106,72.11,8,5.44
3035,30,35,59,14,23.73,40,67.8,5,8.47
3036,30,36,42,11,26.19,29,69.05,2,4.76
3037,30,37,76,15,19.74,48,63.16,13,17.11
3038,30,38,95,26,27.37,67,70.53,2,2.11
3039,30,39,88,29,32.95,56,63.64,3,3.41
3040,30,40,70,21,30.0,47,67.14,2,2.86
3041,30,41,34,5,14.71,27,79.41,2,5.88
3042,30,42,96,15,15.63,74,77.08,7,7.29
3043,30,43,65,12,18.46,49,75.38,4,6.15
3044,30,44,122,40,32.79,78,63.93,4,3.28
3045,30,45,56,7,12.5,45,80.36,4,7.14
3106,31,6,21,9,42.86,12,57.14,0,0.0
3118,31,18,14,5,35.71,8,57.14,1,7.14
3131,31,31,62,14,22.58,39,62.9,9,14.52
3132,31,32,48,13,27.08,31,64.58,4,8.33
3207,32,7,44,13,29.55,29,65.91,2,4.55
3208,32,8,63,23,36.51,39,61.9,1,1.59
3209,32,9,111,34,30.63,71,63.96,6,5.41
3210,32,10,41,18,43.9,22,53.66,1,2.44
3213,32,13,53,12,22.64,39,73.58,2,3.77
3215,32,15,59,19,32.2,36,61.02,4,6.78
3218,32,18,57,17,29.82,39,68.42,1,1.75
3219,32,19,149,35,23.49,107,71.81,7,4.7
3221,32,21,81,31,38.27,46,56.79,4,4.94
3222,32,22,81,31,38.27,49,60.49,1,1.23
3223,32,23,74,24,32.43,48,64.86,2,2.7
3225,32,25,65,28,43.08,35,53.85,2,3.08
3227,32,27,49,9,18.37,38,77.55,2,4.08
3232,32,32,62,28,45.16,32,51.61,2,3.23
3237,32,37,58,20,34.48,36,62.07,2,3.45
3238,32,38,101,23,22.77,72,71.29,6,5.94
3239,32,39,72,22,30.56,48,66.67,2,2.78
3240,32,40,58,16,27.59,40,68.97,2,3.45
3241,32,41,80,24,30.0,52,65.0,4,5.0
3242,32,42,101,31,30.69,60,59.41,10,9.9
3243,32,43,59,18,30.51,36,61.02,5,8.47
3244,32,44,69,23,33.33,44,63.77,2,2.9
3246,32,46,10,2,20.0,8,80.0,0,0.0
3248,32,48,64,27,42.19,32,50.0,5,7.81
3301,33,1,64,20,31.25,39,60.94,5,7.81
3305,33,5,55,12,21.82,37,67.27,6,10.91
3306,33,6,13,2,15.38,11,84.62,0,0.0
3307,33,7,167,62,37.13,96,57.49,9,5.39
3308,33,8,102,37,36.27,57,55.88,8,7.84
3309,33,9,99,31,31.31,66,66.67,2,2.02
3310,33,10,104,35,33.65,65,62.5,4,3.85
