ward,precinct,total,"LOVANA S. ""LOU"" JONES","LOVANA S. ""LOU"" JONES Percent"
0218,2,18,244,244,100.0
0221,2,21,141,141,100.0
0233,2,33,205,205,100.0
0245,2,45,63,63,100.0
0247,2,47,85,85,100.0
0248,2,48,153,153,100.0
0301,3,1,119,119,100.0
0302,3,2,167,167,100.0
0305,3,5,34,34,100.0
0306,3,6,32,32,100.0
0307,3,7,13,13,100.0
0308,3,8,41,41,100.0
0309,3,9,77,77,100.0
0311,3,11,56,56,100.0
0314,3,14,52,52,100.0
0315,3,15,70,70,100.0
0316,3,16,162,162,100.0
0317,3,17,78,78,100.0
0318,3,18,74,74,100.0
0319,3,19,34,34,100.0
0320,3,20,19,19,100.0
0322,3,22,82,82,100.0
0324,3,24,119,119,100.0
0325,3,25,19,19,100.0
0326,3,26,57,57,100.0
0329,3,29,8,8,100.0
0330,3,30,100,100,100.0
0331,3,31,104,104,100.0
0332,3,32,117,117,100.0
0334,3,34,22,22,100.0
0335,3,35,73,73,100.0
0337,3,37,71,71,100.0
0339,3,39,183,183,100.0
0340,3,40,78,78,100.0
0343,3,43,11,11,100.0
0347,3,47,76,76,100.0
0402,4,2,30,30,100.0
0403,4,3,156,156,100.0
0404,4,4,135,135,100.0
0405,4,5,156,156,100.0
0406,4,6,5,5,100.0
0407,4,7,108,108,100.0
0408,4,8,171,171,100.0
0410,4,10,177,177,100.0
0411,4,11,111,111,100.0
0412,4,12,105,105,100.0
0414,4,14,86,86,100.0
0415,4,15,83,83,100.0
0416,4,16,145,145,100.0
0418,4,18,100,100,100.0
0419,4,19,32,32,100.0
0421,4,21,142,142,100.0
0423,4,23,96,96,100.0
0424,4,24,148,148,100.0
0425,4,25,171,171,100.0
0426,4,26,116,116,100.0
0427,4,27,202,202,100.0
0430,4,30,33,33,100.0
0433,4,33,60,60,100.0
0435,4,35,78,78,100.0
0439,4,39,62,62,100.0
0440,4,40,124,124,100.0
0446,4,46,138,138,100.0
0449,4,49,42,42,100.0
0450,4,50,100,100,100.0
0453,4,53,26,26,100.0
1101,11,1,69,69,100.0
1104,11,4,71,71,100.0
1105,11,5,56,56,100.0
1107,11,7,69,69,100.0
1108,11,8,103,103,100.0
1109,11,9,78,78,100.0
1111,11,11,76,76,100.0
1112,11,12,84,84,100.0
1115,11,15,66,66,100.0
1116,11,16,68,68,100.0
1119,11,19,76,76,100.0
1120,11,20,102,102,100.0
1121,11,21,135,135,100.0
1124,11,24,106,106,100.0
1125,11,25,62,62,100.0
1132,11,32,68,68,100.0
1133,11,33,70,70,100.0
1134,11,34,54,54,100.0
1135,11,35,76,76,100.0
1137,11,37,107,107,100.0
1138,11,38,100,100,100.0
1139,11,39,111,111,100.0
1140,11,40,72,72,100.0
1141,11,41,64,64,100.0
1142,11,42,45,45,100.0
1144,11,44,86,86,100.0
1145,11,45,57,57,100.0
1146,11,46,51,51,100.0
1147,11,47,73,73,100.0
1148,11,48,50,50,100.0
1150,11,50,4,4,100.0
1151,11,51,70,70,100.0
1153,11,53,52,52,100.0
1154,11,54,67,67,100.0
2521,25,21,1,1,100.0
