ward,precinct,total,SARA FEIGENHOLTZ,SARA FEIGENHOLTZ Percent
3207,32,7,33,33,100.0
3208,32,8,61,61,100.0
3218,32,18,60,60,100.0
3223,32,23,69,69,100.0
3232,32,32,68,68,100.0
3239,32,39,75,75,100.0
3248,32,48,60,60,100.0
4302,43,2,30,30,100.0
4306,43,6,52,52,100.0
4322,43,22,34,34,100.0
4339,43,39,30,30,100.0
4345,43,45,32,32,100.0
4348,43,48,33,33,100.0
4350,43,50,42,42,100.0
4354,43,54,19,19,100.0
4360,43,60,60,60,100.0
4401,44,1,121,121,100.0
4402,44,2,68,68,100.0
4403,44,3,117,117,100.0
4404,44,4,167,167,100.0
4405,44,5,75,75,100.0
4406,44,6,59,59,100.0
4407,44,7,114,114,100.0
4408,44,8,115,115,100.0
4409,44,9,97,97,100.0
4410,44,10,132,132,100.0
4411,44,11,79,79,100.0
4412,44,12,66,66,100.0
4414,44,14,89,89,100.0
4415,44,15,76,76,100.0
4417,44,17,89,89,100.0
4419,44,19,51,51,100.0
4420,44,20,75,75,100.0
4421,44,21,70,70,100.0
4422,44,22,64,64,100.0
4423,44,23,66,66,100.0
4424,44,24,65,65,100.0
4426,44,26,70,70,100.0
4427,44,27,84,84,100.0
4428,44,28,60,60,100.0
4429,44,29,53,53,100.0
4430,44,30,67,67,100.0
4431,44,31,85,85,100.0
4432,44,32,44,44,100.0
4433,44,33,104,104,100.0
4434,44,34,65,65,100.0
4435,44,35,91,91,100.0
4436,44,36,70,70,100.0
4437,44,37,125,125,100.0
4438,44,38,79,79,100.0
4439,44,39,67,67,100.0
4440,44,40,75,75,100.0
4441,44,41,97,97,100.0
4442,44,42,81,81,100.0
4444,44,44,121,121,100.0
4445,44,45,79,79,100.0
4446,44,46,52,52,100.0
4448,44,48,67,67,100.0
4449,44,49,73,73,100.0
4601,46,1,223,223,100.0
4603,46,3,96,96,100.0
4605,46,5,60,60,100.0
4607,46,7,127,127,100.0
4609,46,9,94,94,100.0
4610,46,10,86,86,100.0
4611,46,11,113,113,100.0
4613,46,13,99,99,100.0
4615,46,15,123,123,100.0
4617,46,17,138,138,100.0
4618,46,18,121,121,100.0
4620,46,20,62,62,100.0
4623,46,23,70,70,100.0
4624,46,24,75,75,100.0
4625,46,25,93,93,100.0
4626,46,26,102,102,100.0
4628,46,28,122,122,100.0
4629,46,29,128,128,100.0
4630,46,30,117,117,100.0
4631,46,31,115,115,100.0
4633,46,33,89,89,100.0
4634,46,34,89,89,100.0
4636,46,36,135,135,100.0
4637,46,37,98,98,100.0
4639,46,39,87,87,100.0
