ward,precinct,total,JOSEPH M. LYONS,JOSEPH M. LYONS Percent
3314,33,14,86,86,100.0
3318,33,18,58,58,100.0
3822,38,22,115,115,100.0
3842,38,42,11,11,100.0
3845,38,45,128,128,100.0
3901,39,1,85,85,100.0
3902,39,2,150,150,100.0
3903,39,3,119,119,100.0
3904,39,4,55,55,100.0
3905,39,5,56,56,100.0
3906,39,6,143,143,100.0
3907,39,7,81,81,100.0
3908,39,8,81,81,100.0
3909,39,9,104,104,100.0
3910,39,10,73,73,100.0
3911,39,11,115,115,100.0
3912,39,12,34,34,100.0
3914,39,14,91,91,100.0
3915,39,15,69,69,100.0
3916,39,16,64,64,100.0
3917,39,17,52,52,100.0
3918,39,18,106,106,100.0
3920,39,20,72,72,100.0
3926,39,26,129,129,100.0
3933,39,33,84,84,100.0
3935,39,35,87,87,100.0
3936,39,36,248,248,100.0
3937,39,37,106,106,100.0
3938,39,38,167,167,100.0
3939,39,39,44,44,100.0
3941,39,41,13,13,100.0
3943,39,43,61,61,100.0
3944,39,44,64,64,100.0
3945,39,45,76,76,100.0
3948,39,48,56,56,100.0
3949,39,49,53,53,100.0
4001,40,1,63,63,100.0
4002,40,2,62,62,100.0
4005,40,5,60,60,100.0
4010,40,10,94,94,100.0
4015,40,15,91,91,100.0
4017,40,17,41,41,100.0
4019,40,19,61,61,100.0
4020,40,20,63,63,100.0
4024,40,24,57,57,100.0
4025,40,25,73,73,100.0
4029,40,29,110,110,100.0
4030,40,30,108,108,100.0
4031,40,31,90,90,100.0
4032,40,32,47,47,100.0
4034,40,34,46,46,100.0
4036,40,36,102,102,100.0
4038,40,38,52,52,100.0
4044,40,44,63,63,100.0
4114,41,14,29,29,100.0
4503,45,3,284,284,100.0
4506,45,6,118,118,100.0
4508,45,8,97,97,100.0
4509,45,9,159,159,100.0
4511,45,11,116,116,100.0
4513,45,13,201,201,100.0
4515,45,15,187,187,100.0
4517,45,17,140,140,100.0
4519,45,19,222,222,100.0
4520,45,20,118,118,100.0
4521,45,21,133,133,100.0
4524,45,24,136,136,100.0
4527,45,27,128,128,100.0
4529,45,29,133,133,100.0
4530,45,30,146,146,100.0
4532,45,32,100,100,100.0
4534,45,34,109,109,100.0
4535,45,35,115,115,100.0
4536,45,36,151,151,100.0
4537,45,37,89,89,100.0
4538,45,38,212,212,100.0
4539,45,39,157,157,100.0
4541,45,41,99,99,100.0
4542,45,42,154,154,100.0
4543,45,43,121,121,100.0
4544,45,44,143,143,100.0
4545,45,45,92,92,100.0
4546,45,46,183,183,100.0
4547,45,47,176,176,100.0
4549,45,49,128,128,100.0
4550,45,50,129,129,100.0
4551,45,51,144,144,100.0
4552,45,52,108,108,100.0
4553,45,53,140,140,100.0
4554,45,54,142,142,100.0
4555,45,55,102,102,100.0
4557,45,57,139,139,100.0
4701,47,1,67,67,100.0
5023,50,23,58,58,100.0
