ward,precinct,total,LOUIS I. LANG,LOUIS I. LANG Percent
3932,39,32,285,285,100.0
3934,39,34,57,57,100.0
3936,39,36,20,20,100.0
3938,39,38,0,0,0.0
3940,39,40,57,57,100.0
3942,39,42,79,79,100.0
3947,39,47,58,58,100.0
4004,40,4,124,124,100.0
4007,40,7,72,72,100.0
4009,40,9,46,46,100.0
4012,40,12,80,80,100.0
4018,40,18,75,75,100.0
4028,40,28,60,60,100.0
4035,40,35,102,102,100.0
4037,40,37,89,89,100.0
4039,40,39,81,81,100.0
4838,48,38,140,140,100.0
4904,49,4,63,63,100.0
5005,50,5,93,93,100.0
5006,50,6,71,71,100.0
5007,50,7,121,121,100.0
5008,50,8,89,89,100.0
5009,50,9,70,70,100.0
5010,50,10,99,99,100.0
5011,50,11,84,84,100.0
5012,50,12,146,146,100.0
5013,50,13,68,68,100.0
5014,50,14,97,97,100.0
5015,50,15,112,112,100.0
5016,50,16,93,93,100.0
5017,50,17,72,72,100.0
5018,50,18,78,78,100.0
5019,50,19,79,79,100.0
5020,50,20,81,81,100.0
5021,50,21,106,106,100.0
5022,50,22,67,67,100.0
5024,50,24,43,43,100.0
5025,50,25,57,57,100.0
5026,50,26,55,55,100.0
5027,50,27,79,79,100.0
5028,50,28,102,102,100.0
5029,50,29,86,86,100.0
5030,50,30,86,86,100.0
5031,50,31,72,72,100.0
5032,50,32,48,48,100.0
5033,50,33,44,44,100.0
5034,50,34,66,66,100.0
5035,50,35,87,87,100.0
5036,50,36,93,93,100.0
5037,50,37,87,87,100.0
5038,50,38,95,95,100.0
5039,50,39,82,82,100.0
5040,50,40,86,86,100.0
5041,50,41,100,100,100.0
5042,50,42,128,128,100.0
5043,50,43,108,108,100.0
5044,50,44,80,80,100.0
5045,50,45,99,99,100.0
5046,50,46,53,53,100.0
